year,age_gr,pgisced97,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,30-45 y.,Upper Secondary Level,Eastern Europe,0.00741,37,37,-0.02061,0.03542
2012,30-45 y.,Upper Secondary Level,Eastern Europe,0.00840,37,37,-0.02141,0.03820
2013,17-29 y.,Lower Secondary Level,Eastern Europe,0.00794,35,35,-0.02190,0.03779
2013,17-29 y.,Upper Secondary Level,Eastern Europe,0.01091,55,55,-0.01680,0.03861
2013,30-45 y.,Upper Secondary Level,Southern Europe,0.00384,33,122,-0.00718,0.01487
2013,30-45 y.,Upper Secondary Level,Eastern Europe,0.00926,89,122,-0.00781,0.02633
2013,30-45 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.01995,48,48,-0.02003,0.05993
2013,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.01128,76,76,-0.01262,0.03519
2013,46-65 y.,Upper Secondary Level,Eastern Europe,0.00673,66,66,-0.01315,0.02661
2013,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.01182,48,48,-0.01908,0.04271
2014,17-29 y.,Upper Secondary Level,Eastern Europe,0.00722,37,37,-0.02043,0.03486
2014,30-45 y.,Upper Secondary Level,Eastern Europe,0.00802,77,77,-0.01203,0.02808
2014,30-45 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.02015,40,40,-0.02395,0.06425
2014,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.01232,64,64,-0.01492,0.03955
2014,46-65 y.,Upper Secondary Level,Eastern Europe,0.00521,64,64,-0.01257,0.02300
2014,46-65 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.03377,33,33,-0.02882,0.09635
2014,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.00976,44,44,-0.01963,0.03915
2015,17-29 y.,Upper Secondary Level,Eastern Europe,0.00999,38,38,-0.02206,0.04205
2015,30-45 y.,Upper Secondary Level,Eastern Europe,0.00871,70,70,-0.01321,0.03063
2015,30-45 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.02024,45,45,-0.02137,0.06184
2015,30-45 y.,Second Stage of Tertiary Education,Southern Europe,0.00751,32,92,-0.01023,0.02525
2015,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.01017,60,92,-0.01044,0.03078
2015,46-65 y.,Upper Secondary Level,Eastern Europe,0.00378,49,49,-0.01358,0.02114
2015,46-65 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.02620,31,31,-0.03096,0.08336
2015,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.01086,41,41,-0.02126,0.04297
2016,30-45 y.,Upper Secondary Level,Eastern Europe,0.00817,61,61,-0.01461,0.03094
2016,30-45 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.03207,38,38,-0.02470,0.08884
2016,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.00845,53,53,-0.01643,0.03333
2016,46-65 y.,Upper Secondary Level,Eastern Europe,0.00368,42,42,-0.01485,0.02221
2016,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.01350,53,53,-0.01787,0.04486
2017,17-29 y.,Upper Secondary Level,Eastern Europe,0.00564,32,32,-0.02072,0.03199
2017,30-45 y.,Upper Secondary Level,Eastern Europe,0.00727,51,51,-0.01628,0.03081
2017,30-45 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.03253,37,37,-0.02542,0.09048
2017,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.01199,63,63,-0.01510,0.03908
2017,46-65 y.,Upper Secondary Level,Eastern Europe,0.00446,45,45,-0.01523,0.02414
2017,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.01025,51,51,-0.01767,0.03816
2018,30-45 y.,Upper Secondary Level,Eastern Europe,0.00880,54,54,-0.01635,0.03395
2018,30-45 y.,Post-secondary Non-tertiary Level,Eastern Europe,0.02504,33,33,-0.02910,0.07918
2018,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.01256,61,61,-0.01562,0.04073
2018,46-65 y.,Upper Secondary Level,Eastern Europe,0.00524,46,46,-0.01585,0.02633
2018,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.01694,68,68,-0.01396,0.04783
2019,30-45 y.,Upper Secondary Level,Eastern Europe,0.00991,43,43,-0.02005,0.03988
2019,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.01420,63,63,-0.01525,0.04366
2019,46-65 y.,Upper Secondary Level,Eastern Europe,0.00604,57,57,-0.01426,0.02635
2019,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.01626,69,69,-0.01380,0.04632
2020,30-45 y.,Upper Secondary Level,Eastern Europe,0.00482,53,53,-0.01400,0.02364
2020,30-45 y.,Second Stage of Tertiary Education,Southern Europe,0.00501,32,112,-0.00812,0.01814
2020,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.00620,80,112,-0.00840,0.02080
2020,46-65 y.,Upper Secondary Level,Eastern Europe,0.00189,48,48,-0.01053,0.01431
2020,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.00428,62,62,-0.01210,0.02067
2021,30-45 y.,Second Stage of Tertiary Education,Eastern Europe,0.00904,45,45,-0.01893,0.03702
2021,46-65 y.,Upper Secondary Level,Eastern Europe,0.00309,37,37,-0.01504,0.02122
2021,46-65 y.,Second Stage of Tertiary Education,Eastern Europe,0.00582,42,42,-0.01746,0.02909
