year,age_gr,regtyp,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,30-45 y.,Urban regions,Eastern Europe,0.00838,46,46,-0.01826,0.03502
2001,30-45 y.,Urban regions,Eastern Europe,0.00733,36,36,-0.02093,0.03559
2003,30-45 y.,Urban regions,Eastern Europe,0.00948,36,36,-0.02262,0.04158
2005,30-45 y.,Urban regions,Eastern Europe,0.01117,33,33,-0.02525,0.04759
2007,30-45 y.,Urban regions,Eastern Europe,0.01018,33,33,-0.02460,0.04496
2008,30-45 y.,Urban regions,Eastern Europe,0.01179,32,32,-0.02620,0.04978
2008,46-65 y.,Urban regions,Eastern Europe,0.00933,34,34,-0.02347,0.04212
2009,30-45 y.,Urban regions,Eastern Europe,0.01485,31,31,-0.02843,0.05814
2009,46-65 y.,Urban regions,Eastern Europe,0.01010,34,34,-0.02401,0.04420
2010,17-29 y.,Urban regions,Eastern Europe,0.00889,33,33,-0.02363,0.04141
2010,30-45 y.,Urban regions,Southern Europe,0.00650,38,109,-0.00866,0.02166
2010,30-45 y.,Urban regions,Eastern Europe,0.01445,71,109,-0.00806,0.03695
2010,46-65 y.,Urban regions,Eastern Europe,0.01032,40,40,-0.02140,0.04203
2011,30-45 y.,Urban regions,Southern Europe,0.00697,34,34,-0.02141,0.03534
2011,46-65 y.,Urban regions,Eastern Europe,0.01036,50,50,-0.01799,0.03871
2012,30-45 y.,Urban regions,Southern Europe,0.00654,41,118,-0.00807,0.02115
2012,30-45 y.,Urban regions,Eastern Europe,0.01535,77,118,-0.00693,0.03763
2012,46-65 y.,Urban regions,Eastern Europe,0.01258,56,56,-0.01687,0.04203
2013,17-29 y.,Urban regions,Southern Europe,0.00491,51,183,-0.00525,0.01506
2013,17-29 y.,Urban regions,Western Asia,0.00591,42,183,-0.00523,0.01705
2013,17-29 y.,Urban regions,Eastern Europe,0.01059,90,183,-0.00428,0.02547
2013,17-29 y.,Rural regions,Eastern Europe,0.00655,38,38,-0.01945,0.03256
2013,30-45 y.,Urban regions,Southern Europe,0.00393,60,282,-0.00339,0.01125
2013,30-45 y.,Urban regions,Western Asia,0.00314,42,282,-0.00340,0.00969
2013,30-45 y.,Urban regions,Eastern Europe,0.01225,180,282,-0.00061,0.02510
2013,30-45 y.,Rural regions,Eastern Europe,0.00771,63,63,-0.01406,0.02948
2013,46-65 y.,Urban regions,Eastern Europe,0.01072,115,115,-0.00818,0.02963
2013,46-65 y.,Rural regions,Eastern Europe,0.00736,63,63,-0.01392,0.02863
2014,17-29 y.,Urban regions,Southern Europe,0.00404,43,147,-0.00625,0.01433
2014,17-29 y.,Urban regions,Western Asia,0.00680,36,147,-0.00653,0.02013
2014,17-29 y.,Urban regions,Eastern Europe,0.00739,68,147,-0.00650,0.02128
2014,30-45 y.,Urban regions,Southern Europe,0.00444,61,249,-0.00383,0.01271
2014,30-45 y.,Urban regions,Western Asia,0.00284,35,249,-0.00378,0.00946
2014,30-45 y.,Urban regions,Eastern Europe,0.01263,153,249,-0.00127,0.02653
2014,30-45 y.,Rural regions,Eastern Europe,0.00705,56,56,-0.01506,0.02916
2014,46-65 y.,Urban regions,Eastern Europe,0.00946,117,117,-0.00816,0.02708
2014,46-65 y.,Rural regions,Eastern Europe,0.00800,53,53,-0.01621,0.03220
2015,17-29 y.,Urban regions,Western Asia,0.00844,35,103,-0.00931,0.02618
2015,17-29 y.,Urban regions,Eastern Europe,0.00822,68,103,-0.00930,0.02574
2015,30-45 y.,Urban regions,Southern Europe,0.00517,57,235,-0.00402,0.01437
2015,30-45 y.,Urban regions,Western Asia,0.00233,33,235,-0.00385,0.00850
2015,30-45 y.,Urban regions,Eastern Europe,0.01175,145,235,-0.00206,0.02556
2015,30-45 y.,Rural regions,Eastern Europe,0.00604,51,51,-0.01544,0.02752
2015,46-65 y.,Urban regions,Southern Europe,0.00165,33,135,-0.00523,0.00853
2015,46-65 y.,Urban regions,Eastern Europe,0.00956,102,135,-0.00692,0.02604
2015,46-65 y.,Rural regions,Eastern Europe,0.00604,46,46,-0.01660,0.02868
2016,17-29 y.,Urban regions,Southern Europe,0.00495,35,89,-0.00971,0.01961
2016,17-29 y.,Urban regions,Eastern Europe,0.00864,54,89,-0.01070,0.02797
2016,30-45 y.,Urban regions,Southern Europe,0.00580,42,200,-0.00475,0.01636
2016,30-45 y.,Urban regions,Western Asia,0.00305,31,200,-0.00461,0.01070
2016,30-45 y.,Urban regions,Eastern Europe,0.01302,127,200,-0.00273,0.02877
2016,30-45 y.,Rural regions,Eastern Europe,0.00575,40,40,-0.01798,0.02949
2016,46-65 y.,Urban regions,Southern Europe,0.00176,34,133,-0.00540,0.00893
2016,46-65 y.,Urban regions,Eastern Europe,0.00940,99,133,-0.00706,0.02587
2016,46-65 y.,Rural regions,Eastern Europe,0.00661,49,49,-0.01631,0.02952
2017,17-29 y.,Urban regions,Southern Europe,0.00628,38,127,-0.00751,0.02008
2017,17-29 y.,Urban regions,Western Asia,0.00819,39,127,-0.00755,0.02392
2017,17-29 y.,Urban regions,Eastern Europe,0.00532,50,127,-0.00738,0.01802
2017,30-45 y.,Urban regions,Southern Europe,0.00739,53,208,-0.00428,0.01906
2017,30-45 y.,Urban regions,Western Asia,0.00256,33,208,-0.00432,0.00944
2017,30-45 y.,Urban regions,Eastern Europe,0.01365,122,208,-0.00216,0.02946
2017,30-45 y.,Rural regions,Eastern Europe,0.00696,46,46,-0.01733,0.03126
2017,46-65 y.,Urban regions,Southern Europe,0.00393,41,143,-0.00636,0.01421
2017,46-65 y.,Urban regions,Eastern Europe,0.00940,102,143,-0.00647,0.02527
2017,46-65 y.,Rural regions,Eastern Europe,0.00680,53,53,-0.01554,0.02913
2017,66 and older,Urban regions,Eastern Europe,0.00686,32,32,-0.02220,0.03591
2018,17-29 y.,Urban regions,Southern Europe,0.00536,33,119,-0.00781,0.01853
2018,17-29 y.,Urban regions,Western Asia,0.00901,42,119,-0.00804,0.02606
2018,17-29 y.,Urban regions,Eastern Europe,0.00463,44,119,-0.00762,0.01687
2018,30-45 y.,Urban regions,Southern Europe,0.00743,50,215,-0.00408,0.01893
2018,30-45 y.,Urban regions,Western Asia,0.00270,32,215,-0.00425,0.00964
2018,30-45 y.,Urban regions,Eastern Europe,0.01473,133,215,-0.00141,0.03087
2018,30-45 y.,Rural regions,Eastern Europe,0.00607,38,38,-0.01896,0.03111
2018,46-65 y.,Urban regions,Southern Europe,0.00288,38,143,-0.00594,0.01170
2018,46-65 y.,Urban regions,Eastern Europe,0.01063,105,143,-0.00624,0.02749
2018,46-65 y.,Rural regions,Eastern Europe,0.00830,63,63,-0.01428,0.03089
2018,66 and older,Urban regions,Eastern Europe,0.00672,34,34,-0.02116,0.03460
2019,17-29 y.,Urban regions,Southern Europe,0.00628,37,106,-0.00883,0.02139
2019,17-29 y.,Urban regions,Western Asia,0.00940,33,106,-0.00906,0.02786
2019,17-29 y.,Urban regions,Eastern Europe,0.00502,36,106,-0.00850,0.01854
2019,30-45 y.,Urban regions,Southern Europe,0.01009,55,170,-0.00498,0.02516
2019,30-45 y.,Urban regions,Eastern Europe,0.01582,115,170,-0.00299,0.03463
2019,30-45 y.,Rural regions,Eastern Europe,0.00710,34,34,-0.02154,0.03573
2019,46-65 y.,Urban regions,Southern Europe,0.00300,45,157,-0.00558,0.01159
2019,46-65 y.,Urban regions,Eastern Europe,0.01021,112,157,-0.00557,0.02599
2019,46-65 y.,Rural regions,Eastern Europe,0.01019,64,64,-0.01461,0.03499
2019,66 and older,Urban regions,Eastern Europe,0.00925,36,36,-0.02247,0.04097
2020,17-29 y.,Urban regions,Southern Europe,0.00343,47,137,-0.00640,0.01326
2020,17-29 y.,Urban regions,Western Asia,0.00426,38,137,-0.00669,0.01521
2020,17-29 y.,Urban regions,Eastern Europe,0.00382,52,137,-0.00655,0.01418
2020,30-45 y.,Urban regions,Southern Europe,0.00358,61,227,-0.00421,0.01136
2020,30-45 y.,Urban regions,Western Asia,0.00164,36,227,-0.00364,0.00692
2020,30-45 y.,Urban regions,Eastern Europe,0.00644,130,227,-0.00399,0.01687
2020,30-45 y.,Rural regions,Eastern Europe,0.00548,47,47,-0.01585,0.02681
2020,46-65 y.,Urban regions,Southern Europe,0.00412,56,156,-0.00596,0.01421
2020,46-65 y.,Urban regions,Eastern Europe,0.00310,100,156,-0.00565,0.01186
2020,46-65 y.,Rural regions,Eastern Europe,0.00354,53,53,-0.01260,0.01968
2020,66 and older,Urban regions,Eastern Europe,0.00376,39,39,-0.01569,0.02320
2021,17-29 y.,Urban regions,Eastern Europe,0.00414,35,35,-0.01744,0.02571
2021,30-45 y.,Urban regions,Southern Europe,0.00858,50,132,-0.00721,0.02438
2021,30-45 y.,Urban regions,Eastern Europe,0.00917,82,132,-0.00715,0.02548
2021,46-65 y.,Urban regions,Southern Europe,0.00333,33,108,-0.00759,0.01425
2021,46-65 y.,Urban regions,Eastern Europe,0.00541,75,108,-0.00849,0.01931
2021,46-65 y.,Rural regions,Eastern Europe,0.00464,38,38,-0.01725,0.02653
