year,pgisced97,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Upper Secondary Level,Eastern Europe,0.00419,51,51,-0.01372,0.02211
2002,Upper Secondary Level,Eastern Europe,0.00331,34,34,-0.01629,0.02290
2003,Upper Secondary Level,Eastern Europe,0.00372,36,36,-0.01644,0.02387
2006,Upper Secondary Level,Southern Europe,0.00275,32,32,-0.01568,0.02117
2007,Upper Secondary Level,Eastern Europe,0.00323,32,32,-0.01675,0.02322
2008,Upper Secondary Level,Eastern Europe,0.00361,33,33,-0.01717,0.02440
2009,Upper Secondary Level,Eastern Europe,0.00397,32,32,-0.01817,0.02611
2010,Upper Secondary Level,Southern Europe,0.00322,44,124,-0.00679,0.01322
2010,Upper Secondary Level,Eastern Europe,0.00479,80,124,-0.00741,0.01698
2010,Post-secondary Non-tertiary Level,Eastern Europe,0.02450,38,38,-0.02531,0.07432
2010,Second Stage of Tertiary Education,Eastern Europe,0.00913,34,34,-0.02332,0.04158
2011,Upper Secondary Level,Southern Europe,0.00264,32,87,-0.00820,0.01347
2011,Upper Secondary Level,Eastern Europe,0.00415,55,87,-0.00944,0.01773
2011,Second Stage of Tertiary Education,Eastern Europe,0.01017,35,35,-0.02355,0.04389
2012,Upper Secondary Level,Southern Europe,0.00298,38,126,-0.00657,0.01253
2012,Upper Secondary Level,Eastern Europe,0.00663,88,126,-0.00760,0.02086
2012,Post-secondary Non-tertiary Level,Eastern Europe,0.02171,39,39,-0.02463,0.06804
2012,Second Stage of Tertiary Education,Eastern Europe,0.01341,58,58,-0.01645,0.04327
2013,Lower Secondary Level,Western Asia,0.00397,33,120,-0.00733,0.01526
2013,Lower Secondary Level,Eastern Europe,0.00963,87,120,-0.00792,0.02717
2013,Upper Secondary Level,Southern Europe,0.00195,61,280,-0.00323,0.00713
2013,Upper Secondary Level,Eastern Europe,0.00650,219,280,-0.00293,0.01594
2013,Post-secondary Non-tertiary Level,Eastern Europe,0.01974,89,89,-0.00933,0.04880
2013,Second Stage of Tertiary Education,Southern Europe,0.00252,37,173,-0.00497,0.01001
2013,Second Stage of Tertiary Education,Eastern Europe,0.00903,136,173,-0.00511,0.02316
2014,Lower Secondary Level,Eastern Europe,0.00729,77,77,-0.01184,0.02642
2014,Upper Secondary Level,Southern Europe,0.00185,57,241,-0.00359,0.00729
2014,Upper Secondary Level,Eastern Europe,0.00496,184,241,-0.00393,0.01384
2014,Post-secondary Non-tertiary Level,Eastern Europe,0.02248,83,83,-0.00961,0.05456
2014,Second Stage of Tertiary Education,Southern Europe,0.00339,41,161,-0.00562,0.01240
2014,Second Stage of Tertiary Education,Eastern Europe,0.00829,120,161,-0.00576,0.02235
2015,Lower Secondary Level,Eastern Europe,0.00616,50,50,-0.01575,0.02806
2015,Upper Secondary Level,Southern Europe,0.00189,50,250,-0.00350,0.00728
2015,Upper Secondary Level,Western Asia,0.00133,34,250,-0.00320,0.00586
2015,Upper Secondary Level,Eastern Europe,0.00504,166,250,-0.00376,0.01383
2015,Post-secondary Non-tertiary Level,Eastern Europe,0.02215,89,89,-0.00860,0.05290
2015,Second Stage of Tertiary Education,Southern Europe,0.00433,48,166,-0.00569,0.01434
2015,Second Stage of Tertiary Education,Eastern Europe,0.00847,118,166,-0.00551,0.02246
2016,Lower Secondary Level,Eastern Europe,0.00637,36,36,-0.01998,0.03272
2016,Upper Secondary Level,Southern Europe,0.00254,48,221,-0.00411,0.00919
2016,Upper Secondary Level,Western Asia,0.00156,33,221,-0.00365,0.00676
2016,Upper Secondary Level,Eastern Europe,0.00461,140,221,-0.00434,0.01355
2016,Post-secondary Non-tertiary Level,Eastern Europe,0.02720,82,82,-0.00823,0.06262
2016,Second Stage of Tertiary Education,Southern Europe,0.00442,39,162,-0.00583,0.01467
2016,Second Stage of Tertiary Education,Eastern Europe,0.00900,123,162,-0.00559,0.02358
2017,Lower Secondary Level,Eastern Europe,0.00930,49,49,-0.01785,0.03645
2017,Upper Secondary Level,Southern Europe,0.00382,64,242,-0.00397,0.01161
2017,Upper Secondary Level,Western Asia,0.00130,34,242,-0.00325,0.00585
2017,Upper Secondary Level,Eastern Europe,0.00509,144,242,-0.00389,0.01408
2017,Post-secondary Non-tertiary Level,Eastern Europe,0.02260,78,78,-0.01060,0.05580
2017,Second Stage of Tertiary Education,Southern Europe,0.00546,43,177,-0.00543,0.01635
2017,Second Stage of Tertiary Education,Eastern Europe,0.00910,134,177,-0.00493,0.02313
2018,Lower Secondary Level,Eastern Europe,0.00824,45,45,-0.01847,0.03494
2018,Upper Secondary Level,Southern Europe,0.00316,62,235,-0.00403,0.01035
2018,Upper Secondary Level,Western Asia,0.00101,32,235,-0.00306,0.00508
2018,Upper Secondary Level,Eastern Europe,0.00502,141,235,-0.00404,0.01407
2018,Post-secondary Non-tertiary Level,Eastern Europe,0.02205,77,77,-0.01096,0.05507
2018,Second Stage of Tertiary Education,Southern Europe,0.00467,44,191,-0.00502,0.01436
2018,Second Stage of Tertiary Education,Eastern Europe,0.01151,147,191,-0.00366,0.02668
2019,Lower Secondary Level,Eastern Europe,0.00877,37,37,-0.02168,0.03922
2019,Upper Secondary Level,Southern Europe,0.00414,64,199,-0.00480,0.01308
2019,Upper Secondary Level,Eastern Europe,0.00595,135,199,-0.00476,0.01666
2019,Post-secondary Non-tertiary Level,Eastern Europe,0.02372,69,69,-0.01245,0.05988
2019,Second Stage of Tertiary Education,Southern Europe,0.00505,49,197,-0.00487,0.01496
2019,Second Stage of Tertiary Education,Eastern Europe,0.01194,148,197,-0.00327,0.02715
