year,migback,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Direct migration background,Eastern Europe,0.03816,123,123,0.00416,0.07215
2001,Direct migration background,Eastern Europe,0.03031,88,88,-0.00571,0.06634
2002,Direct migration background,Eastern Europe,0.03764,97,97,-0.00044,0.07571
2002,Indirect migration background,Southern Europe,0.01074,32,32,-0.02555,0.04703
2003,Direct migration background,Eastern Europe,0.03948,96,96,0.00032,0.07864
2003,Indirect migration background,Southern Europe,0.00893,32,32,-0.02419,0.04205
2004,Direct migration background,Eastern Europe,0.03813,86,86,-0.00258,0.07885
2004,Indirect migration background,Southern Europe,0.01018,38,38,-0.02217,0.04253
2005,Direct migration background,Eastern Europe,0.04485,97,97,0.00344,0.08625
2005,Indirect migration background,Southern Europe,0.01019,38,38,-0.02217,0.04255
2006,Direct migration background,Eastern Europe,0.03916,96,96,0.00015,0.07817
2006,Indirect migration background,Southern Europe,0.01396,41,41,-0.02240,0.05032
2007,Direct migration background,Eastern Europe,0.04898,108,108,0.00809,0.08988
2007,Indirect migration background,Southern Europe,0.01007,34,34,-0.02400,0.04414
2008,Direct migration background,Eastern Europe,0.05037,105,105,0.00833,0.09240
2008,Indirect migration background,Southern Europe,0.01487,38,38,-0.02413,0.05386
2009,Direct migration background,Eastern Europe,0.05244,98,98,0.00808,0.09680
2009,Indirect migration background,Southern Europe,0.01724,35,35,-0.02651,0.06099
2010,Direct migration background,Western Asia,0.00860,36,215,-0.00377,0.02097
2010,Direct migration background,Eastern Europe,0.05166,179,215,0.02200,0.08131
2010,Indirect migration background,Southern Europe,0.01959,61,61,-0.01548,0.05465
2011,Direct migration background,Eastern Europe,0.04784,135,135,0.01171,0.08398
2011,Indirect migration background,Southern Europe,0.01590,41,41,-0.02287,0.05467
2012,Direct migration background,Eastern Europe,0.06719,224,224,0.03433,0.10005
2012,Indirect migration background,Southern Europe,0.01504,49,49,-0.01939,0.04948
2013,Direct migration background,Southern Europe,0.00311,39,722,-0.00095,0.00718
2013,Direct migration background,Central Asia,0.00681,65,722,0.00081,0.01282
2013,Direct migration background,Western Asia,0.00624,63,722,0.00049,0.01198
2013,Direct migration background,Eastern Europe,0.05449,555,722,0.03792,0.07106
2013,Indirect migration background,Southern Europe,0.01469,113,197,-0.00215,0.03153
2013,Indirect migration background,Western Asia,0.00774,49,197,-0.00453,0.02002
2013,Indirect migration background,Western Europe,0.01139,35,197,-0.00346,0.02625
2014,Direct migration background,Southern Europe,0.00369,44,639,-0.00101,0.00840
2014,Direct migration background,Central Asia,0.00591,54,639,-0.00004,0.01185
2014,Direct migration background,Western Asia,0.00548,52,639,-0.00025,0.01121
2014,Direct migration background,Eastern Europe,0.04928,489,639,0.03248,0.06608
2014,Indirect migration background,Southern Europe,0.01520,109,151,-0.00438,0.03478
2014,Indirect migration background,Western Asia,0.00838,42,151,-0.00621,0.02297
2015,Direct migration background,Southern Europe,0.00519,52,608,-0.00053,0.01090
2015,Direct migration background,Central Asia,0.00419,48,608,-0.00095,0.00933
2015,Direct migration background,Western Asia,0.00862,62,608,0.00126,0.01597
2015,Direct migration background,Eastern Europe,0.04509,446,608,0.02858,0.06160
2015,Indirect migration background,Southern Europe,0.01559,96,137,-0.00523,0.03640
2015,Indirect migration background,Western Asia,0.01016,41,137,-0.00669,0.02702
2016,Direct migration background,Southern Europe,0.00429,42,535,-0.00125,0.00983
2016,Direct migration background,Central Asia,0.00607,42,535,-0.00052,0.01266
2016,Direct migration background,Western Asia,0.00771,57,535,0.00029,0.01512
2016,Direct migration background,Eastern Europe,0.04370,394,535,0.02636,0.06104
2016,Indirect migration background,Southern Europe,0.01934,89,126,-0.00480,0.04348
2016,Indirect migration background,Western Asia,0.00898,37,126,-0.00756,0.02552
2017,Direct migration background,Southern Europe,0.00642,48,558,-0.00021,0.01305
2017,Direct migration background,Central Asia,0.00439,36,558,-0.00110,0.00988
2017,Direct migration background,Western Asia,0.00648,56,558,-0.00018,0.01314
2017,Direct migration background,Eastern Europe,0.04857,418,558,0.03072,0.06643
2017,Indirect migration background,Southern Europe,0.02384,103,154,-0.00033,0.04801
2017,Indirect migration background,Western Asia,0.00984,51,154,-0.00580,0.02549
2018,Direct migration background,Southern Europe,0.00320,43,580,-0.00140,0.00779
2018,Direct migration background,Central Asia,0.00310,34,580,-0.00143,0.00764
2018,Direct migration background,Western Asia,0.00440,50,580,-0.00099,0.00980
2018,Direct migration background,Eastern Europe,0.04857,422,580,0.03106,0.06608
2018,Direct migration background,Latin America and the Caribbean,0.00580,31,580,-0.00039,0.01199
2018,Indirect migration background,Southern Europe,0.02167,97,159,-0.00103,0.04438
2018,Indirect migration background,Western Asia,0.01277,62,159,-0.00474,0.03028
2019,Direct migration background,Southern Asia,0.00570,32,557,-0.00056,0.01196
2019,Direct migration background,Southern Europe,0.00385,49,557,-0.00130,0.00900
2019,Direct migration background,Western Asia,0.00587,51,557,-0.00048,0.01222
2019,Direct migration background,Eastern Europe,0.05250,392,557,0.03396,0.07104
2019,Direct migration background,Latin America and the Caribbean,0.00661,33,557,-0.00013,0.01334
2019,Indirect migration background,Southern Europe,0.02600,109,182,0.00282,0.04919
2019,Indirect migration background,Western Asia,0.00985,39,182,-0.00454,0.02424
2019,Indirect migration background,Western Europe,0.01114,34,182,-0.00415,0.02642
2020,Direct migration background,Southern Europe,0.01007,85,629,0.00226,0.01787
2020,Direct migration background,Western Asia,0.00393,72,629,-0.00096,0.00882
2020,Direct migration background,Eastern Europe,0.02322,424,629,0.01144,0.03500
2020,Direct migration background,Latin America and the Caribbean,0.00592,48,629,-0.00008,0.01192
2020,Indirect migration background,Southern Europe,0.00985,110,219,-0.00326,0.02296
2020,Indirect migration background,Western Asia,0.00548,43,219,-0.00432,0.01528
2020,Indirect migration background,Eastern Europe,0.00236,31,219,-0.00408,0.00879
2020,Indirect migration background,Western Europe,0.00474,35,219,-0.00438,0.01386
2021,Direct migration background,Southern Europe,0.01241,65,379,0.00125,0.02356
2021,Direct migration background,Western Asia,0.00566,46,379,-0.00190,0.01323
2021,Direct migration background,Eastern Europe,0.02837,268,379,0.01163,0.04510
2021,Indirect migration background,Southern Europe,0.01443,61,61,-0.01575,0.04460
