year,sex,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,male,Eastern Europe,0.00399,55,55,-0.01283,0.02081
2000,female,Eastern Europe,0.00485,68,68,-0.01178,0.02148
2001,male,Eastern Europe,0.00332,43,43,-0.01408,0.02072
2001,female,Eastern Europe,0.00357,48,48,-0.01349,0.02064
2002,male,Eastern Europe,0.00420,49,49,-0.01410,0.02251
2002,female,Eastern Europe,0.00479,54,54,-0.01380,0.02338
2003,male,Eastern Europe,0.00434,46,46,-0.01487,0.02355
2003,female,Eastern Europe,0.00483,53,53,-0.01401,0.02367
2004,male,Eastern Europe,0.00397,37,37,-0.01658,0.02453
2004,female,Southern Europe,0.00097,31,81,-0.00586,0.00780
2004,female,Eastern Europe,0.00489,50,81,-0.01039,0.02017
2005,male,Eastern Europe,0.00394,38,38,-0.01624,0.02411
2005,female,Southern Europe,0.00111,31,90,-0.00580,0.00801
2005,female,Eastern Europe,0.00624,59,90,-0.01012,0.02260
2006,male,Eastern Europe,0.00368,39,39,-0.01557,0.02293
2006,female,Southern Europe,0.00260,40,98,-0.00753,0.01274
2006,female,Eastern Europe,0.00537,58,98,-0.00918,0.01992
2007,male,Eastern Europe,0.00432,45,45,-0.01506,0.02371
2007,female,Eastern Europe,0.00674,66,66,-0.01315,0.02664
2008,male,Eastern Europe,0.00518,45,45,-0.01603,0.02639
2008,female,Eastern Europe,0.00614,64,64,-0.01315,0.02542
2009,male,Eastern Europe,0.00529,44,44,-0.01639,0.02696
2009,female,Eastern Europe,0.00606,57,57,-0.01427,0.02639
2010,male,Southern Europe,0.00234,41,125,-0.00617,0.01086
2010,male,Eastern Europe,0.00569,84,125,-0.00755,0.01892
2010,female,Southern Europe,0.00232,48,215,-0.00412,0.00876
2010,female,Western Asia,0.00175,31,215,-0.00385,0.00735
2010,female,Eastern Europe,0.00690,105,215,-0.00419,0.01799
2010,female,Western Europe,0.00314,31,215,-0.00436,0.01065
2011,male,Southern Europe,0.00225,31,90,-0.00759,0.01210
2011,male,Eastern Europe,0.00560,59,90,-0.00990,0.02110
2011,female,Southern Europe,0.00150,35,116,-0.00558,0.00858
2011,female,Eastern Europe,0.00547,81,116,-0.00801,0.01894
2012,male,Southern Europe,0.00228,44,141,-0.00562,0.01018
2012,male,Eastern Europe,0.00814,97,141,-0.00674,0.02303
2012,female,Southern Europe,0.00199,39,177,-0.00460,0.00859
2012,female,Eastern Europe,0.00877,138,177,-0.00500,0.02255
2013,male,Southern Europe,0.00184,82,394,-0.00240,0.00608
2013,male,Western Asia,0.00144,57,394,-0.00231,0.00519
2013,male,Eastern Europe,0.00692,255,394,-0.00128,0.01512
