year,age_gr,region_secnat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,30-45 y.,Eastern Europe,0.00688,55,55,-0.01517,0.02894
2001,30-45 y.,Eastern Europe,0.00610,44,44,-0.01717,0.02937
2002,30-45 y.,Eastern Europe,0.00540,35,35,-0.01924,0.03004
2003,30-45 y.,Eastern Europe,0.00733,41,41,-0.01911,0.03377
2004,30-45 y.,Eastern Europe,0.00584,32,32,-0.02098,0.03267
2005,30-45 y.,Eastern Europe,0.00891,41,41,-0.02021,0.03804
2006,30-45 y.,Eastern Europe,0.00641,34,34,-0.02081,0.03362
2006,46-65 y.,Eastern Europe,0.00487,31,31,-0.02004,0.02978
2007,30-45 y.,Eastern Europe,0.00757,37,37,-0.02074,0.03588
2007,46-65 y.,Eastern Europe,0.00659,34,34,-0.02102,0.03420
2008,30-45 y.,Eastern Europe,0.00827,33,33,-0.02311,0.03964
2008,46-65 y.,Eastern Europe,0.00772,42,42,-0.01907,0.03451
2009,30-45 y.,Eastern Europe,0.01030,32,32,-0.02524,0.04585
2009,46-65 y.,Eastern Europe,0.00745,41,41,-0.01920,0.03410
2010,17-29 y.,Southern Europe,0.00416,32,77,-0.01031,0.01862
2010,17-29 y.,Eastern Europe,0.00751,45,77,-0.01190,0.02692
2010,30-45 y.,Southern Europe,0.00481,41,167,-0.00571,0.01533
2010,30-45 y.,Western Asia,0.00228,36,167,-0.00498,0.00954
2010,30-45 y.,Eastern Europe,0.01110,90,167,-0.00484,0.02703
2010,46-65 y.,Eastern Europe,0.00816,45,45,-0.01842,0.03475
2011,30-45 y.,Southern Europe,0.00490,35,70,-0.01158,0.02138
2011,30-45 y.,Eastern Europe,0.00714,35,70,-0.01273,0.02700
2011,46-65 y.,Eastern Europe,0.00897,69,69,-0.01344,0.03137
2012,17-29 y.,Eastern Europe,0.01282,42,42,-0.02161,0.04725
2012,30-45 y.,Southern Europe,0.00496,44,142,-0.00664,0.01657
2012,30-45 y.,Eastern Europe,0.01290,98,142,-0.00573,0.03153
2012,46-65 y.,Eastern Europe,0.01095,80,80,-0.01200,0.03390
2013,17-29 y.,Southern Europe,0.00382,59,232,-0.00414,0.01177
2013,17-29 y.,Western Asia,0.00441,45,232,-0.00414,0.01295
2013,17-29 y.,Eastern Europe,0.00933,128,232,-0.00307,0.02173
2013,30-45 y.,Southern Europe,0.00339,76,366,-0.00257,0.00934
2013,30-45 y.,Western Asia,0.00242,47,366,-0.00262,0.00746
2013,30-45 y.,Eastern Europe,0.01093,243,366,0.00026,0.02159
2013,46-65 y.,Eastern Europe,0.00948,178,178,-0.00480,0.02376
2013,66 and older,Eastern Europe,0.00365,32,32,-0.01757,0.02487
2014,17-29 y.,Southern Europe,0.00347,51,183,-0.00507,0.01202
2014,17-29 y.,Western Asia,0.00526,39,183,-0.00525,0.01576
2014,17-29 y.,Eastern Europe,0.00668,93,183,-0.00515,0.01852
2014,30-45 y.,Southern Europe,0.00450,77,327,-0.00277,0.01177
2014,30-45 y.,Western Asia,0.00229,41,327,-0.00290,0.00747
2014,30-45 y.,Eastern Europe,0.01100,209,327,-0.00032,0.02233
2014,46-65 y.,Southern Europe,0.00121,31,201,-0.00361,0.00602
2014,46-65 y.,Eastern Europe,0.00893,170,201,-0.00411,0.02197
2014,66 and older,Eastern Europe,0.00278,33,33,-0.01547,0.02104
2015,17-29 y.,Southern Europe,0.00498,41,173,-0.00554,0.01550
2015,17-29 y.,Western Asia,0.00624,40,173,-0.00553,0.01801
2015,17-29 y.,Eastern Europe,0.00795,92,173,-0.00532,0.02122
2015,30-45 y.,Southern Europe,0.00459,71,305,-0.00301,0.01220
2015,30-45 y.,Western Asia,0.00215,38,305,-0.00306,0.00735
2015,30-45 y.,Eastern Europe,0.01007,196,305,-0.00115,0.02130
2015,46-65 y.,Southern Europe,0.00123,38,186,-0.00382,0.00628
2015,46-65 y.,Eastern Europe,0.00832,148,186,-0.00477,0.02141
2015,66 and older,Eastern Europe,0.00343,32,32,-0.01716,0.02402
2016,17-29 y.,Southern Europe,0.00622,44,158,-0.00608,0.01851
2016,17-29 y.,Western Asia,0.00500,37,158,-0.00603,0.01604
2016,17-29 y.,Eastern Europe,0.00817,77,158,-0.00591,0.02225
2016,30-45 y.,Southern Europe,0.00531,52,256,-0.00361,0.01423
2016,30-45 y.,Western Asia,0.00291,37,256,-0.00370,0.00952
2016,30-45 y.,Eastern Europe,0.01086,167,256,-0.00186,0.02358
2016,46-65 y.,Southern Europe,0.00130,39,187,-0.00388,0.00649
2016,46-65 y.,Eastern Europe,0.00842,148,187,-0.00471,0.02155
2017,17-29 y.,Southern Europe,0.00678,46,160,-0.00598,0.01953
2017,17-29 y.,Western Asia,0.00618,47,160,-0.00600,0.01837
2017,17-29 y.,Eastern Europe,0.00499,67,160,-0.00596,0.01594
2017,30-45 y.,Southern Europe,0.00661,63,269,-0.00309,0.01631
2017,30-45 y.,Western Asia,0.00204,38,269,-0.00336,0.00744
2017,30-45 y.,Eastern Europe,0.01173,168,269,-0.00116,0.02462
2017,46-65 y.,Southern Europe,0.00272,46,201,-0.00450,0.00995
2017,46-65 y.,Eastern Europe,0.00851,155,201,-0.00422,0.02124
2017,66 and older,Eastern Europe,0.00659,48,48,-0.01654,0.02972
2018,17-29 y.,Southern Europe,0.00482,40,149,-0.00634,0.01598
2018,17-29 y.,Western Asia,0.00687,50,149,-0.00644,0.02019
2018,17-29 y.,Eastern Europe,0.00412,59,149,-0.00620,0.01444
2018,30-45 y.,Southern Europe,0.00674,63,269,-0.00306,0.01654
2018,30-45 y.,Western Asia,0.00202,35,269,-0.00335,0.00739
2018,30-45 y.,Eastern Europe,0.01229,171,269,-0.00090,0.02548
2018,46-65 y.,Southern Europe,0.00207,45,213,-0.00405,0.00819
2018,46-65 y.,Eastern Europe,0.00983,168,213,-0.00345,0.02311
2018,66 and older,Eastern Europe,0.00548,51,51,-0.01498,0.02594
2019,17-29 y.,Southern Europe,0.00566,45,130,-0.00729,0.01861
2019,17-29 y.,Western Asia,0.00676,38,130,-0.00738,0.02090
2019,17-29 y.,Eastern Europe,0.00400,47,130,-0.00689,0.01489
2019,30-45 y.,Southern Europe,0.00865,64,214,-0.00379,0.02109
2019,30-45 y.,Eastern Europe,0.01313,150,214,-0.00216,0.02842
2019,46-65 y.,Southern Europe,0.00227,54,230,-0.00390,0.00844
2019,46-65 y.,Eastern Europe,0.01008,176,230,-0.00286,0.02301
2019,66 and older,Eastern Europe,0.00702,46,46,-0.01738,0.03142
2020,17-29 y.,Southern Europe,0.00269,53,167,-0.00519,0.01058
2020,17-29 y.,Western Asia,0.00328,47,167,-0.00542,0.01197
2020,17-29 y.,Eastern Europe,0.00295,67,167,-0.00530,0.01119
2020,30-45 y.,Southern Europe,0.00408,75,297,-0.00318,0.01135
2020,30-45 y.,Western Asia,0.00140,45,297,-0.00286,0.00565
2020,30-45 y.,Eastern Europe,0.00615,177,297,-0.00276,0.01506
2020,46-65 y.,Southern Europe,0.00333,67,220,-0.00430,0.01096
2020,46-65 y.,Eastern Europe,0.00325,153,220,-0.00429,0.01079
2020,66 and older,Eastern Europe,0.00302,59,59,-0.01110,0.01714
2021,17-29 y.,Eastern Europe,0.00303,42,42,-0.01380,0.01986
2021,30-45 y.,Southern Europe,0.00757,59,166,-0.00566,0.02079
2021,30-45 y.,Eastern Europe,0.00716,107,166,-0.00571,0.02002
2021,46-65 y.,Southern Europe,0.00335,39,152,-0.00587,0.01258
2021,46-65 y.,Eastern Europe,0.00514,113,152,-0.00627,0.01655
2021,66 and older,Eastern Europe,0.00344,37,37,-0.01569,0.02258
