year,regtyp,sampreg,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,West,Yes,0.01342,193,8255,0.01094,0.01590
2016,Urban regions,West,No,0.98658,8062,8255,0.98410,0.98906
2016,Urban regions,East,Yes,0.01721,35,1122,0.00960,0.02483
2016,Urban regions,East,No,0.98279,1087,1122,0.97517,0.99040
2016,Rural regions,West,Yes,0.01774,89,2973,0.01299,0.02248
2016,Rural regions,West,No,0.98226,2884,2973,0.97752,0.98701
2016,Rural regions,East,Yes,0.03092,74,1952,0.02324,0.03860
2016,Rural regions,East,No,0.96908,1878,1952,0.96140,0.97676
2021,Urban regions,West,Yes,0.01415,128,6511,0.01128,0.01702
2021,Urban regions,West,No,0.98585,6383,6511,0.98298,0.98872
2021,Urban regions,East,No,0.98636,870,870,0.97865,0.99407
2021,Rural regions,West,Yes,0.01641,50,2153,0.01104,0.02178
2021,Rural regions,West,No,0.98359,2103,2153,0.97822,0.98896
2021,Rural regions,East,Yes,0.01727,37,1493,0.01066,0.02388
2021,Rural regions,East,No,0.98273,1456,1493,0.97612,0.98934
