year,quintil_oecd_hh,regtyp,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Urban regions,Yes,0.01588,51,1987,0.01038,0.02138
2016,1st Quintile,Urban regions,No,0.98412,1936,1987,0.97862,0.98962
2016,1st Quintile,Rural regions,Yes,0.03044,51,1109,0.02033,0.04056
2016,1st Quintile,Rural regions,No,0.96956,1058,1109,0.95944,0.97967
2016,2nd Quintile,Urban regions,Yes,0.01673,66,1849,0.01088,0.02258
2016,2nd Quintile,Urban regions,No,0.98327,1783,1849,0.97742,0.98912
2016,2nd Quintile,Rural regions,Yes,0.02189,42,1192,0.01358,0.03020
2016,2nd Quintile,Rural regions,No,0.97811,1150,1192,0.96980,0.98642
2016,3rd Quintile,Urban regions,Yes,0.01596,39,1725,0.01004,0.02187
2016,3rd Quintile,Urban regions,No,0.98404,1686,1725,0.97813,0.98996
2016,3rd Quintile,Rural regions,Yes,0.02708,31,1018,0.01710,0.03705
2016,3rd Quintile,Rural regions,No,0.97292,987,1018,0.96295,0.98290
2016,4th Quintile,Urban regions,Yes,0.01319,40,1761,0.00786,0.01852
2016,4th Quintile,Urban regions,No,0.98681,1721,1761,0.98148,0.99214
2016,4th Quintile,Rural regions,No,0.97829,876,876,0.96863,0.98794
2016,5th Quintile,Urban regions,Yes,0.00816,32,2050,0.00426,0.01205
2016,5th Quintile,Urban regions,No,0.99184,2018,2050,0.98795,0.99574
2016,5th Quintile,Rural regions,No,0.99267,691,691,0.98631,0.99904
2021,1st Quintile,Urban regions,No,0.98666,1320,1320,0.98047,0.99285
2021,1st Quintile,Rural regions,No,0.98188,673,673,0.97180,0.99197
2021,2nd Quintile,Urban regions,Yes,0.03128,36,1332,0.02192,0.04063
2021,2nd Quintile,Urban regions,No,0.96872,1296,1332,0.95937,0.97808
2021,2nd Quintile,Rural regions,No,0.98528,829,829,0.97707,0.99348
2021,3rd Quintile,Urban regions,No,0.99274,1273,1273,0.98807,0.99741
2021,3rd Quintile,Rural regions,No,0.99012,706,706,0.98282,0.99742
2021,4th Quintile,Urban regions,No,0.98828,1370,1370,0.98258,0.99398
2021,4th Quintile,Rural regions,No,0.97499,667,667,0.96313,0.98685
2021,5th Quintile,Urban regions,Yes,0.00887,38,2018,0.00478,0.01296
2021,5th Quintile,Urban regions,No,0.99113,1980,2018,0.98704,0.99522
2021,5th Quintile,Rural regions,No,0.98267,679,679,0.97285,0.99250
