year,hhtyp,regtyp,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Urban regions,No,0.99766,2311,2311,0.99569,0.99963
2016,Single-person household,Rural regions,No,0.99219,1061,1061,0.98689,0.99749
2016,Couple without children,Urban regions,No,0.99355,2541,2541,0.99043,0.99666
2016,Couple without children,Rural regions,No,0.98620,1510,1510,0.98031,0.99208
2016,Single parent,Urban regions,Yes,0.02946,45,992,0.01894,0.03999
2016,Single parent,Urban regions,No,0.97054,947,992,0.96001,0.98106
2016,Single parent,Rural regions,Yes,0.05739,32,532,0.03760,0.07717
2016,Single parent,Rural regions,No,0.94261,500,532,0.92283,0.96240
2016,Couple with children,Urban regions,Yes,0.03947,142,3297,0.03282,0.04612
2016,Couple with children,Urban regions,No,0.96053,3155,3297,0.95388,0.96718
2016,Couple with children,Rural regions,Yes,0.05148,100,1693,0.04095,0.06200
2016,Couple with children,Rural regions,No,0.94852,1593,1693,0.93800,0.95905
2016,Multi-generational household,Urban regions,No,0.97904,63,63,0.94338,1.01470
2016,Multi-generational household,Rural regions,No,0.97051,41,41,0.91809,1.02294
2016,Other Combinations,Urban regions,No,0.95442,132,132,0.91871,0.99014
2016,Other Combinations,Rural regions,No,0.97535,57,57,0.93473,1.01596
2021,Single-person household,Urban regions,No,0.99597,2233,2233,0.99334,0.99860
2021,Single-person household,Rural regions,No,0.99618,934,934,0.99223,1.00014
2021,Couple without children,Urban regions,No,0.99370,2195,2195,0.99039,0.99701
2021,Couple without children,Rural regions,No,0.98104,1185,1185,0.97328,0.98881
2021,Single parent,Urban regions,Yes,0.07988,32,572,0.05764,0.10211
2021,Single parent,Urban regions,No,0.92012,540,572,0.89789,0.94236
2021,Single parent,Rural regions,No,0.93813,309,309,0.91123,0.96504
2021,Couple with children,Urban regions,Yes,0.02919,82,2101,0.02199,0.03639
2021,Couple with children,Urban regions,No,0.97081,2019,2101,0.96361,0.97801
2021,Couple with children,Rural regions,Yes,0.02754,53,1061,0.01769,0.03739
2021,Couple with children,Rural regions,No,0.97246,1008,1061,0.96261,0.98231
2021,Multi-generational household,Urban regions,No,0.96905,44,44,0.91728,1.02081
2021,Other Combinations,Urban regions,No,0.98775,184,184,0.97181,1.00369
2021,Other Combinations,Rural regions,No,0.99728,76,76,0.98550,1.00906
