year,hhtyp,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,No,0.99605,3372,3372,0.99393,0.99817
2016,Couple without children,Yes,0.00901,46,4097,0.00612,0.01190
2016,Couple without children,No,0.99099,4051,4097,0.98810,0.99388
2016,Single parent,Yes,0.03925,77,1524,0.02950,0.04900
2016,Single parent,No,0.96075,1447,1524,0.95100,0.97050
2016,Couple with children,Yes,0.04317,242,4990,0.03753,0.04881
2016,Couple with children,No,0.95683,4748,4990,0.95119,0.96247
2016,Multi-generational household,No,0.97598,104,104,0.94641,1.00555
2016,Other Combinations,No,0.95943,189,189,0.93123,0.98763
2021,Single-person household,No,0.99604,3168,3168,0.99385,0.99823
2021,Couple without children,Yes,0.01035,34,3414,0.00696,0.01375
2021,Couple without children,No,0.98965,3380,3414,0.98625,0.99304
2021,Single parent,Yes,0.07337,47,896,0.05629,0.09046
2021,Single parent,No,0.92663,849,896,0.90954,0.94371
2021,Couple with children,Yes,0.02867,135,3162,0.02285,0.03449
2021,Couple with children,No,0.97133,3027,3162,0.96551,0.97715
2021,Multi-generational household,No,0.97660,71,71,0.94118,1.01201
2021,Other Combinations,No,0.99058,260,260,0.97882,1.00235
