year,bula_h,hhtyp,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Single-person household,No,0.96051,125,125,0.92623,0.99479
2016,Schleswig-Holstein,Couple without children,No,0.99126,130,130,0.97520,1.00732
2016,Schleswig-Holstein,Single parent,No,0.97794,54,54,0.93840,1.01748
2016,Schleswig-Holstein,Couple with children,No,0.95395,166,166,0.92196,0.98593
2016,Hamburg,Couple without children,No,0.98459,66,66,0.95465,1.01454
2016,Hamburg,Couple with children,No,0.99227,88,88,0.97386,1.01067
2016,Lower Saxony,Single-person household,No,0.99704,287,287,0.99075,1.00334
2016,Lower Saxony,Couple without children,No,0.98957,390,390,0.97947,0.99966
2016,Lower Saxony,Single parent,No,0.91347,144,144,0.86739,0.95955
2016,Lower Saxony,Couple with children,No,0.96190,457,457,0.94433,0.97947
2016,Bremen,Couple with children,No,0.99150,35,35,0.96063,1.02236
2016,North Rhine-Westphalia,Single-person household,No,0.99894,604,604,0.99634,1.00154
2016,North Rhine-Westphalia,Couple without children,No,0.99179,775,775,0.98543,0.99815
2016,North Rhine-Westphalia,Single parent,No,0.98057,300,300,0.96492,0.99621
2016,North Rhine-Westphalia,Couple with children,Yes,0.03812,47,1139,0.02700,0.04925
2016,North Rhine-Westphalia,Couple with children,No,0.96188,1092,1139,0.95075,0.97300
2016,Hesse,Couple without children,No,0.99731,280,280,0.99123,1.00339
2016,Hesse,Single parent,No,0.96405,103,103,0.92792,1.00018
2016,Hesse,Couple with children,No,0.95223,334,334,0.92932,0.97513
2016,"Rhineland-Palatinate, Saarland",Single parent,No,0.97306,79,79,0.93712,1.00899
2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.95134,282,282,0.92618,0.97650
2016,Baden-Wuerttemberg,Single-person household,No,0.99800,347,347,0.99328,1.00271
2016,Baden-Wuerttemberg,Couple without children,No,0.99771,426,426,0.99317,1.00225
2016,Baden-Wuerttemberg,Single parent,No,0.95781,139,139,0.92427,0.99135
2016,Baden-Wuerttemberg,Couple with children,No,0.96266,641,641,0.94797,0.97735
2016,Bavaria,Single-person household,No,0.99766,514,514,0.99348,1.00184
2016,Bavaria,Couple without children,No,0.98079,626,626,0.97003,0.99155
2016,Bavaria,Single parent,No,0.98684,230,230,0.97207,1.00160
2016,Bavaria,Couple with children,Yes,0.02601,35,866,0.01540,0.03662
2016,Bavaria,Couple with children,No,0.97399,831,866,0.96338,0.98460
2016,Berlin,Couple without children,No,0.99957,166,166,0.99641,1.00273
2016,Berlin,Single parent,No,0.93825,63,63,0.87834,0.99817
2016,Berlin,Couple with children,No,0.96012,130,130,0.92635,0.99389
2016,Brandenburg,Single-person household,No,0.99451,133,133,0.98191,1.00712
2016,Brandenburg,Couple without children,No,0.99771,211,211,0.99124,1.00418
2016,Brandenburg,Single parent,No,0.91535,48,48,0.83577,0.99493
2016,Brandenburg,Couple with children,No,0.92110,139,139,0.87612,0.96608
2016,Mecklenburg-Western Pomerania,Single-person household,No,0.99131,101,101,0.97311,1.00950
2016,Mecklenburg-Western Pomerania,Single parent,No,0.89116,35,35,0.78647,0.99584
2016,Mecklenburg-Western Pomerania,Couple with children,No,0.88544,68,68,0.80917,0.96170
2016,Saxony,Single-person household,No,0.97758,225,225,0.95819,0.99697
2016,Saxony,Couple without children,No,0.97756,282,282,0.96024,0.99488
2016,Saxony,Single parent,No,0.96507,89,89,0.92671,1.00343
2016,Saxony,Couple with children,No,0.90286,222,222,0.86382,0.94191
2016,Saxony-Anhalt,Couple without children,No,0.98957,151,151,0.97330,1.00583
2016,Saxony-Anhalt,Single parent,No,0.93149,67,67,0.87054,0.99244
2016,Saxony-Anhalt,Couple with children,No,0.91507,122,122,0.86539,0.96474
2016,Thuringa,Couple without children,No,0.98071,180,180,0.96056,1.00086
2016,Thuringa,Single parent,No,0.89528,48,48,0.80774,0.98282
2016,Thuringa,Couple with children,No,0.94852,141,141,0.91192,0.98513
2021,Schleswig-Holstein,Couple without children,No,0.93788,123,123,0.89505,0.98071
2021,Schleswig-Holstein,Single parent,No,0.99829,31,31,0.98348,1.01309
2021,Schleswig-Holstein,Couple with children,No,0.97882,148,148,0.95554,1.00210
2021,Hamburg,Single-person household,No,0.99322,81,81,0.97523,1.01120
2021,Hamburg,Couple without children,No,0.96892,89,89,0.93267,1.00518
2021,Hamburg,Couple with children,No,0.90973,62,62,0.83782,0.98165
2021,Lower Saxony,Single-person household,No,0.99544,288,288,0.98765,1.00324
2021,Lower Saxony,Couple without children,No,0.99956,328,328,0.99729,1.00183
2021,Lower Saxony,Single parent,No,0.85705,87,87,0.78307,0.93103
2021,Lower Saxony,Couple with children,No,0.97967,303,303,0.96375,0.99559
2021,North Rhine-Westphalia,Single-person household,No,0.99510,626,626,0.98962,1.00057
2021,North Rhine-Westphalia,Couple without children,No,0.99107,672,672,0.98396,0.99819
2021,North Rhine-Westphalia,Single parent,No,0.96759,159,159,0.93998,0.99521
2021,North Rhine-Westphalia,Couple with children,Yes,0.03326,33,714,0.02010,0.04642
2021,North Rhine-Westphalia,Couple with children,No,0.96674,681,714,0.95358,0.97990
2021,Hesse,Single-person household,No,0.99496,206,206,0.98527,1.00465
2021,Hesse,Couple without children,No,0.99690,212,212,0.98939,1.00440
2021,Hesse,Single parent,No,0.99594,59,59,0.97958,1.01230
2021,Hesse,Couple with children,No,0.99301,180,180,0.98080,1.00521
2021,"Rhineland-Palatinate, Saarland",Couple without children,No,0.99679,161,161,0.98804,1.00555
2021,"Rhineland-Palatinate, Saarland",Single parent,No,0.90314,36,36,0.80516,1.00113
2021,"Rhineland-Palatinate, Saarland",Couple with children,No,0.94541,146,146,0.90843,0.98239
2021,Baden-Wuerttemberg,Single-person household,No,0.99822,310,310,0.99352,1.00292
2021,Baden-Wuerttemberg,Couple without children,No,0.99663,361,361,0.99064,1.00262
2021,Baden-Wuerttemberg,Single parent,No,0.79441,77,77,0.70355,0.88527
2021,Baden-Wuerttemberg,Couple with children,No,0.97740,401,401,0.96284,0.99197
2021,Bavaria,Single-person household,No,0.99277,514,514,0.98544,1.00010
2021,Bavaria,Couple without children,No,0.98167,499,499,0.96988,0.99345
2021,Bavaria,Single parent,No,0.95799,124,124,0.92254,0.99345
2021,Bavaria,Couple with children,No,0.97620,510,510,0.96295,0.98944
2021,Bavaria,Other Combinations,No,0.99398,44,44,0.97086,1.01710
2021,Berlin,Single-person household,No,0.99838,236,236,0.99323,1.00352
2021,Berlin,Single parent,No,0.97633,37,37,0.92666,1.02599
2021,Berlin,Couple with children,No,0.99883,116,116,0.99260,1.00507
2021,Brandenburg,Single-person household,No,0.99879,119,119,0.99251,1.00507
2021,Brandenburg,Couple without children,No,0.98543,162,162,0.96692,1.00394
2021,Brandenburg,Couple with children,No,0.96912,107,107,0.93619,1.00206
2021,Mecklenburg-Western Pomerania,Single-person household,No,0.99951,82,82,0.99469,1.00433
2021,Saxony,Single-person household,No,0.99051,196,196,0.97690,1.00412
2021,Saxony,Couple without children,No,0.99006,263,263,0.97805,1.00207
2021,Saxony,Single parent,No,0.85075,66,66,0.76412,0.93738
2021,Saxony,Couple with children,No,0.93014,154,154,0.88975,0.97054
