"beruf","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1984","16-34 J.","(noch) kein Abschluss","140","0.146670814837403","0.116116353718918","0.177225275955888"
"Angestellte, einfache Tätigkeiten","1984","16-34 J.","Hauptschule","692","0.271448020209485","0.252965792775923","0.289930247643048"
"Angestellte, einfache Tätigkeiten","1984","16-34 J.","Realschule","104","0.104117411116957","0.085216408027829","0.123018414206086"
"Angestellte, einfache Tätigkeiten","1984","16-34 J.","(Fach-)Abitur","77","0.0971122119561519","0.0727391341862897","0.121485289726014"
"Angestellte, einfache Tätigkeiten","1984","16-34 J.","AkademikerIn","","","",""
"Angestellte, einfache Tätigkeiten","1984","35-65 J.","(noch) kein Abschluss","427","0.5326483641424","0.496845245335174","0.568451482949627"
"Angestellte, einfache Tätigkeiten","1984","35-65 J.","Hauptschule","1202","0.243757542630363","0.230547578777387","0.256967506483338"
"Angestellte, einfache Tätigkeiten","1984","35-65 J.","Realschule","69","0.095985352827985","0.0741947245942446","0.117775981061725"
"Angestellte, einfache Tätigkeiten","1984","35-65 J.","(Fach-)Abitur","54","0.0970741093423112","0.0602272894931756","0.133920929191447"
"Angestellte, einfache Tätigkeiten","1984","35-65 J.","AkademikerIn","","","",""
"Angestellte, einfache Tätigkeiten","1984","66 und älter","(noch) kein Abschluss","","","",""
"Angestellte, einfache Tätigkeiten","1984","66 und älter","Hauptschule","","","",""
"Angestellte, einfache Tätigkeiten","1984","66 und älter","Realschule","","","",""
"Angestellte, einfache Tätigkeiten","1984","66 und älter","(Fach-)Abitur","","","",""
"Angestellte, einfache Tätigkeiten","1984","66 und älter","AkademikerIn","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","16-34 J.","(noch) kein Abschluss","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","16-34 J.","Hauptschule","581","0.309319192256037","0.290109392959488","0.328528991552585"
"Angestellte, qualifizierte Tätigkeiten","1984","16-34 J.","Realschule","312","0.32083969736411","0.291951009257423","0.349728385470798"
"Angestellte, qualifizierte Tätigkeiten","1984","16-34 J.","(Fach-)Abitur","100","0.189387396847821","0.157136724371972","0.22163806932367"
"Angestellte, qualifizierte Tätigkeiten","1984","16-34 J.","AkademikerIn","96","0.417884270171556","0.356125629533155","0.479642910809958"
"Angestellte, qualifizierte Tätigkeiten","1984","35-65 J.","(noch) kein Abschluss","39","0.0577775829883642","0.0410345135417104","0.074520652435018"
"Angestellte, qualifizierte Tätigkeiten","1984","35-65 J.","Hauptschule","979","0.245008251954258","0.231775397737563","0.258241106170953"
"Angestellte, qualifizierte Tätigkeiten","1984","35-65 J.","Realschule","272","0.376507107178325","0.340665961970232","0.412348252386418"
"Angestellte, qualifizierte Tätigkeiten","1984","35-65 J.","(Fach-)Abitur","84","0.344582623040066","0.2854362779697","0.403728968110433"
"Angestellte, qualifizierte Tätigkeiten","1984","35-65 J.","AkademikerIn","170","0.352174439066062","0.309444189631916","0.394904688500208"
"Angestellte, qualifizierte Tätigkeiten","1984","66 und älter","(noch) kein Abschluss","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","66 und älter","Hauptschule","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","66 und älter","Realschule","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","66 und älter","(Fach-)Abitur","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","66 und älter","AkademikerIn","","","",""
"Selbstständige/ManagerInnen","1984","16-34 J.","(noch) kein Abschluss","","","",""
"Selbstständige/ManagerInnen","1984","16-34 J.","Hauptschule","60","0.0284387721969843","0.021530471889803","0.0353470725041656"
"Selbstständige/ManagerInnen","1984","16-34 J.","Realschule","46","0.0458391115537459","0.0328963626523027","0.0587818604551892"
"Selbstständige/ManagerInnen","1984","16-34 J.","(Fach-)Abitur","","","",""
"Selbstständige/ManagerInnen","1984","16-34 J.","AkademikerIn","","","",""
"Selbstständige/ManagerInnen","1984","35-65 J.","(noch) kein Abschluss","","","",""
"Selbstständige/ManagerInnen","1984","35-65 J.","Hauptschule","269","0.0700337946712802","0.0621818092910589","0.0778857800515014"
"Selbstständige/ManagerInnen","1984","35-65 J.","Realschule","78","0.111938112084602","0.0886148044823348","0.13526141968687"
"Selbstständige/ManagerInnen","1984","35-65 J.","(Fach-)Abitur","31","0.140363180381738","0.0971310780850674","0.183595282678408"
"Selbstständige/ManagerInnen","1984","35-65 J.","AkademikerIn","85","0.180494722721002","0.146088610310139","0.214900835131864"
"Selbstständige/ManagerInnen","1984","66 und älter","(noch) kein Abschluss","","","",""
"Selbstständige/ManagerInnen","1984","66 und älter","Hauptschule","","","",""
"Selbstständige/ManagerInnen","1984","66 und älter","Realschule","","","",""
"Selbstständige/ManagerInnen","1984","66 und älter","(Fach-)Abitur","","","",""
"Selbstständige/ManagerInnen","1984","66 und älter","AkademikerIn","","","",""
"In Ausbildung","1984","16-34 J.","(noch) kein Abschluss","218","0.673337900847456","0.632832738132411","0.713843063562501"
"In Ausbildung","1984","16-34 J.","Hauptschule","294","0.127195032874632","0.113347437019142","0.141042628730123"
"In Ausbildung","1984","16-34 J.","Realschule","329","0.32225839199693","0.293336159248307","0.351180624745553"
"In Ausbildung","1984","16-34 J.","(Fach-)Abitur","254","0.487444306570945","0.446301909279582","0.528586703862308"
"In Ausbildung","1984","16-34 J.","AkademikerIn","","","",""
"In Ausbildung","1984","35-65 J.","(noch) kein Abschluss","","","",""
"In Ausbildung","1984","35-65 J.","Hauptschule","","","",""
"In Ausbildung","1984","35-65 J.","Realschule","","","",""
"In Ausbildung","1984","35-65 J.","(Fach-)Abitur","","","",""
"In Ausbildung","1984","35-65 J.","AkademikerIn","","","",""
"In Ausbildung","1984","66 und älter","(noch) kein Abschluss","","","",""
"In Ausbildung","1984","66 und älter","Hauptschule","","","",""
"In Ausbildung","1984","66 und älter","Realschule","","","",""
"In Ausbildung","1984","66 und älter","(Fach-)Abitur","","","",""
