"beruf","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Westdeutschland, alte Bundeslaender","maennlich","1457","0.156384896404547","0.147190503174377","0.165579289634716"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Westdeutschland, alte Bundeslaender","weiblich","1407","0.168736146340553","0.159434768206693","0.178037524474413"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","Westdeutschland, alte Bundeslaender","maennlich","1916","0.33658030731793","0.324618631502482","0.348541983133379"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","Westdeutschland, alte Bundeslaender","weiblich","768","0.130876510991455","0.122500342841939","0.139252679140972"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","Westdeutschland, alte Bundeslaender","maennlich","457","0.0838090388602902","0.0767946162380915","0.0908234614824889"
"Selbstständige/ManagerInnen","1984","Westdeutschland, alte Bundeslaender","weiblich","206","0.0325690924653107","0.0281606355904623","0.0369775493401591"
"Selbstständige/ManagerInnen","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Selbstständige/ManagerInnen","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"In Ausbildung","1984","Westdeutschland, alte Bundeslaender","maennlich","650","0.104410281842584","0.0966695917406771","0.112150971944492"
"In Ausbildung","1984","Westdeutschland, alte Bundeslaender","weiblich","509","0.0788744591657828","0.0721802173160178","0.0855687010155479"
"In Ausbildung","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"In Ausbildung","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"In Rente oder Pension","1984","Westdeutschland, alte Bundeslaender","maennlich","748","0.187418305966952","0.177539760149964","0.19729685178394"
"In Rente oder Pension","1984","Westdeutschland, alte Bundeslaender","weiblich","1028","0.261957946045819","0.251037757628616","0.272878134463021"
"In Rente oder Pension","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"In Rente oder Pension","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Arbeitslose","1984","Westdeutschland, alte Bundeslaender","maennlich","250","0.0359824781998664","0.0312679146238009","0.0406970417759319"
"Arbeitslose","1984","Westdeutschland, alte Bundeslaender","weiblich","189","0.0241712256362047","0.0203569687819196","0.0279854824904898"
"Arbeitslose","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Arbeitslose","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1984","Westdeutschland, alte Bundeslaender","maennlich","131","0.0183075559386991","0.0149139891077629","0.0217011227696354"
"Sonstige Nichterwerbspersonen","1984","Westdeutschland, alte Bundeslaender","weiblich","2015","0.284828187307084","0.273619094457663","0.296037280156505"
"Sonstige Nichterwerbspersonen","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Sonstige Nichterwerbspersonen","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Beamte","1984","Westdeutschland, alte Bundeslaender","maennlich","386","0.0771071354691311","0.0703544514811223","0.0838598194571398"
"Beamte","1984","Westdeutschland, alte Bundeslaender","weiblich","106","0.0179864320477907","0.0146857397189436","0.0212871243766378"
"Beamte","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Beamte","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","Westdeutschland, alte Bundeslaender","maennlich","1114","0.131072652159915","0.122111222130931","0.140034082188899"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","Westdeutschland, alte Bundeslaender","weiblich","1269","0.172888011842716","0.16300234668474","0.182773677000691"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","Westdeutschland, alte Bundeslaender","maennlich","1879","0.345290908610231","0.332665475096203","0.357916342124259"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","Westdeutschland, alte Bundeslaender","weiblich","753","0.140446266298336","0.13136319103062","0.149529341566052"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Selbstständige/ManagerInnen","1985","Westdeutschland, alte Bundeslaender","maennlich","402","0.081308804354551","0.0740513701685703","0.0885662385405317"
"Selbstständige/ManagerInnen","1985","Westdeutschland, alte Bundeslaender","weiblich","207","0.0359877917624545","0.0311185631570878","0.0408570203678212"
"Selbstständige/ManagerInnen","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Selbstständige/ManagerInnen","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"In Ausbildung","1985","Westdeutschland, alte Bundeslaender","maennlich","631","0.112833405720362","0.104432018918254","0.12123479252247"
"In Ausbildung","1985","Westdeutschland, alte Bundeslaender","weiblich","469","0.0798151851723243","0.0727304830950081","0.0868998872496404"
"In Ausbildung","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"In Ausbildung","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"In Rente oder Pension","1985","Westdeutschland, alte Bundeslaender","maennlich","666","0.187132488301319","0.176775964182914","0.197489012419724"
"In Rente oder Pension","1985","Westdeutschland, alte Bundeslaender","weiblich","936","0.270325765553512","0.258715302929815","0.281936228177208"
"In Rente oder Pension","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"In Rente oder Pension","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Arbeitslose","1985","Westdeutschland, alte Bundeslaender","maennlich","283","0.0471907668159077","0.0415600843417876","0.0528214492900278"
"Arbeitslose","1985","Westdeutschland, alte Bundeslaender","weiblich","226","0.0325682552323855","0.0279279268882255","0.0372085835765455"
"Arbeitslose","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Arbeitslose","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1985","Westdeutschland, alte Bundeslaender","maennlich","103","0.0160988088582571","0.0127568418615133","0.0194407758550009"
"Sonstige Nichterwerbspersonen","1985","Westdeutschland, alte Bundeslaender","weiblich","1664","0.249895803859555","0.238577494043599","0.261214113675511"
"Sonstige Nichterwerbspersonen","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
