"beruf","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1984","Schleswig-Holstein","männlich","30","0.131298055099748","0.0831496692337768","0.179446440965719"
"Angestellte, einfache Tätigkeiten","1984","Schleswig-Holstein","weiblich","41","0.178502184166603","0.125028519070569","0.231975849262637"
"Angestellte, einfache Tätigkeiten","1984","Hamburg","männlich","35","0.115275998294384","0.0641695368218666","0.166382459766902"
"Angestellte, einfache Tätigkeiten","1984","Hamburg","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Niedersachsen","männlich","107","0.121166606979212","0.0950123583754097","0.147320855583015"
"Angestellte, einfache Tätigkeiten","1984","Niedersachsen","weiblich","106","0.139095566917288","0.112138021067088","0.166053112767488"
"Angestellte, einfache Tätigkeiten","1984","Bremen","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Bremen","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Nordrhein-Westfalen","männlich","408","0.171069614211969","0.152623797331326","0.189515431092613"
"Angestellte, einfache Tätigkeiten","1984","Nordrhein-Westfalen","weiblich","298","0.136279540374673","0.119730360054383","0.152828720694963"
"Angestellte, einfache Tätigkeiten","1984","Hessen","männlich","152","0.142736970770441","0.1152908429676","0.170183098573282"
"Angestellte, einfache Tätigkeiten","1984","Hessen","weiblich","156","0.191305071011504","0.160319581073851","0.222290560949156"
"Angestellte, einfache Tätigkeiten","1984","Rheinland-Pfalz,Saarland","männlich","84","0.147929690383164","0.113771926424231","0.182087454342097"
"Angestellte, einfache Tätigkeiten","1984","Rheinland-Pfalz,Saarland","weiblich","84","0.151979537672548","0.118204258171485","0.18575481717361"
"Angestellte, einfache Tätigkeiten","1984","Baden-Württemberg","männlich","341","0.171501561966742","0.149366263489364","0.19363686044412"
"Angestellte, einfache Tätigkeiten","1984","Baden-Württemberg","weiblich","340","0.226346824997095","0.201980305697756","0.250713344296434"
"Angestellte, einfache Tätigkeiten","1984","Bayern","männlich","207","0.154752238186657","0.132223286798697","0.177281189574618"
"Angestellte, einfache Tätigkeiten","1984","Bayern","weiblich","266","0.182877532033895","0.159981259616019","0.205773804451772"
"Angestellte, einfache Tätigkeiten","1984","Saarland","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Saarland","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Berlin","männlich","53","0.203209431125057","0.14701943521892","0.259399427031193"
"Angestellte, einfache Tätigkeiten","1984","Berlin","weiblich","71","0.243675452363681","0.185750344388995","0.301600560338367"
"Angestellte, einfache Tätigkeiten","1984","Brandenburg","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Brandenburg","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Mecklenburg-Vorpommern","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Sachsen","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Sachsen","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Sachsen-Anhalt","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Sachsen-Anhalt","weiblich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Thüringen","männlich","","","",""
"Angestellte, einfache Tätigkeiten","1984","Thüringen","weiblich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Schleswig-Holstein","männlich","69","0.372569253026035","0.303639996671467","0.441498509380603"
"Angestellte, qualifizierte Tätigkeiten","1984","Schleswig-Holstein","weiblich","31","0.152558096767059","0.102348402572628","0.20276779096149"
"Angestellte, qualifizierte Tätigkeiten","1984","Hamburg","männlich","49","0.344405514220018","0.268363229725836","0.420447798714201"
"Angestellte, qualifizierte Tätigkeiten","1984","Hamburg","weiblich","36","0.235317239619229","0.169382081637362","0.301252397601096"
"Angestellte, qualifizierte Tätigkeiten","1984","Niedersachsen","männlich","190","0.334746466872414","0.296924065867685","0.372568867877142"
"Angestellte, qualifizierte Tätigkeiten","1984","Niedersachsen","weiblich","73","0.115742220265246","0.0908202952325999","0.140664145297891"
"Angestellte, qualifizierte Tätigkeiten","1984","Bremen","männlich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Bremen","weiblich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Nordrhein-Westfalen","männlich","493","0.334663084875096","0.31154897676859","0.357777192981602"
"Angestellte, qualifizierte Tätigkeiten","1984","Nordrhein-Westfalen","weiblich","196","0.128861649758167","0.112700213095782","0.145023086420552"
"Angestellte, qualifizierte Tätigkeiten","1984","Hessen","männlich","205","0.331021195630173","0.294098799563077","0.36794359169727"
"Angestellte, qualifizierte Tätigkeiten","1984","Hessen","weiblich","78","0.141936171668508","0.11444399618038","0.169428347156636"
"Angestellte, qualifizierte Tätigkeiten","1984","Rheinland-Pfalz,Saarland","männlich","128","0.309332344381484","0.264861920578972","0.353802768183996"
"Angestellte, qualifizierte Tätigkeiten","1984","Rheinland-Pfalz,Saarland","weiblich","42","0.101664484196515","0.0732325017720331","0.130096466620997"
"Angestellte, qualifizierte Tätigkeiten","1984","Baden-Württemberg","männlich","367","0.37071738395657","0.342354535877667","0.399080232035472"
"Angestellte, qualifizierte Tätigkeiten","1984","Baden-Württemberg","weiblich","119","0.121220200336606","0.102215515694101","0.14022488497911"
"Angestellte, qualifizierte Tätigkeiten","1984","Bayern","männlich","329","0.332977961785994","0.303621187712061","0.362334735859927"
"Angestellte, qualifizierte Tätigkeiten","1984","Bayern","weiblich","152","0.138941660216825","0.118454886896121","0.159428433537529"
"Angestellte, qualifizierte Tätigkeiten","1984","Saarland","männlich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Saarland","weiblich","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","Berlin","männlich","62","0.33154873952737","0.265809671661033","0.397287807393707"
"Angestellte, qualifizierte Tätigkeiten","1984","Berlin","weiblich","37","0.176537699757126","0.125092192272152","0.2279832072421"
