"beruf","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","kein Migrationshintergrund","maennlich","537","0.128638245896694","0.118412635975843","0.138863855817545"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","kein Migrationshintergrund","weiblich","782","0.155918791167915","0.145390463315455","0.166447119020375"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","direkter Migrationshintergrund","maennlich","914","0.393583796211562","0.371108067563726","0.416059524859397"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","direkter Migrationshintergrund","weiblich","611","0.30648426825137","0.283901110033629","0.32906742646911"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","kein Migrationshintergrund","maennlich","1476","0.343323801642563","0.328821647598752","0.357825955686374"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","kein Migrationshintergrund","weiblich","680","0.134492180366391","0.124590655783212","0.144393704949571"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","direkter Migrationshintergrund","maennlich","430","0.282339054748664","0.261630255840877","0.303047853656451"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","direkter Migrationshintergrund","weiblich","83","0.0909042141074919","0.0768227032086836","0.1049857250063"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Selbstständige/ManagerInnen","1984","kein Migrationshintergrund","maennlich","374","0.088450554178746","0.0797780340858564","0.0971230742716356"
"Selbstständige/ManagerInnen","1984","kein Migrationshintergrund","weiblich","160","0.0325970834887018","0.0274434785520962","0.0377506884253074"
"Selbstständige/ManagerInnen","1984","direkter Migrationshintergrund","maennlich","79","0.0458802440267341","0.0362547266997727","0.0555057613536955"
"Selbstständige/ManagerInnen","1984","direkter Migrationshintergrund","weiblich","42","0.0285633430802666","0.0204038310526259","0.0367228551079073"
"Selbstständige/ManagerInnen","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Selbstständige/ManagerInnen","1984","indirekter Migrationshintergrund","weiblich","","","",""
"In Ausbildung","1984","kein Migrationshintergrund","maennlich","473","0.106895476295398","0.0974584377742692","0.116332514816527"
"In Ausbildung","1984","kein Migrationshintergrund","weiblich","393","0.0802551091769809","0.0723703561987944","0.0881398621551673"
"In Ausbildung","1984","direkter Migrationshintergrund","maennlich","142","0.0764239465674388","0.0642014242517777","0.0886464688830998"
"In Ausbildung","1984","direkter Migrationshintergrund","weiblich","96","0.0575872742531953","0.0461759444458708","0.0689986040605197"
"In Ausbildung","1984","indirekter Migrationshintergrund","maennlich","35","0.302044138946828","0.18775592863356","0.416332349260095"
"In Ausbildung","1984","indirekter Migrationshintergrund","weiblich","","","",""
"In Rente oder Pension","1984","kein Migrationshintergrund","maennlich","692","0.199675162330521","0.187465600161295","0.211884724499748"
"In Rente oder Pension","1984","kein Migrationshintergrund","weiblich","970","0.278619345253602","0.265608487332415","0.291630203174789"
"In Rente oder Pension","1984","direkter Migrationshintergrund","maennlich","53","0.0823904897861267","0.0697408758351048","0.0950401037371485"
"In Rente oder Pension","1984","direkter Migrationshintergrund","weiblich","55","0.0922964897229609","0.0781184227163178","0.106474556729604"
"In Rente oder Pension","1984","indirekter Migrationshintergrund","maennlich","","","",""
"In Rente oder Pension","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Arbeitslose","1984","kein Migrationshintergrund","maennlich","130","0.0322954214432263","0.0268960053584657","0.0376948375279868"
"Arbeitslose","1984","kein Migrationshintergrund","weiblich","106","0.0218153479479811","0.0175758976392405","0.0260547982567217"
"Arbeitslose","1984","direkter Migrationshintergrund","maennlich","119","0.0686097505546105","0.0569800497982243","0.0802394513109967"
"Arbeitslose","1984","direkter Migrationshintergrund","weiblich","79","0.0490458441124778","0.0384671192439054","0.0596245689810502"
"Arbeitslose","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Arbeitslose","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Sonstige Nichterwerbspersonen","1984","kein Migrationshintergrund","maennlich","70","0.0172994539816405","0.0133171746802274","0.0212817332830535"
"Sonstige Nichterwerbspersonen","1984","kein Migrationshintergrund","weiblich","1373","0.27714166469477","0.264152071140297","0.290131258249242"
"Sonstige Nichterwerbspersonen","1984","direkter Migrationshintergrund","maennlich","59","0.0273558788056631","0.0198515458471274","0.0348602117641987"
"Sonstige Nichterwerbspersonen","1984","direkter Migrationshintergrund","weiblich","626","0.368426126296231","0.344797432565464","0.392054820026999"
"Sonstige Nichterwerbspersonen","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Sonstige Nichterwerbspersonen","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Beamte","1984","kein Migrationshintergrund","maennlich","366","0.0834218842312102","0.0749763007472079","0.0918674677152125"
"Beamte","1984","kein Migrationshintergrund","weiblich","97","0.0191604779036587","0.0151819702123118","0.0231389855950055"
"Beamte","1984","direkter Migrationshintergrund","maennlich","","","",""
"Beamte","1984","direkter Migrationshintergrund","weiblich","","","",""
"Beamte","1984","indirekter Migrationshintergrund","maennlich","","","",""
"Beamte","1984","indirekter Migrationshintergrund","weiblich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","kein Migrationshintergrund","maennlich","436","0.109139149216575","0.0992407067287372","0.119037591704412"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","kein Migrationshintergrund","weiblich","742","0.161160081974193","0.15000182701685","0.172318336931537"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","direkter Migrationshintergrund","maennlich","670","0.315758638730003","0.292766437760075","0.338750839699931"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","direkter Migrationshintergrund","weiblich","515","0.297511171338975","0.273329619255289","0.321692723422661"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","indirekter Migrationshintergrund","maennlich","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","indirekter Migrationshintergrund","weiblich","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","kein Migrationshintergrund","maennlich","1385","0.347085655340891","0.331973789731398","0.362197520950383"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","kein Migrationshintergrund","weiblich","652","0.142910013522988","0.132288839200514","0.153531187845461"
