"beruf","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Hamburg","","","",""
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Niedersachsen","","","",""
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Bremen","","","",""
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Nordrhein-Westfalen","153","0.254938918414506","0.212335046216583","0.29754279061243"
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Hessen","63","0.287671707998492","0.213216926799862","0.362126489197121"
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","41","0.43788661282355","0.324848465882297","0.550924759764803"
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Baden-Württemberg","177","0.350523268962461","0.299353308395201","0.40169322952972"
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Bayern","66","0.261249365450178","0.185730932338151","0.336767798562205"
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Saarland","","","",""
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Berlin","","","",""
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Sachsen","","","",""
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Angestellte, einfache Tätigkeiten","1984","(noch) kein Abschluss","Thüringen","","","",""
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Schleswig-Holstein","42","0.15740986832307","0.109823671783379","0.204996064862761"
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Hamburg","41","0.154923125896345","0.0993761368158357","0.210470114976853"
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Niedersachsen","157","0.172735378250706","0.145590816878788","0.199879939622624"
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Bremen","","","",""
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Nordrhein-Westfalen","477","0.194835275404515","0.17689804581424","0.212772504994789"
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Hessen","199","0.211663734739938","0.181510596920099","0.241816872559778"
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Rheinland-Pfalz,Saarland","116","0.165609220964038","0.135664915612216","0.195553526315859"
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Baden-Württemberg","442","0.244853127850507","0.221932406191659","0.267773849509354"
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Bayern","338","0.213366521955703","0.190940438700059","0.235792605211347"
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Saarland","","","",""
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Berlin","77","0.294022803172411","0.232402435219013","0.355643171125809"
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Brandenburg","","","",""
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Sachsen","","","",""
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Sachsen-Anhalt","","","",""
"Angestellte, einfache Tätigkeiten","1984","Hauptschule","Thüringen","","","",""
"Angestellte, einfache Tätigkeiten","1984","Realschule","Schleswig-Holstein","","","",""
