"beruf","year","migback","n","percent","lower_confidence","upper_confidence"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","kein Migrationshintergrund","1319","0.143218104792043","0.135848446551365","0.150587763032721"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","direkter Migrationshintergrund","1525","0.351292853348223","0.335284444827906","0.36730126186854"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","kein Migrationshintergrund","2156","0.2317154910013","0.222838785339772","0.240592196662827"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","direkter Migrationshintergrund","513","0.189388379845944","0.176249079595264","0.202527680096624"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","indirekter Migrationshintergrund","","","",""
"Selbstständige/ManagerInnen","1984","kein Migrationshintergrund","534","0.0586001346442287","0.0536587390951426","0.0635415301933148"
"Selbstständige/ManagerInnen","1984","direkter Migrationshintergrund","121","0.0374720690842492","0.0311033855714148","0.0438407525970835"
"Selbstständige/ManagerInnen","1984","indirekter Migrationshintergrund","","","",""
"In Ausbildung","1984","kein Migrationshintergrund","866","0.0926577552511433","0.0865576166888039","0.0987578938134826"
"In Ausbildung","1984","direkter Migrationshintergrund","238","0.067277850701785","0.0588774237541835","0.0756782776493865"
"In Ausbildung","1984","indirekter Migrationshintergrund","55","0.242946989048599","0.16865157416623","0.317242403930968"
"In Rente oder Pension","1984","kein Migrationshintergrund","1662","0.241866219590705","0.232857277834778","0.250875161346632"
"In Rente oder Pension","1984","direkter Migrationshintergrund","108","0.0872003215629919","0.0777393455269757","0.0966612975990081"
"In Rente oder Pension","1984","indirekter Migrationshintergrund","","","",""
"Arbeitslose","1984","kein Migrationshintergrund","236","0.0266944339536269","0.0233032745196111","0.0300855933876426"
"Arbeitslose","1984","direkter Migrationshintergrund","198","0.0591105481030647","0.0512021057534008","0.0670189904527286"
"Arbeitslose","1984","indirekter Migrationshintergrund","","","",""
"Sonstige Nichterwerbspersonen","1984","kein Migrationshintergrund","1443","0.156169946839767","0.148532653486169","0.163807240193365"
"Sonstige Nichterwerbspersonen","1984","direkter Migrationshintergrund","685","0.192961625321314","0.179728216566184","0.206195034076445"
"Sonstige Nichterwerbspersonen","1984","indirekter Migrationshintergrund","","","",""
"Beamte","1984","kein Migrationshintergrund","463","0.0490779139271871","0.0445329675738634","0.0536228602805109"
"Beamte","1984","direkter Migrationshintergrund","","","",""
"Beamte","1984","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","kein Migrationshintergrund","1178","0.136902342518936","0.129361837471108","0.144442847566764"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","direkter Migrationshintergrund","1185","0.306910558093984","0.290247545751544","0.323573570436424"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","kein Migrationshintergrund","2037","0.238118600908481","0.228775191636685","0.247462010180277"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","direkter Migrationshintergrund","575","0.226893502544326","0.211761944390608","0.242025060698043"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","indirekter Migrationshintergrund","","","",""
"Selbstständige/ManagerInnen","1985","kein Migrationshintergrund","508","0.0597997710317166","0.0545983146223299","0.0650012274411032"
"Selbstständige/ManagerInnen","1985","direkter Migrationshintergrund","97","0.0357429031777178","0.0290356562645824","0.0424501500908531"
"Selbstständige/ManagerInnen","1985","indirekter Migrationshintergrund","","","",""
"In Ausbildung","1985","kein Migrationshintergrund","838","0.0975151925606813","0.0910075885587353","0.104022796562627"
"In Ausbildung","1985","direkter Migrationshintergrund","196","0.0666800867140691","0.0576671503663627","0.0756930230617756"
"In Ausbildung","1985","indirekter Migrationshintergrund","66","0.240002942500583","0.170003543568166","0.310002341433"
"In Rente oder Pension","1985","kein Migrationshintergrund","1476","0.243641387873271","0.234224564234552","0.25305821151199"
"In Rente oder Pension","1985","direkter Migrationshintergrund","121","0.116060485054312","0.104488538345558","0.127632431763065"
"In Rente oder Pension","1985","indirekter Migrationshintergrund","","","",""
"Arbeitslose","1985","kein Migrationshintergrund","298","0.0367041961682454","0.032579397843409","0.0408289944930818"
"Arbeitslose","1985","direkter Migrationshintergrund","204","0.0651430426184841","0.0562272581383662","0.074058827098602"
"Arbeitslose","1985","indirekter Migrationshintergrund","","","",""
"Sonstige Nichterwerbspersonen","1985","kein Migrationshintergrund","1202","0.136878275067361","0.129338327736203","0.144418222398518"
"Sonstige Nichterwerbspersonen","1985","direkter Migrationshintergrund","545","0.169563859061649","0.156006574032669","0.183121144090629"
"Sonstige Nichterwerbspersonen","1985","indirekter Migrationshintergrund","","","",""
"Beamte","1985","kein Migrationshintergrund","446","0.0504402338713082","0.0456394215921178","0.0552410461504987"
"Beamte","1985","direkter Migrationshintergrund","","","",""
"Beamte","1985","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","kein Migrationshintergrund","1087","0.13171591168764","0.124122784969075","0.139309038406206"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","direkter Migrationshintergrund","1175","0.313431788392046","0.296412771366143","0.330450805417949"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1986","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","kein Migrationshintergrund","2004","0.246429694817777","0.236754070146811","0.256105319488743"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","direkter Migrationshintergrund","505","0.201984482306338","0.18725505784135","0.216713906771326"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1986","indirekter Migrationshintergrund","","","",""
"Selbstständige/ManagerInnen","1986","kein Migrationshintergrund","485","0.0589468101758389","0.0536586104984596","0.0642350098532181"
"Selbstständige/ManagerInnen","1986","direkter Migrationshintergrund","101","0.0455440598768285","0.0378948791852414","0.0531932405684157"
"Selbstständige/ManagerInnen","1986","indirekter Migrationshintergrund","","","",""
"In Ausbildung","1986","kein Migrationshintergrund","822","0.0952875118647808","0.088695106694267","0.101879917035295"
"In Ausbildung","1986","direkter Migrationshintergrund","208","0.0636575468953711","0.0547005295924112","0.072614564198331"
"In Ausbildung","1986","indirekter Migrationshintergrund","72","0.244168878588487","0.176319594442946","0.312018162734028"
"In Rente oder Pension","1986","kein Migrationshintergrund","1387","0.246688651023578","0.237009607437052","0.256367694610105"
"In Rente oder Pension","1986","direkter Migrationshintergrund","137","0.132496227870259","0.120057998831815","0.144934456908704"
"In Rente oder Pension","1986","indirekter Migrationshintergrund","","","",""
"Arbeitslose","1986","kein Migrationshintergrund","266","0.0338445578554943","0.0297844410307649","0.0379046746802237"
"Arbeitslose","1986","direkter Migrationshintergrund","191","0.0597939862606773","0.0510951456636468","0.0684928268577077"
"Arbeitslose","1986","indirekter Migrationshintergrund","","","",""
"Sonstige Nichterwerbspersonen","1986","kein Migrationshintergrund","1147","0.137308043944605","0.129580411275708","0.145035676613502"
"Sonstige Nichterwerbspersonen","1986","direkter Migrationshintergrund","514","0.169692503799309","0.155921299699901","0.183463707898717"
"Sonstige Nichterwerbspersonen","1986","indirekter Migrationshintergrund","","","",""
"Beamte","1986","kein Migrationshintergrund","422","0.049778818630285","0.0448956103129799","0.0546620269475901"
"Beamte","1986","direkter Migrationshintergrund","","","",""
"Beamte","1986","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","kein Migrationshintergrund","1096","0.137913487629889","0.130099439390834","0.145727535868944"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","direkter Migrationshintergrund","1169","0.327311545577469","0.310044975624441","0.344578115530498"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1987","indirekter Migrationshintergrund","33","0.152838047474921","0.0998277282412136","0.205848366708629"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","kein Migrationshintergrund","2005","0.253417562747136","0.24356034088432","0.263274784609952"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","direkter Migrationshintergrund","481","0.190375209978636","0.17592861425701","0.204821805700262"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1987","indirekter Migrationshintergrund","","","",""
"Selbstständige/ManagerInnen","1987","kein Migrationshintergrund","466","0.0580488600287637","0.0527496842242967","0.0633480358332307"
"Selbstständige/ManagerInnen","1987","direkter Migrationshintergrund","105","0.0476023425823307","0.0397672930722554","0.055437392092406"
"Selbstständige/ManagerInnen","1987","indirekter Migrationshintergrund","","","",""
"In Ausbildung","1987","kein Migrationshintergrund","798","0.0864410239803854","0.0800726943018562","0.0928093536589145"
"In Ausbildung","1987","direkter Migrationshintergrund","218","0.0659714411965485","0.056837115631148","0.075105766761949"
"In Ausbildung","1987","indirekter Migrationshintergrund","76","0.197043592181332","0.138444808700983","0.25564237566168"
"In Rente oder Pension","1987","kein Migrationshintergrund","1349","0.245490662523896","0.235737463411637","0.255243861636155"
