"beruf","year","sex","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1984","männlich","1425","0.155310172600179","0.146100018471837","0.164520326728522"
"Angestellte, einfache Tätigkeiten","1984","weiblich","1401","0.169248336054423","0.159915469866318","0.178581202242528"
"Angestellte, qualifizierte Tätigkeiten","1984","männlich","1908","0.337413552136134","0.325390330575994","0.349436773696274"
"Angestellte, qualifizierte Tätigkeiten","1984","weiblich","768","0.131429872273213","0.123020439314119","0.139839305232306"
"Arbeitslose","1984","männlich","248","0.0359321184179949","0.0311993687559323","0.0406648680800575"
"Arbeitslose","1984","weiblich","186","0.0239872056162047","0.0201788735485597","0.0277955376838497"
"Beamte","1984","männlich","386","0.0774698334720245","0.0706719312399571","0.084267735704092"
"Beamte","1984","weiblich","106","0.0180678798501758","0.0147526659431721","0.0213830937571796"
"In Ausbildung","1984","männlich","643","0.104171709982156","0.0964037747106353","0.111939645253676"
"In Ausbildung","1984","weiblich","503","0.0783258694840622","0.0716384504554796","0.0850132885126447"
"In Rente oder Pension","1984","männlich","744","0.187096777147006","0.177179992303257","0.197013561990754"
"In Rente oder Pension","1984","weiblich","1021","0.261136002524026","0.250203166011514","0.272068839036539"
"Selbstständige/ManagerInnen","1984","männlich","457","0.0842273895439373","0.0771652090928615","0.0912895699950131"
"Selbstständige/ManagerInnen","1984","weiblich","205","0.032604768158969","0.0281843866370356","0.0370251496809024"
"Sonstige Nichterwerbspersonen","1984","männlich","130","0.0183784467005688","0.0149630216521046","0.021793871749033"
"Sonstige Nichterwerbspersonen","1984","weiblich","2011","0.285200066038926","0.273962188684516","0.296437943393336"
"Angestellte, einfache Tätigkeiten","1985","männlich","1090","0.130001277577079","0.121034765486299","0.138967789667859"
"Angestellte, einfache Tätigkeiten","1985","weiblich","1263","0.173136532183453","0.163227606659254","0.183045457707652"
"Angestellte, qualifizierte Tätigkeiten","1985","männlich","1868","0.345864099046146","0.333182408381002","0.35854578971129"
"Angestellte, qualifizierte Tätigkeiten","1985","weiblich","752","0.140896977736526","0.131785501079573","0.150008454393479"
"Arbeitslose","1985","männlich","280","0.047272221887967","0.0416140277748812","0.0529304160010527"
"Arbeitslose","1985","weiblich","223","0.0322271356195618","0.0276021234654802","0.0368521477736435"
"Beamte","1985","männlich","370","0.0795787282403688","0.0723629655549153","0.0867944909258223"
"Beamte","1985","weiblich","97","0.0181445836119518","0.0146490572805802","0.0216401099433235"
"In Ausbildung","1985","männlich","629","0.113057800152347","0.104614964301769","0.121500636002925"
"In Ausbildung","1985","weiblich","468","0.0800225528214802","0.0729168000019146","0.0871283056410458"
"In Rente oder Pension","1985","männlich","662","0.186319856948496","0.175938673856647","0.196701040040345"
"In Rente oder Pension","1985","weiblich","930","0.269168799484993","0.257553345106363","0.280784253863622"
"Selbstständige/ManagerInnen","1985","männlich","402","0.0817355741168959","0.074431252969083","0.0890398952647089"
"Selbstständige/ManagerInnen","1985","weiblich","207","0.036185860609068","0.0312950437086985","0.0410766775094376"
"Sonstige Nichterwerbspersonen","1985","männlich","103","0.0161704420306995","0.0128075625763352","0.0195333214850637"
"Sonstige Nichterwerbspersonen","1985","weiblich","1661","0.250217557932966","0.23887419498132","0.261560920884612"
"Angestellte, einfache Tätigkeiten","1986","männlich","1101","0.134360084695983","0.125108489734698","0.143611679657267"
"Angestellte, einfache Tätigkeiten","1986","weiblich","1164","0.163802123043157","0.153880367334728","0.173723878751585"
"Angestellte, qualifizierte Tätigkeiten","1986","männlich","1741","0.343517627583657","0.330635165053623","0.356400090113692"
"Angestellte, qualifizierte Tätigkeiten","1986","weiblich","780","0.152985037790455","0.143334661310795","0.162635414270115"
"Arbeitslose","1986","männlich","230","0.0385863236463304","0.0333613429685481","0.0438113043241126"
"Arbeitslose","1986","weiblich","231","0.0349694844425828","0.0300446756414891","0.0398942932436765"
"Beamte","1986","männlich","355","0.0783921638307291","0.0711005737569105","0.0856837539045477"
"Beamte","1986","weiblich","92","0.0179753795616831","0.0144135391326354","0.0215372199907309"
"In Ausbildung","1986","männlich","628","0.11232518034499","0.10375917478232","0.12089118590766"
"In Ausbildung","1986","weiblich","466","0.0750322004782523","0.0679696529264256","0.0820947480300789"
"In Rente oder Pension","1986","männlich","654","0.190394356837462","0.179743693946093","0.201045019728831"
"In Rente oder Pension","1986","weiblich","860","0.269757616764149","0.257859051086044","0.281656182442254"
"Selbstständige/ManagerInnen","1986","männlich","391","0.0812783311420289","0.0738653617269048","0.0886913005571531"
"Selbstständige/ManagerInnen","1986","weiblich","201","0.037365558201247","0.032281146944478","0.0424499694580161"
"Sonstige Nichterwerbspersonen","1986","männlich","120","0.0211459319188196","0.0172430516408718","0.0250488121967675"
"Sonstige Nichterwerbspersonen","1986","weiblich","1551","0.248112599718474","0.236533493189587","0.259691706247361"
"Angestellte, einfache Tätigkeiten","1987","männlich","1092","0.139930453663965","0.130468563977259","0.149392343350671"
"Angestellte, einfache Tätigkeiten","1987","weiblich","1190","0.174951944792609","0.164690543465432","0.185213346119785"
"Angestellte, qualifizierte Tätigkeiten","1987","männlich","1742","0.354070746713466","0.341027296811397","0.367114196615536"
"Angestellte, qualifizierte Tätigkeiten","1987","weiblich","751","0.151529917865786","0.141845464232751","0.161214371498821"
"Arbeitslose","1987","männlich","249","0.0404499060103298","0.0350765259575213","0.0458232860631383"
"Arbeitslose","1987","weiblich","222","0.0339124462979424","0.0290237228895159","0.0388011697063689"
"Beamte","1987","männlich","351","0.0787837981156088","0.0714360507624928","0.0861315454687249"
"Beamte","1987","weiblich","92","0.0187208559571082","0.0150601335398134","0.0223815783744031"
"In Ausbildung","1987","männlich","606","0.0973724753429","0.0892865939646442","0.105458356721156"
"In Ausbildung","1987","weiblich","477","0.0728300863638777","0.0658116116214136","0.0798485611063419"
"In Rente oder Pension","1987","männlich","636","0.188869240533834","0.178193917473649","0.199544563594019"
"In Rente oder Pension","1987","weiblich","851","0.267284910876401","0.255332309047782","0.279237512705021"
"Selbstständige/ManagerInnen","1987","männlich","370","0.0784858319288553","0.0711508066375895","0.0858208572201211"
"Selbstständige/ManagerInnen","1987","weiblich","208","0.0390772225115279","0.0338434631404029","0.0443109818826528"
"Sonstige Nichterwerbspersonen","1987","männlich","118","0.0220375476910402","0.0180335142383043","0.0260415811437761"
"Sonstige Nichterwerbspersonen","1987","weiblich","1475","0.241692615334748","0.230129842408695","0.2532553882608"
"Angestellte, einfache Tätigkeiten","1988","männlich","987","0.129139133479283","0.119770405962407","0.13850786099616"
"Angestellte, einfache Tätigkeiten","1988","weiblich","1105","0.166273671453994","0.155984329518295","0.176563013389694"
"Angestellte, qualifizierte Tätigkeiten","1988","männlich","1704","0.363047905643219","0.349613679978895","0.376482131307542"
"Angestellte, qualifizierte Tätigkeiten","1988","weiblich","761","0.16538107708272","0.155113898404891","0.175648255760549"
"Arbeitslose","1988","männlich","246","0.0417888338106099","0.0361984963371605","0.0473791712840593"
"Arbeitslose","1988","weiblich","211","0.0353193510558146","0.0302182698221942","0.0404204322894351"
"Beamte","1988","männlich","323","0.0767413028867394","0.069305059869035","0.0841775459044439"
"Beamte","1988","weiblich","87","0.0199970991415348","0.0161284327646035","0.0238657655184661"
"In Ausbildung","1988","männlich","550","0.0972232046419483","0.0889465955040222","0.105499813779874"
"In Ausbildung","1988","weiblich","443","0.0696146727858797","0.0625815869489371","0.0766477586228223"
"In Rente oder Pension","1988","männlich","631","0.190305605936002","0.179339217029568","0.201271994842436"
"In Rente oder Pension","1988","weiblich","820","0.269764250741086","0.257498677734239","0.282029823747933"
"Selbstständige/ManagerInnen","1988","männlich","352","0.0780171207690038","0.07052450134445","0.0855097401935576"
"Selbstständige/ManagerInnen","1988","weiblich","196","0.0393668103631956","0.0339926823623633","0.0447409383640279"
"Sonstige Nichterwerbspersonen","1988","männlich","129","0.0237368928331944","0.0194841153513216","0.0279896703150672"
"Sonstige Nichterwerbspersonen","1988","weiblich","1407","0.234283067375775","0.222578141313685","0.245987993437865"
"Angestellte, einfache Tätigkeiten","1989","männlich","1056","0.144746419355649","0.134741653228139","0.154751185483159"
