"beruf","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","(noch) kein Abschluss","direkter Migrationshintergrund","563","0.509487993312931","0.479450127340112","0.539525859285749"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hauptschulabschluss","kein Migrationshintergrund","1092","0.185522340137196","0.175207830038868","0.195836850235524"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hauptschulabschluss","direkter Migrationshintergrund","813","0.385784613364735","0.362964900586214","0.408604326143255"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Realschulabschluss","kein Migrationshintergrund","153","0.0853905214120821","0.0721757640638282","0.0986052787603361"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","(Fach-)Abitur","kein Migrationshintergrund","41","0.0637735860137608","0.0440066250588769","0.0835405469686448"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","(Fach-)Abitur","direkter Migrationshintergrund","92","0.255490967184603","0.203660347675306","0.307321586693901"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
