"beruf","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Schleswig-Holstein","kein Migrationshintergrund","56","0.152349889277057","0.114263971893616","0.190435806660499"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hamburg","kein Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hamburg","direkter Migrationshintergrund","45","0.389206563996286","0.288475343761072","0.4899377842315"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hamburg","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Niedersachsen","kein Migrationshintergrund","134","0.12161799279653","0.101608928046878","0.141627057546181"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Niedersachsen","direkter Migrationshintergrund","80","0.286329319480169","0.224144853345317","0.34851378561502"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Niedersachsen","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Bremen","kein Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Bremen","direkter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Bremen","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Nordrhein-Westfalen","kein Migrationshintergrund","313","0.130869099478941","0.117007478704689","0.144730720253194"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","397","0.342709854529748","0.312655514658502","0.372764194400993"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hessen","kein Migrationshintergrund","117","0.144929544821746","0.119983782053882","0.16987530758961"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hessen","direkter Migrationshintergrund","193","0.321819533385432","0.279628858129823","0.364010208641041"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hessen","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","99","0.136514839556274","0.110989409998726","0.162040269113823"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","71","0.364489552483653","0.288475896661298","0.440503208306009"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Baden-Wuerttemberg","kein Migrationshintergrund","239","0.166180803028909","0.146316721564282","0.186044884493536"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","447","0.424486476627194","0.39199593834096","0.456977014913428"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Bayern","kein Migrationshintergrund","267","0.156967082889919","0.139242117646066","0.174692048133773"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Bayern","direkter Migrationshintergrund","207","0.318382955129031","0.275765562662834","0.361000347595227"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Bayern","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Saarland","kein Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Saarland","direkter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Saarland","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Berlin","kein Migrationshintergrund","61","0.199685279980621","0.153833088908593","0.24553747105265"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Berlin","direkter Migrationshintergrund","64","0.443248358828534","0.353616705285937","0.53288001237113"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Berlin","indirekter Migrationshintergrund","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Brandenburg","kein Migrationshintergrund","","","",""
