"beruf","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1985","kein Migrationshintergrund","Staedtischer Raum","871","0.135669855090841","0.126979763024284","0.144359947157398"
"Angestellte, einfache Tätigkeiten","1985","kein Migrationshintergrund","Laendlicher Raum","306","0.141518787540688","0.126239111686712","0.156798463394664"
"Angestellte, einfache Tätigkeiten","1985","direkter Migrationshintergrund","Staedtischer Raum","1020","0.311892920421937","0.293908603597271","0.329877237246602"
"Angestellte, einfache Tätigkeiten","1985","direkter Migrationshintergrund","Laendlicher Raum","136","0.239892131542751","0.195283143116743","0.28450111996876"
"Angestellte, einfache Tätigkeiten","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Angestellte, einfache Tätigkeiten","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","kein Migrationshintergrund","Staedtischer Raum","1615","0.254208577813672","0.243158975198012","0.265258180429333"
"Angestellte, qualifizierte Tätigkeiten","1985","kein Migrationshintergrund","Laendlicher Raum","418","0.193741072331753","0.176415411361428","0.211066733302079"
"Angestellte, qualifizierte Tätigkeiten","1985","direkter Migrationshintergrund","Staedtischer Raum","492","0.227611113681703","0.211333980638066","0.243888246725341"
"Angestellte, qualifizierte Tätigkeiten","1985","direkter Migrationshintergrund","Laendlicher Raum","75","0.221016323899169","0.177669916014761","0.264362731783577"
"Angestellte, qualifizierte Tätigkeiten","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Angestellte, qualifizierte Tätigkeiten","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","kein Migrationshintergrund","Staedtischer Raum","347","0.054711357487079","0.0489401879541436","0.0604825270200145"
"Selbstständige/ManagerInnen","1985","kein Migrationshintergrund","Laendlicher Raum","161","0.0751764154257375","0.0636176367229585","0.0867351941285166"
"Selbstständige/ManagerInnen","1985","direkter Migrationshintergrund","Staedtischer Raum","88","0.0375904858623359","0.0302066489355901","0.0449743227890818"
"Selbstständige/ManagerInnen","1985","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Selbstständige/ManagerInnen","1985","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Selbstständige/ManagerInnen","1985","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"In Ausbildung","1985","kein Migrationshintergrund","Staedtischer Raum","628","0.0973329589327475","0.0898109018849436","0.104855015980551"
