"beruf","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Angestellte, einfache Tätigkeiten","1984","16-34 J.","West","1031","0.179557619330985","0.168444230462851","0.190671008199119"
"Angestellte, einfache Tätigkeiten","1984","16-34 J.","Ost","","","",""
"Angestellte, einfache Tätigkeiten","1984","35-65 J.","West","1782","0.204976876978701","0.195004641161944","0.214949112795457"
"Angestellte, einfache Tätigkeiten","1984","35-65 J.","Ost","","","",""
"Angestellte, einfache Tätigkeiten","1984","66 und älter","West","","","",""
"Angestellte, einfache Tätigkeiten","1984","66 und älter","Ost","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","16-34 J.","West","1109","0.280466511639865","0.267459229492725","0.293473793787005"
"Angestellte, qualifizierte Tätigkeiten","1984","16-34 J.","Ost","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","35-65 J.","West","1560","0.271294446022271","0.260310795272704","0.282278096771838"
"Angestellte, qualifizierte Tätigkeiten","1984","35-65 J.","Ost","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","66 und älter","West","","","",""
"Angestellte, qualifizierte Tätigkeiten","1984","66 und älter","Ost","","","",""
"Selbstständige/ManagerInnen","1984","16-34 J.","West","157","0.0336348133854507","0.0284146307478723","0.038854996023029"
"Selbstständige/ManagerInnen","1984","16-34 J.","Ost","","","",""
"Selbstständige/ManagerInnen","1984","35-65 J.","West","477","0.0865544870839081","0.0796084621053481","0.0935005120624681"
"Selbstständige/ManagerInnen","1984","35-65 J.","Ost","","","",""
"Selbstständige/ManagerInnen","1984","66 und älter","West","","","",""
"Selbstständige/ManagerInnen","1984","66 und älter","Ost","","","",""
"In Ausbildung","1984","16-34 J.","West","1126","0.267974332500615","0.255150131919125","0.280798533082106"
"In Ausbildung","1984","16-34 J.","Ost","","","",""
"In Ausbildung","1984","35-65 J.","West","","","",""
"In Ausbildung","1984","35-65 J.","Ost","","","",""
"In Ausbildung","1984","66 und älter","West","","","",""
"In Ausbildung","1984","66 und älter","Ost","","","",""
"In Rente oder Pension","1984","16-34 J.","West","","","",""
"In Rente oder Pension","1984","16-34 J.","Ost","","","",""
"In Rente oder Pension","1984","35-65 J.","West","649","0.142641907563777","0.13400307774755","0.151280737380005"
"In Rente oder Pension","1984","35-65 J.","Ost","","","",""
"In Rente oder Pension","1984","66 und älter","West","1109","0.891460315988641","0.874318844044203","0.908601787933078"
"In Rente oder Pension","1984","66 und älter","Ost","","","",""
"Arbeitslose","1984","16-34 J.","West","235","0.0512003185704619","0.0448185045279374","0.0575821326129864"
"Arbeitslose","1984","16-34 J.","Ost","","","",""
"Arbeitslose","1984","35-65 J.","West","198","0.0255108092897092","0.0216158685451364","0.0294057500342819"
"Arbeitslose","1984","35-65 J.","Ost","","","",""
"Arbeitslose","1984","66 und älter","West","","","",""
"Arbeitslose","1984","66 und älter","Ost","","","",""
