"beruf","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","587","0.268935520512352","0.244924292702226","0.292946748322478"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","1922","0.20188663124342","0.19266520058823","0.21110806189861"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","173","0.0867968213912182","0.0740873340904678","0.0995063086919685"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","133","0.0888088353783514","0.0698626412715445","0.107755029485158"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","56","0.0273253889223654","0.0184970416312704","0.0361537362134603"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","1569","0.209512797395254","0.200163802324107","0.218861792466401"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","587","0.300159488607096","0.279469131261027","0.320849845953165"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","185","0.21134883281528","0.184157434163582","0.238540231466979"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","268","0.331007475274001","0.298213853557998","0.363801096990004"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","338","0.0470298695158762","0.042166483267154","0.0518932557645984"
"Selbstständige/ManagerInnen","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","129","0.0673206719398275","0.0560088434851104","0.0786325003945446"
"Selbstständige/ManagerInnen","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","52","0.0564603033010764","0.0410879330290917","0.0718326735730612"
"Selbstständige/ManagerInnen","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","119","0.14188646835042","0.117569876013978","0.166203060686862"
"Selbstständige/ManagerInnen","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","226","0.431197222435393","0.404378920576409","0.458015524294376"
"In Ausbildung","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","305","0.0318020290474747","0.0277709461402844","0.0358331119546651"
"In Ausbildung","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","336","0.159526517590581","0.142996593317703","0.17605644186346"
"In Ausbildung","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","258","0.32321409379245","0.292063958082669","0.35436422950223"
"In Ausbildung","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"In Ausbildung","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","37","0.0506002552438977","0.0387312764939581","0.0624692339938373"
"In Rente oder Pension","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","1349","0.275038911274443","0.264780817851761","0.285297004697126"
"In Rente oder Pension","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","237","0.173336098139204","0.156247697849948","0.19042449842846"
"In Rente oder Pension","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","64","0.116178928388537","0.0948369338734045","0.13752092290367"
"In Rente oder Pension","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","81","0.144251959638469","0.119767322805197","0.16873659647174"
"In Rente oder Pension","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","79","0.0509913646616233","0.0390790586102776","0.062903670712969"
"Arbeitslose","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","269","0.0316590471384495","0.0276367393422206","0.0356813549346784"
"Arbeitslose","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","44","0.0218292028003299","0.0152326248605046","0.0284257807401552"
"Arbeitslose","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","30","0.0340958471530483","0.0220091704850367","0.0461825238210599"
"Arbeitslose","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"Arbeitslose","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
