"beruf","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1319","0.143218104792043","0.135848446551365","0.150587763032721"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1525","0.351292853348223","0.335284444827906","0.36730126186854"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","2156","0.2317154910013","0.222838785339772","0.240592196662827"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","513","0.189388379845944","0.176249079595264","0.202527680096624"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","534","0.0586001346442287","0.0536587390951426","0.0635415301933148"
"Selbstständige/ManagerInnen","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","121","0.0374720690842492","0.0311033855714148","0.0438407525970835"
"Selbstständige/ManagerInnen","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","866","0.0926577552511433","0.0865576166888039","0.0987578938134826"
"In Ausbildung","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","238","0.067277850701785","0.0588774237541835","0.0756782776493865"
"In Ausbildung","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","55","0.242946989048599","0.16865157416623","0.317242403930968"
"In Ausbildung","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1662","0.241866219590705","0.232857277834778","0.250875161346632"
"In Rente oder Pension","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","108","0.0872003215629919","0.0777393455269757","0.0966612975990081"
"In Rente oder Pension","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","236","0.0266944339536269","0.0233032745196111","0.0300855933876426"
"Arbeitslose","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","198","0.0591105481030647","0.0512021057534008","0.0670189904527286"
"Arbeitslose","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Arbeitslose","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1443","0.156169946839767","0.148532653486169","0.163807240193365"
"Sonstige Nichterwerbspersonen","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","685","0.192961625321314","0.179728216566184","0.206195034076445"
"Sonstige Nichterwerbspersonen","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
