"beruf","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Westdeutschland, alte Bundeslaender","2864","0.16293228800552","0.156385277189439","0.169479298821602"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","Westdeutschland, alte Bundeslaender","2684","0.227536824647396","0.220104512790638","0.234969136504155"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1984","Westdeutschland, alte Bundeslaender","663","0.0566467681266367","0.0525486551721509","0.0607448810811224"
"Selbstständige/ManagerInnen","1984","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1984","Westdeutschland, alte Bundeslaender","1159","0.0908737546259632","0.085778211061373","0.0959692981905534"
"In Ausbildung","1984","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1984","Westdeutschland, alte Bundeslaender","1776","0.22693173302256","0.219506403641477","0.234357062403643"
"In Rente oder Pension","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1984","Westdeutschland, alte Bundeslaender","439","0.029721338944085","0.0267108182942049","0.0327318595939652"
"Arbeitslose","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1984","Westdeutschland, alte Bundeslaender","2146","0.159590013370029","0.15309757788222","0.166082448857839"
"Sonstige Nichterwerbspersonen","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1984","Westdeutschland, alte Bundeslaender","492","0.0457672792578095","0.0420624867888837","0.0494720717267353"
"Beamte","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","Westdeutschland, alte Bundeslaender","2383","0.153207791558168","0.146497788004844","0.159917795111492"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","Westdeutschland, alte Bundeslaender","2632","0.236855521543021","0.228935268862173","0.244775774223868"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1985","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1985","Westdeutschland, alte Bundeslaender","609","0.0573179326029762","0.0529875947749799","0.0616482704309724"
"Selbstständige/ManagerInnen","1985","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1985","Westdeutschland, alte Bundeslaender","1100","0.0953550695286565","0.0898835888773656","0.100826550179947"
"In Ausbildung","1985","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1985","Westdeutschland, alte Bundeslaender","1602","0.231171205245137","0.223317482127743","0.239024928362531"
"In Rente oder Pension","1985","Ostdeutschland, neue Bundeslaender","","","",""
