year,bula_h,pgisced97,plj0078,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,inadequately,Gar nicht,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Schleswig-Holstein,inadequately,In mancher Beziehung,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Schleswig-Holstein,inadequately,Kaum,0.16666666666666666,16099,0.16090974429987118,0.17242358903346214
1984,Schleswig-Holstein,general elementary,Gar nicht,0.6666666666666666,16099,0.6593846718699302,0.673948661463403
1984,Schleswig-Holstein,general elementary,In mancher Beziehung,0.2222222222222222,16099,0.21580010646201192,0.2286443379824325
1984,Schleswig-Holstein,general elementary,Kaum,0.1111111111111111,16099,0.10625644791328683,0.11596577430893538
1984,Schleswig-Holstein,middle vocational,In mancher Beziehung,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Schleswig-Holstein,middle vocational,Kaum,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Schleswig-Holstein,middle vocational,Ueberwiegend,0.2222222222222222,16099,0.21580010646201192,0.2286443379824325
1984,Schleswig-Holstein,middle vocational,Gar nicht,0.1111111111111111,16099,0.10625644791328683,0.11596577430893538
1984,Schleswig-Holstein,vocational + Abi,In mancher Beziehung,1.0,16099,1.0,1.0
1984,Schleswig-Holstein,higher vocational,Ueberwiegend,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Schleswig-Holstein,higher vocational,In mancher Beziehung,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Hamburg,inadequately,Gar nicht,0.6,16099,0.5924323290189601,0.6075676709810398
1984,Hamburg,inadequately,Kaum,0.25,16099,0.24331106066439764,0.2566889393356024
1984,Hamburg,inadequately,In mancher Beziehung,0.15,16099,0.1444841593191925,0.15551584068080748
1984,Hamburg,general elementary,Gar nicht,0.5238095238095238,16099,0.5160945639817245,0.5315244836373232
1984,Hamburg,general elementary,In mancher Beziehung,0.2857142857142857,16099,0.2787358419811561,0.2926927294474153
1984,Hamburg,general elementary,Kaum,0.19047619047619047,16099,0.1844103388535785,0.19654204209880244
1984,Hamburg,middle vocational,In mancher Beziehung,0.4166666666666667,16099,0.40905097421684355,0.4242823591164898
1984,Hamburg,middle vocational,Gar nicht,0.4166666666666667,16099,0.40905097421684355,0.4242823591164898
1984,Hamburg,middle vocational,Kaum,0.125,16099,0.11989123819593908,0.13010876180406092
1984,Hamburg,middle vocational,Ueberwiegend,0.041666666666666664,16099,0.03857986093873744,0.044753472394595886
1984,Hamburg,vocational + Abi,In mancher Beziehung,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Hamburg,vocational + Abi,Gar nicht,0.375,16099,0.3675215384741104,0.3824784615258896
1984,Hamburg,vocational + Abi,Kaum,0.125,16099,0.11989123819593908,0.13010876180406092
1984,Hamburg,higher vocational,Ueberwiegend,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Hamburg,higher vocational,In mancher Beziehung,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Hamburg,higher vocational,Kaum,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Lower Saxony,inadequately,Gar nicht,0.8846153846153846,16099,0.8796801498271987,0.8895506194035705
1984,Lower Saxony,inadequately,In mancher Beziehung,0.057692307692307696,16099,0.054090571126983344,0.06129404425763205
1984,Lower Saxony,inadequately,Kaum,0.038461538461538464,16099,0.035490876210766846,0.04143220071231008
1984,Lower Saxony,inadequately,Ueberwiegend,0.019230769230769232,16099,0.01710929204584328,0.021352246415695185
1984,Lower Saxony,general elementary,Gar nicht,0.5192307692307693,16099,0.5115127623050743,0.5269487761564643
1984,Lower Saxony,general elementary,Kaum,0.19230769230769232,16099,0.18621964634250202,0.19839573827288262
1984,Lower Saxony,general elementary,In mancher Beziehung,0.17307692307692307,16099,0.16723294255115323,0.17892090360269292
1984,Lower Saxony,general elementary,Voll und ganz,0.09615384615384616,16099,0.0915999071567608,0.10070778515093153
1984,Lower Saxony,general elementary,Ueberwiegend,0.019230769230769232,16099,0.01710929204584328,0.021352246415695185
1984,Lower Saxony,middle vocational,Gar nicht,0.6666666666666666,16099,0.6593846718699302,0.673948661463403
1984,Lower Saxony,middle vocational,In mancher Beziehung,0.16666666666666666,16099,0.16090974429987118,0.17242358903346214
1984,Lower Saxony,middle vocational,Kaum,0.10416666666666667,16099,0.0994478336029866,0.10888549973034674
1984,Lower Saxony,middle vocational,Ueberwiegend,0.041666666666666664,16099,0.03857986093873744,0.044753472394595886
1984,Lower Saxony,middle vocational,Voll und ganz,0.020833333333333332,16099,0.01862703461471148,0.023039632051955184
1984,Lower Saxony,vocational + Abi,Kaum,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Lower Saxony,vocational + Abi,In mancher Beziehung,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Lower Saxony,vocational + Abi,Gar nicht,0.16666666666666666,16099,0.16090974429987118,0.17242358903346214
1984,Lower Saxony,vocational + Abi,Ueberwiegend,0.16666666666666666,16099,0.16090974429987118,0.17242358903346214
1984,Lower Saxony,higher education,Kaum,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Lower Saxony,higher education,Gar nicht,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Lower Saxony,higher education,Ueberwiegend,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Bremen,inadequately,Gar nicht,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Bremen,inadequately,In mancher Beziehung,0.5,16099,0.4922762781479938,0.5077237218520062
1984,Bremen,general elementary,In mancher Beziehung,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Bremen,general elementary,Gar nicht,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,Bremen,general elementary,Ueberwiegend,0.16666666666666666,16099,0.16090974429987118,0.17242358903346214
1984,Bremen,general elementary,Kaum,0.16666666666666666,16099,0.16090974429987118,0.17242358903346214
1984,Bremen,middle vocational,In mancher Beziehung,0.4444444444444444,16099,0.4367685479553838,0.45212034093350506
1984,Bremen,middle vocational,Gar nicht,0.3888888888888889,16099,0.3813582906456137,0.3964194871321641
1984,Bremen,middle vocational,Voll und ganz,0.05555555555555555,16099,0.052017142109031904,0.0590939690020792
1984,Bremen,middle vocational,Kaum,0.05555555555555555,16099,0.052017142109031904,0.0590939690020792
1984,Bremen,middle vocational,Ueberwiegend,0.05555555555555555,16099,0.052017142109031904,0.0590939690020792
1984,Bremen,vocational + Abi,Gar nicht,1.0,16099,1.0,1.0
1984,North Rhine-Westphalia,in school,In mancher Beziehung,0.75,16099,0.7433110606643977,0.7566889393356023
1984,North Rhine-Westphalia,in school,Gar nicht,0.25,16099,0.24331106066439764,0.2566889393356024
