year,age_gr,sampreg,plj0078,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,18-29 y.,West,Gar nicht,0.4735632183908046,16099,0.46585030036617864,0.4812761364154306
1984,18-29 y.,West,In mancher Beziehung,0.24022988505747125,16099,0.23363038189448745,0.24682938822045505
1984,18-29 y.,West,Kaum,0.15747126436781608,16099,0.15184461775842215,0.16309791097721002
1984,18-29 y.,West,Ueberwiegend,0.07126436781609195,16099,0.06729026687676684,0.07523846875541707
1984,18-29 y.,West,Voll und ganz,0.05747126436781609,16099,0.053876012695975355,0.06106651603965683
1984,30-45 y.,West,Gar nicht,0.4959546925566343,16099,0.4882312234986477,0.503678161614621
1984,30-45 y.,West,In mancher Beziehung,0.2532362459546926,16099,0.24651869190144113,0.25995380000794405
1984,30-45 y.,West,Kaum,0.17313915857605178,16099,0.16729434740417554,0.17898396974792802
1984,30-45 y.,West,Ueberwiegend,0.05501618122977346,16099,0.05149398110477385,0.05853838135477307
1984,30-45 y.,West,Voll und ganz,0.022653721682847898,16099,0.020355189265364563,0.024952254100331233
1984,46-65 y.,West,Gar nicht,0.5256410256410257,16099,0.5179274665853316,0.5333545846967197
1984,46-65 y.,West,In mancher Beziehung,0.24743589743589745,16099,0.2407699831707669,0.254101811701028
1984,46-65 y.,West,Kaum,0.15128205128205127,16099,0.14574686786040073,0.15681723470370182
1984,46-65 y.,West,Ueberwiegend,0.05128205128205128,16099,0.04787477089009629,0.05468933167400627
1984,46-65 y.,West,Voll und ganz,0.02435897435897436,16099,0.02197758094973049,0.02674036776821823
1984,66 and older,West,Gar nicht,0.5833333333333334,16099,0.5757176408835103,0.5909490257831564
1984,66 and older,West,Voll und ganz,0.16666666666666666,16099,0.16090974429987118,0.17242358903346214
1984,66 and older,West,Ueberwiegend,0.16666666666666666,16099,0.16090974429987118,0.17242358903346214
1984,66 and older,West,Kaum,0.08333333333333333,16099,0.07906388543863774,0.08760278122802892
1985,18-29 y.,West,Gar nicht,0.45231607629427795,14443,0.4441987430760804,0.46043340951247547
1985,18-29 y.,West,In mancher Beziehung,0.2779291553133515,14443,0.27062307697886484,0.28523523364783815
1985,18-29 y.,West,Kaum,0.14850136239782016,14443,0.14270194237757905,0.15430078241806128
1985,18-29 y.,West,Ueberwiegend,0.0776566757493188,14443,0.0732918886201962,0.08202146287844139
