year,plj0078,proportion,n,lower_confidence,upper_confidence
1984,Voll und ganz,1.0,16099,1.0,1.0
1984,Ueberwiegend,1.0,16099,1.0,1.0
1984,In mancher Beziehung,1.0,16099,1.0,1.0
1984,Kaum,1.0,16099,1.0,1.0
1984,Gar nicht,1.0,16099,1.0,1.0
1985,Voll und ganz,1.0,14443,1.0,1.0
1985,Ueberwiegend,1.0,14443,1.0,1.0
1985,In mancher Beziehung,1.0,14443,1.0,1.0
1985,Kaum,1.0,14443,1.0,1.0
1985,Gar nicht,1.0,14443,1.0,1.0
1986,Voll und ganz,1.0,13742,1.0,1.0
1986,Ueberwiegend,1.0,13742,1.0,1.0
1986,In mancher Beziehung,1.0,13742,1.0,1.0
1986,Kaum,1.0,13742,1.0,1.0
1986,Gar nicht,1.0,13742,1.0,1.0
1987,Voll und ganz,1.0,13496,1.0,1.0
1987,Ueberwiegend,1.0,13496,1.0,1.0
1987,In mancher Beziehung,1.0,13496,1.0,1.0
1987,Kaum,1.0,13496,1.0,1.0
1987,Gar nicht,1.0,13496,1.0,1.0
1989,Voll und ganz,1.0,12393,1.0,1.0
1989,Ueberwiegend,1.0,12393,1.0,1.0
1989,In mancher Beziehung,1.0,12393,1.0,1.0
1989,Kaum,1.0,12393,1.0,1.0
1989,Gar nicht,1.0,12393,1.0,1.0
1991,Voll und ganz,1.0,17756,1.0,1.0
1991,Ueberwiegend,1.0,17756,1.0,1.0
1991,In mancher Beziehung,1.0,17756,1.0,1.0
1991,Kaum,1.0,17756,1.0,1.0
1991,Gar nicht,1.0,17756,1.0,1.0
1993,Voll und ganz,1.0,16993,1.0,1.0
1993,Ueberwiegend,1.0,16993,1.0,1.0
1993,In mancher Beziehung,1.0,16993,1.0,1.0
1993,Kaum,1.0,16993,1.0,1.0
1993,Gar nicht,1.0,16993,1.0,1.0
1995,Voll und ganz,1.0,17246,1.0,1.0
1995,Ueberwiegend,1.0,17246,1.0,1.0
1995,In mancher Beziehung,1.0,17246,1.0,1.0
1995,Kaum,1.0,17246,1.0,1.0
1995,Gar nicht,1.0,17246,1.0,1.0
1997,Voll und ganz,1.0,16487,1.0,1.0
1997,Ueberwiegend,1.0,16487,1.0,1.0
1997,In mancher Beziehung,1.0,16487,1.0,1.0
1997,Kaum,1.0,16487,1.0,1.0
1997,Gar nicht,1.0,16487,1.0,1.0
1999,Voll und ganz,1.0,17396,1.0,1.0
1999,Ueberwiegend,1.0,17396,1.0,1.0
1999,In mancher Beziehung,1.0,17396,1.0,1.0
1999,Kaum,1.0,17396,1.0,1.0
1999,Gar nicht,1.0,17396,1.0,1.0
2001,Voll und ganz,1.0,27798,1.0,1.0
2001,Ueberwiegend,1.0,27798,1.0,1.0
2001,In mancher Beziehung,1.0,27798,1.0,1.0
2001,Kaum,1.0,27798,1.0,1.0
2001,Gar nicht,1.0,27798,1.0,1.0
2003,Voll und ganz,1.0,27727,1.0,1.0
2003,Ueberwiegend,1.0,27727,1.0,1.0
2003,In mancher Beziehung,1.0,27727,1.0,1.0
2003,Kaum,1.0,27727,1.0,1.0
2003,Gar nicht,1.0,27727,1.0,1.0
2010,Voll und ganz,1.0,35837,1.0,1.0
2010,Ueberwiegend,1.0,35837,1.0,1.0
2010,In mancher Beziehung,1.0,35837,1.0,1.0
2010,Kaum,1.0,35837,1.0,1.0
2010,Gar nicht,1.0,35837,1.0,1.0
2012,Voll und ganz,1.0,40229,1.0,1.0
2012,Ueberwiegend,1.0,40229,1.0,1.0
2012,In mancher Beziehung,1.0,40229,1.0,1.0
2012,Kaum,1.0,40229,1.0,1.0
2012,Gar nicht,1.0,40229,1.0,1.0
2013,Voll und ganz,1.0,44486,1.0,1.0
2013,Ueberwiegend,1.0,44486,1.0,1.0
2013,In mancher Beziehung,1.0,44486,1.0,1.0
2013,Kaum,1.0,44486,1.0,1.0
2013,Gar nicht,1.0,44486,1.0,1.0
2014,Voll und ganz,1.0,38694,1.0,1.0
2014,Ueberwiegend,1.0,38694,1.0,1.0
2014,In mancher Beziehung,1.0,38694,1.0,1.0
2014,Kaum,1.0,38694,1.0,1.0
2014,Gar nicht,1.0,38694,1.0,1.0
2016,Voll und ganz,1.0,41132,1.0,1.0
2016,Ueberwiegend,1.0,41132,1.0,1.0
2016,In mancher Beziehung,1.0,41132,1.0,1.0
2016,Kaum,1.0,41132,1.0,1.0
2016,Gar nicht,1.0,41132,1.0,1.0
2018,Voll und ganz,1.0,43121,1.0,1.0
2018,Ueberwiegend,1.0,43121,1.0,1.0
2018,In mancher Beziehung,1.0,43121,1.0,1.0
2018,Kaum,1.0,43121,1.0,1.0
2018,Gar nicht,1.0,43121,1.0,1.0
