year,age_gr,quintil_oecd,plj0078,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,18-29 y.,1st Quintile,Gar nicht,0.4903129657228018,16099,0.48259069357384843,0.4980352378717552
1984,18-29 y.,1st Quintile,In mancher Beziehung,0.23845007451564829,16099,0.23186736724945672,0.24503278178183985
1984,18-29 y.,1st Quintile,Kaum,0.14307004470938897,16099,0.13766121087199262,0.14847887854678532
1984,18-29 y.,1st Quintile,Ueberwiegend,0.07302533532041729,16099,0.06900624900507692,0.07704442163575766
1984,18-29 y.,1st Quintile,Voll und ganz,0.05514157973174367,16099,0.05161560178258487,0.05866755768090247
1984,18-29 y.,2nd Quintile,Gar nicht,0.3939393939393939,16099,0.3863914380185406,0.40148734986024726
1984,18-29 y.,2nd Quintile,In mancher Beziehung,0.26666666666666666,16099,0.25983555003515374,0.2734977832981796
1984,18-29 y.,2nd Quintile,Kaum,0.20606060606060606,16099,0.19981250877177759,0.21230870334943452
1984,18-29 y.,2nd Quintile,Ueberwiegend,0.06666666666666667,16099,0.0628133972105405,0.07051993612279284
1984,18-29 y.,2nd Quintile,Voll und ganz,0.06666666666666667,16099,0.0628133972105405,0.07051993612279284
1984,18-29 y.,3rd Quintile,Gar nicht,0.5172413793103449,16099,0.5095222508110209,0.5249605078096689
1984,18-29 y.,3rd Quintile,Kaum,0.20689655172413793,16099,0.20063909050880524,0.21315401293947062
1984,18-29 y.,3rd Quintile,In mancher Beziehung,0.1724137931034483,16099,0.1665786804327733,0.17824890577412328
1984,18-29 y.,3rd Quintile,Voll und ganz,0.06896551724137931,16099,0.0650512046649794,0.07287982981777921
1984,18-29 y.,3rd Quintile,Ueberwiegend,0.034482758620689655,16099,0.03166413141844915,0.03730138582293016
1984,18-29 y.,4th Quintile,Kaum,0.5,16099,0.4922762781479938,0.5077237218520062
1984,18-29 y.,4th Quintile,Gar nicht,0.5,16099,0.4922762781479938,0.5077237218520062
1984,18-29 y.,5th Quintile,Gar nicht,0.6666666666666666,16099,0.6593846718699302,0.673948661463403
1984,18-29 y.,5th Quintile,Ueberwiegend,0.3333333333333333,16099,0.3260513385365969,0.3406153281300697
1984,30-45 y.,1st Quintile,Gar nicht,0.5032397408207343,16099,0.4955161811055723,0.5109633005358963
1984,30-45 y.,1st Quintile,In mancher Beziehung,0.2570194384449244,16099,0.2502690567224737,0.26376982016737516
