year,sampreg,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,West,Yes,0.70768,2159,3143,0.69178,0.72358
1997,West,No,0.29232,984,3143,0.27642,0.30822
1997,East,Yes,0.68378,968,1409,0.65949,0.70807
1997,East,No,0.31622,441,1409,0.29193,0.34051
1998,West,Yes,0.71756,2465,3475,0.70259,0.73253
1998,West,No,0.28244,1010,3475,0.26747,0.29741
1998,East,Yes,0.67701,1036,1527,0.65355,0.70047
1998,East,No,0.32299,491,1527,0.29953,0.34645
1999,West,Yes,0.72646,2462,3404,0.71148,0.74143
1999,West,No,0.27354,942,3404,0.25857,0.28852
1999,East,Yes,0.67598,1031,1496,0.65226,0.69971
1999,East,No,0.32402,465,1496,0.30029,0.34774
2000,West,Yes,0.69015,4230,6061,0.67851,0.70179
2000,West,No,0.30985,1831,6061,0.29821,0.32149
2000,East,Yes,0.66028,1388,2068,0.63986,0.68070
2000,East,No,0.33972,680,2068,0.31930,0.36014
2002,West,Yes,0.69980,4272,5968,0.68817,0.71143
2002,West,No,0.30020,1696,5968,0.28857,0.31183
2002,East,Yes,0.65629,1324,1961,0.63526,0.67731
2002,East,No,0.34371,637,1961,0.32269,0.36474
2003,West,Yes,0.70229,4025,5698,0.69041,0.71416
2003,West,No,0.29771,1673,5698,0.28584,0.30959
2003,East,Yes,0.67141,1274,1858,0.65004,0.69277
2003,East,No,0.32859,584,1858,0.30723,0.34996
2004,West,Yes,0.70584,3917,5474,0.69376,0.71791
2004,West,No,0.29416,1557,5474,0.28209,0.30624
2004,East,Yes,0.68122,1251,1806,0.65972,0.70272
2004,East,No,0.31878,555,1806,0.29728,0.34028
2005,West,Yes,0.70801,3648,5060,0.69548,0.72054
2005,West,No,0.29199,1412,5060,0.27946,0.30452
2005,East,Yes,0.66884,1149,1687,0.64637,0.69130
2005,East,No,0.33116,538,1687,0.30870,0.35363
2006,West,Yes,0.72737,4158,5635,0.71574,0.73900
2006,West,No,0.27263,1477,5635,0.26100,0.28426
2006,East,Yes,0.68843,1283,1815,0.66712,0.70975
2006,East,No,0.31157,532,1815,0.29025,0.33288
2007,West,Yes,0.75605,3904,5164,0.74433,0.76776
2007,West,No,0.24395,1260,5164,0.23224,0.25567
2007,East,Yes,0.68555,1244,1779,0.66397,0.70713
2007,East,No,0.31445,535,1779,0.29287,0.33603
2008,West,Yes,0.73563,3750,5087,0.72351,0.74775
2008,West,No,0.26437,1337,5087,0.25225,0.27649
2008,East,Yes,0.67649,1215,1737,0.65448,0.69849
2008,East,No,0.32351,522,1737,0.30151,0.34552
2009,West,Yes,0.71782,3196,4467,0.70462,0.73102
2009,West,No,0.28218,1271,4467,0.26898,0.29538
2009,East,Yes,0.67412,1087,1570,0.65092,0.69731
2009,East,No,0.32588,483,1570,0.30269,0.34908
2010,West,Yes,0.68818,4472,6434,0.67686,0.69950
2010,West,No,0.31182,1962,6434,0.30050,0.32314
2010,East,Yes,0.65485,1305,1927,0.63362,0.67608
2010,East,No,0.34515,622,1927,0.32392,0.36638
2011,West,Yes,0.75038,5900,7851,0.74080,0.75995
2011,West,No,0.24962,1951,7851,0.24005,0.25920
