year,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,male,Yes,0.38045,1340,3769,0.36495,0.39595
1986,male,No,0.61955,2429,3769,0.60405,0.63505
1986,female,Yes,0.25113,507,2382,0.23371,0.26855
1986,female,No,0.74887,1875,2382,0.73145,0.76629
1988,male,Yes,0.38387,1273,3551,0.36787,0.39987
1988,male,No,0.61613,2278,3551,0.60013,0.63213
1988,female,Yes,0.27307,560,2292,0.25483,0.29132
1988,female,No,0.72693,1732,2292,0.70868,0.74517
1989,male,Yes,0.40856,1301,3462,0.39219,0.42494
1989,male,No,0.59144,2161,3462,0.57506,0.60781
1989,female,Yes,0.29016,607,2285,0.27155,0.30877
1989,female,No,0.70984,1678,2285,0.69123,0.72845
1990,male,Yes,0.41012,1970,5130,0.39666,0.42358
1990,male,No,0.58988,3160,5130,0.57642,0.60334
1990,female,Yes,0.29522,1058,3873,0.28085,0.30959
1990,female,No,0.70478,2815,3873,0.69041,0.71915
1991,male,Yes,0.41853,1901,4898,0.40472,0.43235
1991,male,No,0.58147,2997,4898,0.56765,0.59528
1991,female,Yes,0.30326,993,3643,0.28833,0.31819
1991,female,No,0.69674,2650,3643,0.68181,0.71167
1992,male,Yes,0.43866,1899,4615,0.42434,0.45298
1992,male,No,0.56134,2716,4615,0.54702,0.57566
1992,female,Yes,0.33641,1068,3376,0.32047,0.35235
1992,female,No,0.66359,2308,3376,0.64765,0.67953
1993,male,Yes,0.41272,1780,4445,0.39824,0.42719
1993,male,No,0.58728,2665,4445,0.57281,0.60176
1993,female,Yes,0.31497,1036,3315,0.29915,0.33078
1993,female,No,0.68503,2279,3315,0.66922,0.70085
1994,male,Yes,0.43189,1815,4265,0.41703,0.44676
1994,male,No,0.56811,2450,4265,0.55324,0.58297
1994,female,Yes,0.33998,1066,3204,0.32357,0.35638
1994,female,No,0.66002,2138,3204,0.64362,0.67643
1995,male,Yes,0.45932,2008,4431,0.44464,0.47399
1995,male,No,0.54068,2423,4431,0.52601,0.55536
1995,female,Yes,0.36729,1174,3333,0.35092,0.38366
1995,female,No,0.63271,2159,3333,0.61634,0.64908
1996,male,Yes,0.46144,1946,4291,0.44652,0.47636
1996,male,No,0.53856,2345,4291,0.52364,0.55348
1996,female,Yes,0.36736,1171,3274,0.35085,0.38388
1996,female,No,0.63264,2103,3274,0.61612,0.64915
1997,male,Yes,0.71653,1914,2750,0.69968,0.73338
1997,male,No,0.28347,836,2750,0.26662,0.30032
1997,female,Yes,0.68124,1213,1802,0.65972,0.70276
1997,female,No,0.31876,589,1802,0.29724,0.34028
1998,male,Yes,0.72734,2150,3012,0.71144,0.74325
1998,male,No,0.27266,862,3012,0.25675,0.28856
1998,female,Yes,0.68000,1351,1990,0.65950,0.70050
1998,female,No,0.32000,639,1990,0.29950,0.34050
1999,male,Yes,0.72755,2127,2935,0.71144,0.74366
1999,male,No,0.27245,808,2935,0.25634,0.28856
1999,female,Yes,0.69881,1366,1965,0.67852,0.71910
