year,bula_h,migback,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Schleswig-Holstein,No migration background,Yes,0.17799,60,165,0.11945,0.23653
1986,Schleswig-Holstein,No migration background,No,0.29452,105,165,0.22476,0.36429
1986,Hamburg,No migration background,Yes,0.20137,44,99,0.12197,0.28077
1986,Hamburg,No migration background,No,0.26439,55,99,0.17708,0.35171
1986,Hamburg,Direct migration background,No,0.43888,39,39,0.28109,0.59666
1986,Lower Saxony,No migration background,Yes,0.15291,174,492,0.12108,0.18475
1986,Lower Saxony,No migration background,No,0.26972,318,492,0.23046,0.30897
1986,Lower Saxony,Direct migration background,No,0.36809,75,75,0.25820,0.47797
1986,North Rhine-Westphalia,No migration background,Yes,0.13045,338,1080,0.11035,0.15054
1986,North Rhine-Westphalia,No migration background,No,0.28712,742,1080,0.26013,0.31412
1986,North Rhine-Westphalia,Direct migration background,Yes,0.11330,90,468,0.08456,0.14205
1986,North Rhine-Westphalia,Direct migration background,No,0.38031,378,468,0.33628,0.42434
1986,Hesse,No migration background,Yes,0.17075,137,375,0.13262,0.20889
1986,Hesse,No migration background,No,0.28469,238,375,0.23896,0.33043
1986,Hesse,Direct migration background,Yes,0.15262,55,239,0.10693,0.19831
1986,Hesse,Direct migration background,No,0.35152,184,239,0.29086,0.41218
1986,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.12443,100,331,0.08882,0.16004
1986,"Rhineland-Palatinate, Saarland",No migration background,No,0.29668,231,331,0.24739,0.34596
1986,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.46158,64,64,0.33848,0.58468
1986,Baden-Wuerttemberg,No migration background,Yes,0.16934,253,705,0.14164,0.19705
1986,Baden-Wuerttemberg,No migration background,No,0.30509,452,705,0.27108,0.33910
1986,Baden-Wuerttemberg,Direct migration background,Yes,0.19617,137,542,0.16271,0.22963
1986,Baden-Wuerttemberg,Direct migration background,No,0.41682,405,542,0.37527,0.45836
1986,Bavaria,No migration background,Yes,0.14730,254,796,0.12266,0.17193
1986,Bavaria,No migration background,No,0.30809,542,796,0.27599,0.34018
1986,Bavaria,Direct migration background,Yes,0.14195,63,257,0.09919,0.18470
1986,Bavaria,Direct migration background,No,0.41314,194,257,0.35282,0.47346
1986,Berlin,No migration background,Yes,0.16761,49,151,0.10783,0.22738
1986,Berlin,No migration background,No,0.32009,102,151,0.24543,0.39475
1986,Berlin,Direct migration background,No,0.50018,56,56,0.36804,0.63233
