year,age_gr,regtyp,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,17-29 y.,Urban regions,Yes,0.34435,437,1467,0.32002,0.36867
1986,17-29 y.,Urban regions,No,0.65565,1030,1467,0.63133,0.67998
1986,17-29 y.,Rural regions,Yes,0.29418,122,420,0.25055,0.33782
1986,17-29 y.,Rural regions,No,0.70582,298,420,0.66218,0.74945
1986,30-45 y.,Urban regions,Yes,0.36958,602,1861,0.34765,0.39152
1986,30-45 y.,Urban regions,No,0.63042,1259,1861,0.60848,0.65235
1986,30-45 y.,Rural regions,Yes,0.32939,156,487,0.28760,0.37117
1986,30-45 y.,Rural regions,No,0.67061,331,487,0.62883,0.71240
1986,46-65 y.,Urban regions,Yes,0.30675,427,1521,0.28357,0.32994
1986,46-65 y.,Urban regions,No,0.69325,1094,1521,0.67006,0.71643
1986,46-65 y.,Rural regions,Yes,0.28098,103,366,0.23486,0.32709
1986,46-65 y.,Rural regions,No,0.71902,263,366,0.67291,0.76514
1988,17-29 y.,Urban regions,Yes,0.34696,445,1414,0.32214,0.37178
1988,17-29 y.,Urban regions,No,0.65304,969,1414,0.62822,0.67786
1988,17-29 y.,Rural regions,Yes,0.36092,129,370,0.31191,0.40992
1988,17-29 y.,Rural regions,No,0.63908,241,370,0.59008,0.68809
1988,30-45 y.,Urban regions,Yes,0.37829,582,1721,0.35537,0.40121
1988,30-45 y.,Urban regions,No,0.62171,1139,1721,0.59879,0.64463
1988,30-45 y.,Rural regions,Yes,0.30988,145,461,0.26762,0.35214
1988,30-45 y.,Rural regions,No,0.69012,316,461,0.64786,0.73238
1988,46-65 y.,Urban regions,Yes,0.33164,442,1483,0.30767,0.35561
1988,46-65 y.,Urban regions,No,0.66836,1041,1483,0.64439,0.69233
1988,46-65 y.,Rural regions,Yes,0.24464,87,360,0.20017,0.28911
1988,46-65 y.,Rural regions,No,0.75536,273,360,0.71089,0.79983
1989,17-29 y.,Urban regions,Yes,0.37880,479,1433,0.35368,0.40393
1989,17-29 y.,Urban regions,No,0.62120,954,1433,0.59607,0.64632
1989,17-29 y.,Rural regions,Yes,0.39088,136,368,0.34096,0.44080
1989,17-29 y.,Rural regions,No,0.60912,232,368,0.55920,0.65904
1989,30-45 y.,Urban regions,Yes,0.40130,627,1712,0.37807,0.42452
1989,30-45 y.,Urban regions,No,0.59870,1085,1712,0.57548,0.62193
1989,30-45 y.,Rural regions,Yes,0.33060,137,436,0.28639,0.37481
1989,30-45 y.,Rural regions,No,0.66940,299,436,0.62519,0.71361
