year,migback,pgisced97,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,No migration background,Lower Secondary Level,Yes,0.07848,165,788,0.05969,0.09727
1986,No migration background,Lower Secondary Level,No,0.28650,623,788,0.25491,0.31809
1986,No migration background,Upper Secondary Level,Yes,0.19235,831,2431,0.17668,0.20802
1986,No migration background,Upper Secondary Level,No,0.36785,1600,2431,0.34867,0.38702
1986,No migration background,Post-secondary Non-tertiary Level,Yes,0.26502,45,106,0.18060,0.34944
1986,No migration background,Post-secondary Non-tertiary Level,No,0.33743,61,106,0.24699,0.42788
1986,No migration background,First Stage of Tertiary Education,Yes,0.25483,142,354,0.20937,0.30029
1986,No migration background,First Stage of Tertiary Education,No,0.37519,212,354,0.32468,0.42570
1986,No migration background,Second Stage of Tertiary Education,Yes,0.33083,214,481,0.28874,0.37292
1986,No migration background,Second Stage of Tertiary Education,No,0.40310,267,481,0.35922,0.44699
1986,Direct migration background,Primary Level,Yes,0.09204,61,388,0.06324,0.12084
1986,Direct migration background,Primary Level,No,0.44093,327,388,0.39147,0.49040
1986,Direct migration background,Lower Secondary Level,Yes,0.12646,131,589,0.09960,0.15333
1986,Direct migration background,Lower Secondary Level,No,0.39471,458,589,0.35520,0.43422
1986,Direct migration background,Upper Secondary Level,Yes,0.17841,159,636,0.14863,0.20818
1986,Direct migration background,Upper Secondary Level,No,0.48496,477,636,0.44608,0.52383
1986,Direct migration background,Post-secondary Non-tertiary Level,No,0.50366,56,56,0.37152,0.63580
1986,Direct migration background,Second Stage of Tertiary Education,No,0.38025,54,54,0.24956,0.51095
1986,Indirect migration background,Upper Secondary Level,No,0.59786,37,37,0.43768,0.75803
1988,No migration background,Lower Secondary Level,Yes,0.08688,171,741,0.06659,0.10717
1988,No migration background,Lower Secondary Level,No,0.28956,570,741,0.25688,0.32224
1988,No migration background,Upper Secondary Level,Yes,0.19722,801,2296,0.18094,0.21350
1988,No migration background,Upper Secondary Level,No,0.36606,1495,2296,0.34635,0.38577
1988,No migration background,Post-secondary Non-tertiary Level,Yes,0.25995,46,109,0.17722,0.34267
1988,No migration background,Post-secondary Non-tertiary Level,No,0.34641,63,109,0.25667,0.43615
1988,No migration background,First Stage of Tertiary Education,Yes,0.29294,143,326,0.24346,0.34242
1988,No migration background,First Stage of Tertiary Education,No,0.35311,183,326,0.30115,0.40508
1988,No migration background,Second Stage of Tertiary Education,Yes,0.31840,208,481,0.27672,0.36007
1988,No migration background,Second Stage of Tertiary Education,No,0.43702,273,481,0.39265,0.48140
1988,Direct migration background,Primary Level,Yes,0.10787,65,328,0.07425,0.14150
1988,Direct migration background,Primary Level,No,0.40947,263,328,0.35617,0.46277
1988,Direct migration background,Lower Secondary Level,Yes,0.12470,126,577,0.09771,0.15168
1988,Direct migration background,Lower Secondary Level,No,0.40827,451,577,0.36813,0.44841
1988,Direct migration background,Upper Secondary Level,Yes,0.17775,158,591,0.14690,0.20860
1988,Direct migration background,Upper Secondary Level,No,0.44414,433,591,0.40404,0.48423
1988,Direct migration background,Post-secondary Non-tertiary Level,No,0.45448,43,43,0.30389,0.60507
1988,Direct migration background,Second Stage of Tertiary Education,No,0.36492,35,35,0.20310,0.52674
1988,Indirect migration background,Upper Secondary Level,No,0.46323,41,41,0.30870,0.61777
1989,No migration background,Lower Secondary Level,Yes,0.10104,180,704,0.07876,0.12332
1989,No migration background,Lower Secondary Level,No,0.28545,524,704,0.25207,0.31884
1989,No migration background,Upper Secondary Level,Yes,0.21470,840,2275,0.19782,0.23158
1989,No migration background,Upper Secondary Level,No,0.36399,1435,2275,0.34421,0.38377
1989,No migration background,Post-secondary Non-tertiary Level,Yes,0.28972,57,121,0.20856,0.37089
1989,No migration background,Post-secondary Non-tertiary Level,No,0.31714,64,121,0.23387,0.40040
1989,No migration background,First Stage of Tertiary Education,Yes,0.25731,124,314,0.20888,0.30574
1989,No migration background,First Stage of Tertiary Education,No,0.38563,190,314,0.33171,0.43956
1989,No migration background,Second Stage of Tertiary Education,Yes,0.35560,217,471,0.31232,0.39888
1989,No migration background,Second Stage of Tertiary Education,No,0.39114,254,471,0.34702,0.43526
1989,Direct migration background,Primary Level,Yes,0.11750,69,300,0.08100,0.15400
1989,Direct migration background,Primary Level,No,0.38801,231,300,0.33277,0.44324
1989,Direct migration background,Lower Secondary Level,Yes,0.11003,119,566,0.08423,0.13584
1989,Direct migration background,Lower Secondary Level,No,0.40572,447,566,0.36523,0.44621
1989,Direct migration background,Upper Secondary Level,Yes,0.21361,185,590,0.18051,0.24671
1989,Direct migration background,Upper Secondary Level,No,0.40432,405,590,0.36468,0.44395
1989,Direct migration background,Post-secondary Non-tertiary Level,No,0.40483,42,42,0.25458,0.55508
1989,Direct migration background,Second Stage of Tertiary Education,No,0.32258,39,39,0.17395,0.47121
1989,Indirect migration background,Lower Secondary Level,No,0.30388,42,42,0.16310,0.44467
1989,Indirect migration background,Upper Secondary Level,No,0.45097,39,39,0.29276,0.60918
1990,No migration background,Lower Secondary Level,Yes,0.10431,212,877,0.08407,0.12455
1990,No migration background,Lower Secondary Level,No,0.27879,665,877,0.24910,0.30849
1990,No migration background,Upper Secondary Level,Yes,0.22190,1433,4183,0.20931,0.23449
1990,No migration background,Upper Secondary Level,No,0.39864,2750,4183,0.38380,0.41347
1990,No migration background,Post-secondary Non-tertiary Level,Yes,0.30286,82,185,0.23647,0.36926
1990,No migration background,Post-secondary Non-tertiary Level,No,0.36072,103,185,0.29133,0.43010
1990,No migration background,First Stage of Tertiary Education,Yes,0.28928,207,518,0.25020,0.32837
1990,No migration background,First Stage of Tertiary Education,No,0.37078,311,518,0.32914,0.41242
1990,No migration background,Second Stage of Tertiary Education,Yes,0.36218,569,1269,0.33572,0.38863
1990,No migration background,Second Stage of Tertiary Education,No,0.41561,700,1269,0.38849,0.44274
1990,Direct migration background,Primary Level,Yes,0.09848,53,298,0.06460,0.13237
1990,Direct migration background,Primary Level,No,0.42687,245,298,0.37062,0.48313
1990,Direct migration background,Lower Secondary Level,Yes,0.12400,133,579,0.09713,0.15087
1990,Direct migration background,Lower Secondary Level,No,0.43289,446,579,0.39250,0.47329
