year,regtyp,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Urban regions,male,Yes,0.22048,1077,2994,0.20563,0.23533
1986,Urban regions,male,No,0.33826,1917,2994,0.32131,0.35521
1986,Urban regions,female,Yes,0.08519,389,1879,0.07257,0.09782
1986,Urban regions,female,No,0.25345,1490,1879,0.23378,0.27313
1986,Rural regions,male,Yes,0.17901,263,775,0.15201,0.20602
1986,Rural regions,male,No,0.35595,512,775,0.32222,0.38969
1986,Rural regions,female,Yes,0.08148,118,503,0.05755,0.10541
1986,Rural regions,female,No,0.24477,385,503,0.20716,0.28238
1988,Urban regions,male,Yes,0.22226,1016,2834,0.20695,0.23757
1988,Urban regions,male,No,0.34242,1818,2834,0.32494,0.35989
1988,Urban regions,female,Yes,0.10097,455,1811,0.08709,0.11485
1988,Urban regions,female,No,0.25170,1356,1811,0.23170,0.27169
1988,Rural regions,male,Yes,0.18303,257,717,0.15470,0.21135
1988,Rural regions,male,No,0.33853,460,717,0.30386,0.37319
1988,Rural regions,female,Yes,0.07615,105,481,0.05242,0.09987
1988,Rural regions,female,No,0.25738,376,481,0.21827,0.29649
1989,Urban regions,male,Yes,0.23488,1035,2771,0.21909,0.25066
1989,Urban regions,male,No,0.33399,1736,2771,0.31642,0.35155
1989,Urban regions,female,Yes,0.10942,496,1822,0.09508,0.12376
1989,Urban regions,female,No,0.25440,1326,1822,0.23440,0.27441
1989,Rural regions,male,Yes,0.20852,266,691,0.17821,0.23883
1989,Rural regions,male,No,0.32118,425,691,0.28634,0.35602
1989,Rural regions,female,Yes,0.08365,111,463,0.05841,0.10890
1989,Rural regions,female,No,0.24852,352,463,0.20912,0.28793
1990,Urban regions,male,Yes,0.24497,1296,3257,0.23020,0.25975
1990,Urban regions,male,No,0.32880,1961,3257,0.31266,0.34493
1990,Urban regions,female,Yes,0.11800,651,2338,0.10492,0.13108
1990,Urban regions,female,No,0.26592,1687,2338,0.24801,0.28384
1990,Rural regions,male,Yes,0.21291,659,1840,0.19420,0.23162
1990,Rural regions,male,No,0.35772,1181,1840,0.33582,0.37963
1990,Rural regions,female,Yes,0.11096,395,1499,0.09505,0.12686
1990,Rural regions,female,No,0.29984,1104,1499,0.27664,0.32304
1991,Urban regions,male,Yes,0.25317,1309,3165,0.23801,0.26832
1991,Urban regions,male,No,0.31390,1856,3165,0.29773,0.33007
1991,Urban regions,female,Yes,0.12223,639,2308,0.10887,0.13560
1991,Urban regions,female,No,0.26596,1669,2308,0.24793,0.28399
1991,Rural regions,male,Yes,0.19870,580,1700,0.17972,0.21767
1991,Rural regions,male,No,0.35483,1120,1700,0.33208,0.37759
1991,Rural regions,female,Yes,0.10482,343,1306,0.08820,0.12144
1991,Rural regions,female,No,0.27383,963,1306,0.24963,0.29802
1992,Urban regions,male,Yes,0.25103,1269,3030,0.23559,0.26647
1992,Urban regions,male,No,0.30042,1761,3030,0.28409,0.31675
1992,Urban regions,female,Yes,0.12798,687,2193,0.11399,0.14196
1992,Urban regions,female,No,0.24586,1506,2193,0.22784,0.26389
1992,Rural regions,male,Yes,0.21442,616,1540,0.19391,0.23492
1992,Rural regions,male,No,0.31706,924,1540,0.29381,0.34030
1992,Rural regions,female,Yes,0.11060,365,1148,0.09245,0.12875
1992,Rural regions,female,No,0.23866,783,1148,0.21399,0.26333
1993,Urban regions,male,Yes,0.22681,1175,2969,0.21175,0.24188
1993,Urban regions,male,No,0.31702,1794,2969,0.30028,0.33376
1993,Urban regions,female,Yes,0.11893,668,2193,0.10538,0.13248
1993,Urban regions,female,No,0.26020,1525,2193,0.24184,0.27857
1993,Rural regions,male,Yes,0.20785,605,1476,0.18715,0.22856
1993,Rural regions,male,No,0.30837,871,1476,0.28480,0.33194
1993,Rural regions,female,Yes,0.10934,368,1122,0.09107,0.12760
1993,Rural regions,female,No,0.23453,754,1122,0.20973,0.25933
1994,Urban regions,male,Yes,0.23290,1199,2838,0.21735,0.24846
1994,Urban regions,male,No,0.30181,1639,2838,0.28492,0.31870
1994,Urban regions,female,Yes,0.12561,680,2096,0.11142,0.13980
1994,Urban regions,female,No,0.23845,1416,2096,0.22020,0.25669
1994,Rural regions,male,Yes,0.21339,616,1427,0.19213,0.23466
1994,Rural regions,male,No,0.29070,811,1427,0.26713,0.31427
1994,Rural regions,female,Yes,0.11149,386,1108,0.09295,0.13003
1994,Rural regions,female,No,0.22830,722,1108,0.20358,0.25303
1995,Urban regions,male,Yes,0.25480,1354,2915,0.23897,0.27062
1995,Urban regions,male,No,0.27323,1561,2915,0.25705,0.28940
1995,Urban regions,female,Yes,0.13518,764,2165,0.12078,0.14959
1995,Urban regions,female,No,0.22429,1401,2165,0.20672,0.24187
1995,Rural regions,male,Yes,0.20981,654,1516,0.18930,0.23031
1995,Rural regions,male,No,0.30411,862,1516,0.28094,0.32727
1995,Rural regions,female,Yes,0.12007,410,1168,0.10142,0.13872
1995,Rural regions,female,No,0.22518,758,1168,0.20121,0.24915
