year,pgisced97,sampreg,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Primary Level,West,Yes,0.11918,74,426,0.08838,0.14999
1986,Primary Level,West,No,0.36953,352,426,0.32364,0.41542
1986,Lower Secondary Level,West,Yes,0.08442,304,1407,0.06989,0.09895
1986,Lower Secondary Level,West,No,0.29837,1103,1407,0.27445,0.32229
1986,Upper Secondary Level,West,Yes,0.19089,995,3109,0.17707,0.20470
1986,Upper Secondary Level,West,No,0.37748,2114,3109,0.36044,0.39453
1986,Post-secondary Non-tertiary Level,West,Yes,0.25505,67,184,0.19190,0.31821
1986,Post-secondary Non-tertiary Level,West,No,0.35819,117,184,0.28872,0.42766
1986,First Stage of Tertiary Education,West,Yes,0.25328,158,390,0.21006,0.29650
1986,First Stage of Tertiary Education,West,No,0.37024,232,390,0.32225,0.41823
1986,Second Stage of Tertiary Education,West,Yes,0.31909,238,562,0.28052,0.35766
1986,Second Stage of Tertiary Education,West,No,0.40555,324,562,0.36492,0.44618
1988,Primary Level,West,Yes,0.10100,71,360,0.06983,0.13217
1988,Primary Level,West,No,0.35650,289,360,0.30695,0.40605
1988,Lower Secondary Level,West,Yes,0.09178,306,1356,0.07640,0.10715
1988,Lower Secondary Level,West,No,0.30400,1050,1356,0.27951,0.32850
1988,Upper Secondary Level,West,Yes,0.19563,973,2942,0.18129,0.20996
1988,Upper Secondary Level,West,No,0.37257,1969,2942,0.35510,0.39005
1988,Post-secondary Non-tertiary Level,West,Yes,0.25376,69,177,0.18947,0.31805
1988,Post-secondary Non-tertiary Level,West,No,0.36190,108,177,0.29090,0.43290
1988,First Stage of Tertiary Education,West,Yes,0.29033,158,369,0.24395,0.33671
1988,First Stage of Tertiary Education,West,No,0.35452,211,369,0.30564,0.40340
1988,Second Stage of Tertiary Education,West,Yes,0.31692,236,546,0.27786,0.35599
1988,Second Stage of Tertiary Education,West,No,0.43377,310,546,0.39216,0.47538
1989,Primary Level,West,Yes,0.11974,79,336,0.08498,0.15451
1989,Primary Level,West,No,0.36082,257,336,0.30939,0.41224
1989,Lower Secondary Level,West,Yes,0.10209,307,1320,0.08575,0.11843
1989,Lower Secondary Level,West,No,0.30173,1013,1320,0.27696,0.32650
1989,Upper Secondary Level,West,Yes,0.21429,1040,2919,0.19940,0.22918
1989,Upper Secondary Level,West,No,0.36777,1879,2919,0.35027,0.38526
1989,Post-secondary Non-tertiary Level,West,Yes,0.27486,77,183,0.20999,0.33972
1989,Post-secondary Non-tertiary Level,West,No,0.32590,106,183,0.25781,0.39400
1989,First Stage of Tertiary Education,West,Yes,0.26121,139,351,0.21519,0.30724
1989,First Stage of Tertiary Education,West,No,0.37769,212,351,0.32690,0.42848
1989,Second Stage of Tertiary Education,West,Yes,0.34844,245,540,0.30821,0.38866
1989,Second Stage of Tertiary Education,West,No,0.38576,295,540,0.34467,0.42686
1990,Primary Level,West,Yes,0.11946,66,336,0.08473,0.15419
1990,Primary Level,West,No,0.38872,270,336,0.33652,0.44092
1990,Lower Secondary Level,West,Yes,0.11501,327,1281,0.09753,0.13248
1990,Lower Secondary Level,West,No,0.29685,954,1281,0.27182,0.32188
1990,Lower Secondary Level,East,Yes,0.04857,32,246,0.02165,0.07548
1990,Lower Secondary Level,East,No,0.33470,214,246,0.27561,0.39379
1990,Upper Secondary Level,West,Yes,0.22256,1050,2873,0.20734,0.23777
1990,Upper Secondary Level,West,No,0.36909,1823,2873,0.35144,0.38674
1990,Upper Secondary Level,East,Yes,0.21822,601,1980,0.20002,0.23642
1990,Upper Secondary Level,East,No,0.50910,1379,1980,0.48707,0.53112
1990,Post-secondary Non-tertiary Level,West,Yes,0.29050,79,184,0.22472,0.35628
1990,Post-secondary Non-tertiary Level,West,No,0.34320,105,184,0.27441,0.41199
1990,Post-secondary Non-tertiary Level,East,No,0.51829,42,42,0.36534,0.67124
1990,First Stage of Tertiary Education,West,Yes,0.28895,146,343,0.24091,0.33699
1990,First Stage of Tertiary Education,West,No,0.33902,197,343,0.28885,0.38919
1990,First Stage of Tertiary Education,East,Yes,0.26975,76,218,0.21070,0.32880
1990,First Stage of Tertiary Education,East,No,0.49977,142,218,0.43325,0.56630
1990,Second Stage of Tertiary Education,West,Yes,0.37557,267,533,0.33442,0.41672
1990,Second Stage of Tertiary Education,West,No,0.36563,266,533,0.32471,0.40656
1990,Second Stage of Tertiary Education,East,Yes,0.32616,343,835,0.29434,0.35798
1990,Second Stage of Tertiary Education,East,No,0.49566,492,835,0.46173,0.52959
1991,Primary Level,West,Yes,0.11524,73,343,0.08140,0.14908
1991,Primary Level,West,No,0.41904,270,343,0.36675,0.47133
1991,Lower Secondary Level,West,Yes,0.11598,324,1272,0.09838,0.13358
1991,Lower Secondary Level,West,No,0.30287,948,1272,0.27761,0.32813
1991,Lower Secondary Level,East,No,0.22892,144,144,0.16006,0.29778
1991,Upper Secondary Level,West,Yes,0.24447,1146,2908,0.22884,0.26009
1991,Upper Secondary Level,West,No,0.34799,1762,2908,0.33068,0.36531
1991,Upper Secondary Level,East,Yes,0.15837,424,1605,0.14050,0.17624
1991,Upper Secondary Level,East,No,0.46731,1181,1605,0.44289,0.49173
1991,Post-secondary Non-tertiary Level,West,Yes,0.33054,94,212,0.26707,0.39401
1991,Post-secondary Non-tertiary Level,West,No,0.35112,118,212,0.28672,0.41553
1991,Post-secondary Non-tertiary Level,East,No,0.54561,40,40,0.38934,0.70188
1991,First Stage of Tertiary Education,West,Yes,0.28620,155,358,0.23931,0.33308
1991,First Stage of Tertiary Education,West,No,0.36571,203,358,0.31575,0.41567
1991,First Stage of Tertiary Education,East,Yes,0.18624,48,190,0.13073,0.24174
1991,First Stage of Tertiary Education,East,No,0.56345,142,190,0.49274,0.63416
1991,Second Stage of Tertiary Education,West,Yes,0.35881,272,557,0.31894,0.39868
1991,Second Stage of Tertiary Education,West,No,0.37813,285,557,0.33782,0.41844
1991,Second Stage of Tertiary Education,East,Yes,0.28201,300,743,0.24963,0.31439
1991,Second Stage of Tertiary Education,East,No,0.45340,443,743,0.41758,0.48922
1992,Primary Level,West,Yes,0.12461,68,296,0.08692,0.16230
1992,Primary Level,West,No,0.34037,228,296,0.28630,0.39444
1992,Lower Secondary Level,West,Yes,0.11117,294,1199,0.09337,0.12897
1992,Lower Secondary Level,West,No,0.29158,905,1199,0.26584,0.31731
1992,Lower Secondary Level,East,No,0.20515,129,129,0.13519,0.27510
1992,Upper Secondary Level,West,Yes,0.23950,1111,2864,0.22386,0.25513
1992,Upper Secondary Level,West,No,0.34513,1753,2864,0.32772,0.36255
1992,Upper Secondary Level,East,Yes,0.20241,496,1324,0.18076,0.22406
1992,Upper Secondary Level,East,No,0.33047,828,1324,0.30513,0.35582
1992,Post-secondary Non-tertiary Level,West,Yes,0.29810,91,205,0.23533,0.36087
1992,Post-secondary Non-tertiary Level,West,No,0.34298,114,205,0.27784,0.40812
1992,First Stage of Tertiary Education,West,Yes,0.26648,147,371,0.22143,0.31153
1992,First Stage of Tertiary Education,West,No,0.38836,224,371,0.33870,0.43802
1992,First Stage of Tertiary Education,East,Yes,0.28285,69,171,0.21514,0.35055
1992,First Stage of Tertiary Education,East,No,0.40402,102,171,0.33026,0.47779
1992,Second Stage of Tertiary Education,West,Yes,0.35664,274,557,0.31682,0.39645
1992,Second Stage of Tertiary Education,West,No,0.37600,283,557,0.33573,0.41626
1992,Second Stage of Tertiary Education,East,Yes,0.34779,341,670,0.31170,0.38388
1992,Second Stage of Tertiary Education,East,No,0.34132,329,670,0.30539,0.37726
1993,Primary Level,West,Yes,0.11196,55,296,0.07598,0.14794
1993,Primary Level,West,No,0.37113,241,296,0.31600,0.42626
1993,Lower Secondary Level,West,Yes,0.10424,274,1155,0.08661,0.12187
1993,Lower Secondary Level,West,No,0.30751,881,1155,0.28089,0.33414
1993,Lower Secondary Level,East,Yes,0.06126,33,137,0.02095,0.10156
1993,Lower Secondary Level,East,No,0.17827,104,137,0.11395,0.24260
1993,Upper Secondary Level,West,Yes,0.21501,1013,2831,0.19987,0.23014
1993,Upper Secondary Level,West,No,0.36081,1818,2831,0.34311,0.37850
1993,Upper Secondary Level,East,Yes,0.20959,498,1232,0.18685,0.23233
1993,Upper Secondary Level,East,No,0.30264,734,1232,0.27697,0.32830
1993,Post-secondary Non-tertiary Level,West,Yes,0.26430,77,210,0.20452,0.32409
1993,Post-secondary Non-tertiary Level,West,No,0.41990,133,210,0.35299,0.48682
1993,First Stage of Tertiary Education,West,Yes,0.23279,128,357,0.18889,0.27669
1993,First Stage of Tertiary Education,West,No,0.41797,229,357,0.36673,0.46921
1993,First Stage of Tertiary Education,East,Yes,0.21057,57,148,0.14466,0.27648
1993,First Stage of Tertiary Education,East,No,0.35402,91,148,0.27671,0.43133
1993,Second Stage of Tertiary Education,West,Yes,0.33263,282,576,0.29412,0.37114
1993,Second Stage of Tertiary Education,West,No,0.39363,294,576,0.35370,0.43357
1993,Second Stage of Tertiary Education,East,Yes,0.36521,348,635,0.32773,0.40269
1993,Second Stage of Tertiary Education,East,No,0.31082,287,635,0.27479,0.34685
1994,Primary Level,West,Yes,0.07691,40,256,0.04420,0.10961
1994,Primary Level,West,No,0.35930,216,256,0.30041,0.41819
1994,Lower Secondary Level,West,Yes,0.09363,243,974,0.07532,0.11193
1994,Lower Secondary Level,West,No,0.27316,731,974,0.24516,0.30116
1994,Lower Secondary Level,East,Yes,0.07166,39,149,0.03011,0.11322
1994,Lower Secondary Level,East,No,0.19388,110,149,0.13019,0.25758
1994,Upper Secondary Level,West,Yes,0.22235,1030,2737,0.20677,0.23793
1994,Upper Secondary Level,West,No,0.34042,1707,2737,0.32267,0.35818
1994,Upper Secondary Level,East,Yes,0.21951,524,1188,0.19596,0.24306
1994,Upper Secondary Level,East,No,0.28273,664,1188,0.25711,0.30835
1994,Post-secondary Non-tertiary Level,West,Yes,0.29299,95,206,0.23068,0.35529
1994,Post-secondary Non-tertiary Level,West,No,0.37762,111,206,0.31126,0.44399
1994,First Stage of Tertiary Education,West,Yes,0.25098,140,361,0.20619,0.29577
1994,First Stage of Tertiary Education,West,No,0.40210,221,361,0.35145,0.45275
1994,First Stage of Tertiary Education,East,Yes,0.21415,55,154,0.14915,0.27916
1994,First Stage of Tertiary Education,East,No,0.36218,99,154,0.28602,0.43834
1994,Second Stage of Tertiary Education,West,Yes,0.33548,289,613,0.29807,0.37288
1994,Second Stage of Tertiary Education,West,No,0.39991,324,613,0.36109,0.43872
1994,Second Stage of Tertiary Education,East,Yes,0.38796,359,627,0.34979,0.42613
1994,Second Stage of Tertiary Education,East,No,0.28979,268,627,0.25425,0.32533
1995,Primary Level,West,Yes,0.10188,51,231,0.06278,0.14097
1995,Primary Level,West,No,0.33604,180,231,0.27500,0.39709
1995,Lower Secondary Level,West,Yes,0.10836,284,988,0.08897,0.12775
1995,Lower Secondary Level,West,No,0.24952,704,988,0.22252,0.27652
