year,migback,quintil_oecd,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,No migration background,1st Quintile,Yes,0.05505,96,372,0.03184,0.07826
1986,No migration background,1st Quintile,No,0.15984,276,372,0.12255,0.19713
1986,No migration background,2nd Quintile,Yes,0.10260,188,641,0.07909,0.12610
1986,No migration background,2nd Quintile,No,0.23746,453,641,0.20449,0.27043
1986,No migration background,3rd Quintile,Yes,0.14907,287,863,0.12529,0.17284
1986,No migration background,3rd Quintile,No,0.30391,576,863,0.27320,0.33461
1986,No migration background,4th Quintile,Yes,0.20728,399,1081,0.18310,0.23145
1986,No migration background,4th Quintile,No,0.33812,682,1081,0.30991,0.36633
1986,No migration background,5th Quintile,Yes,0.22079,448,1273,0.19800,0.24359
1986,No migration background,5th Quintile,No,0.40709,825,1273,0.38009,0.43409
1986,Direct migration background,1st Quintile,Yes,0.06892,67,376,0.04328,0.09456
1986,Direct migration background,1st Quintile,No,0.27837,309,376,0.23300,0.32373
1986,Direct migration background,2nd Quintile,Yes,0.13599,93,410,0.10277,0.16921
1986,Direct migration background,2nd Quintile,No,0.35689,317,410,0.31045,0.40332
1986,Direct migration background,3rd Quintile,Yes,0.14906,94,406,0.11437,0.18375
1986,Direct migration background,3rd Quintile,No,0.47980,312,406,0.43114,0.52845
1986,Direct migration background,4th Quintile,Yes,0.22646,96,410,0.18590,0.26702
1986,Direct migration background,4th Quintile,No,0.47993,314,410,0.43151,0.52835
1986,Direct migration background,5th Quintile,Yes,0.17281,61,231,0.12394,0.22167
1986,Direct migration background,5th Quintile,No,0.48116,170,231,0.41658,0.54573
1988,No migration background,1st Quintile,Yes,0.06246,105,368,0.03770,0.08722
1988,No migration background,1st Quintile,No,0.15775,263,368,0.12046,0.19504
1988,No migration background,2nd Quintile,Yes,0.10829,198,621,0.08383,0.13275
1988,No migration background,2nd Quintile,No,0.22899,423,621,0.19591,0.26206
1988,No migration background,3rd Quintile,Yes,0.14570,270,816,0.12147,0.16992
1988,No migration background,3rd Quintile,No,0.31166,546,816,0.27986,0.34346
1988,No migration background,4th Quintile,Yes,0.20214,343,996,0.17718,0.22709
1988,No migration background,4th Quintile,No,0.35497,653,996,0.32524,0.38471
1988,No migration background,5th Quintile,Yes,0.25296,473,1229,0.22864,0.27727
1988,No migration background,5th Quintile,No,0.40481,756,1229,0.37735,0.43226
1988,Direct migration background,1st Quintile,Yes,0.07317,77,346,0.04569,0.10065
1988,Direct migration background,1st Quintile,No,0.28756,269,346,0.23980,0.33532
1988,Direct migration background,2nd Quintile,Yes,0.15945,114,383,0.12273,0.19616
1988,Direct migration background,2nd Quintile,No,0.33080,269,383,0.28362,0.37799
1988,Direct migration background,3rd Quintile,Yes,0.14342,88,386,0.10841,0.17843
1988,Direct migration background,3rd Quintile,No,0.50207,298,386,0.45212,0.55201
1988,Direct migration background,4th Quintile,Yes,0.17982,82,375,0.14090,0.21874
1988,Direct migration background,4th Quintile,No,0.45164,293,375,0.40120,0.50208
1988,Direct migration background,5th Quintile,Yes,0.26553,57,207,0.20523,0.32584
