year,regtyp,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Urban regions,Yes,0.14991,1466,4873,0.13988,0.15993
1986,Urban regions,No,0.29402,3407,4873,0.28123,0.30681
1986,Rural regions,Yes,0.12794,381,1278,0.10962,0.14626
1986,Rural regions,No,0.29773,897,1278,0.27265,0.32281
1988,Urban regions,Yes,0.15923,1471,4645,0.14870,0.16975
1988,Urban regions,No,0.29527,3174,4645,0.28215,0.30839
1988,Rural regions,Yes,0.12812,362,1198,0.10919,0.14706
1988,Rural regions,No,0.29684,836,1198,0.27096,0.32272
1989,Urban regions,Yes,0.16974,1531,4593,0.15888,0.18060
1989,Urban regions,No,0.29267,3062,4593,0.27951,0.30583
1989,Rural regions,Yes,0.14459,377,1154,0.12429,0.16490
1989,Rural regions,No,0.28398,777,1154,0.25796,0.31001
1990,Urban regions,Yes,0.17922,1947,5595,0.16917,0.18927
1990,Urban regions,No,0.29614,3648,5595,0.28418,0.30811
1990,Rural regions,Yes,0.16065,1054,3339,0.14819,0.17310
1990,Rural regions,No,0.32805,2285,3339,0.31212,0.34398
1991,Urban regions,Yes,0.18533,1948,5473,0.17503,0.19562
1991,Urban regions,No,0.28906,3525,5473,0.27705,0.30107
1991,Rural regions,Yes,0.15072,923,3006,0.13793,0.16351
1991,Rural regions,No,0.31343,2083,3006,0.29685,0.33002
1992,Urban regions,Yes,0.18751,1956,5223,0.17692,0.19810
1992,Urban regions,No,0.27226,3267,5223,0.26019,0.28433
1992,Rural regions,Yes,0.16141,981,2688,0.14750,0.17532
1992,Rural regions,No,0.27703,1707,2688,0.26011,0.29395
1993,Urban regions,Yes,0.17173,1843,5162,0.16144,0.18202
1993,Urban regions,No,0.28801,3319,5162,0.27566,0.30036
1993,Rural regions,Yes,0.15677,973,2598,0.14279,0.17076
1993,Rural regions,No,0.27008,1625,2598,0.25301,0.28716
1994,Urban regions,Yes,0.17790,1879,4934,0.16723,0.18857
1994,Urban regions,No,0.26933,3055,4934,0.25695,0.28171
1994,Rural regions,Yes,0.16107,1002,2535,0.14676,0.17539
1994,Rural regions,No,0.25866,1533,2535,0.24161,0.27571
1995,Urban regions,Yes,0.19351,2118,5080,0.18264,0.20437
1995,Urban regions,No,0.24815,2962,5080,0.23627,0.26003
1995,Rural regions,Yes,0.16381,1064,2684,0.14981,0.17782
1995,Rural regions,No,0.26366,1620,2684,0.24698,0.28033
1996,Urban regions,Yes,0.18878,2064,4950,0.17788,0.19968
1996,Urban regions,No,0.24953,2886,4950,0.23747,0.26158
1996,Rural regions,Yes,0.17095,1053,2615,0.15652,0.18539
1996,Rural regions,No,0.25415,1562,2615,0.23746,0.27084
1997,Urban regions,Yes,0.19527,2051,2912,0.18087,0.20967
1997,Urban regions,No,0.07670,861,2912,0.06703,0.08637
1997,Rural regions,Yes,0.17692,1076,1640,0.15845,0.19540
1997,Rural regions,No,0.08763,564,1640,0.07394,0.10132
1998,Urban regions,Yes,0.19350,2288,3166,0.17973,0.20726
1998,Urban regions,No,0.07264,878,3166,0.06360,0.08168
1998,Rural regions,Yes,0.17863,1213,1836,0.16111,0.19616
1998,Rural regions,No,0.08788,623,1836,0.07493,0.10084
1999,Urban regions,Yes,0.19652,2284,3116,0.18257,0.21048
1999,Urban regions,No,0.07281,832,3116,0.06368,0.08193
1999,Rural regions,Yes,0.18465,1209,1784,0.16664,0.20266
1999,Rural regions,No,0.08426,575,1784,0.07137,0.09716
2000,Urban regions,Yes,0.18609,3693,5271,0.17558,0.19660
2000,Urban regions,No,0.08307,1578,5271,0.07562,0.09052
2000,Rural regions,Yes,0.17571,1925,2858,0.16175,0.18966
2000,Rural regions,No,0.08674,933,2858,0.07642,0.09706
2001,Urban regions,Yes,0.19276,3500,3500,0.17969,0.20583
2001,Rural regions,Yes,0.18370,1791,1791,0.16576,0.20164
2002,Urban regions,Yes,0.18277,3790,5248,0.17232,0.19323
2002,Urban regions,No,0.07620,1458,5248,0.06902,0.08338
2002,Rural regions,Yes,0.17234,1806,2681,0.15804,0.18664
2002,Rural regions,No,0.08821,875,2681,0.07747,0.09895
2003,Urban regions,Yes,0.18352,3578,4996,0.17278,0.19425
2003,Urban regions,No,0.07447,1418,4996,0.06719,0.08175
2003,Rural regions,Yes,0.17812,1721,2560,0.16330,0.19294
