year,age_gr,sampreg,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,17-29 y.,West,Yes,0.21194,559,1887,0.19349,0.23038
1986,17-29 y.,West,No,0.42754,1328,1887,0.40522,0.44987
1986,30-45 y.,West,Yes,0.26304,758,2348,0.24523,0.28085
1986,30-45 y.,West,No,0.46701,1590,2348,0.44682,0.48719
1986,46-65 y.,West,Yes,0.16323,530,1887,0.14655,0.17991
1986,46-65 y.,West,No,0.37921,1357,1887,0.35732,0.40111
1988,17-29 y.,West,Yes,0.22397,574,1784,0.20462,0.24332
1988,17-29 y.,West,No,0.41558,1210,1784,0.39270,0.43846
1988,30-45 y.,West,Yes,0.27359,727,2182,0.25488,0.29230
1988,30-45 y.,West,No,0.48070,1455,2182,0.45973,0.50167
1988,46-65 y.,West,Yes,0.17808,529,1843,0.16061,0.19556
1988,46-65 y.,West,No,0.39269,1314,1843,0.37039,0.41499
1988,66 and older,West,No,0.02598,31,31,-0.03094,0.08291
1989,17-29 y.,West,Yes,0.24912,615,1801,0.22914,0.26910
1989,17-29 y.,West,No,0.40384,1186,1801,0.38117,0.42651
1989,30-45 y.,West,Yes,0.29811,764,2148,0.27876,0.31746
1989,30-45 y.,West,No,0.47415,1384,2148,0.45303,0.49528
1989,46-65 y.,West,Yes,0.18208,528,1765,0.16407,0.20009
1989,46-65 y.,West,No,0.38293,1237,1765,0.36025,0.40562
1989,66 and older,West,No,0.02623,32,32,-0.03003,0.08250
1990,17-29 y.,West,Yes,0.24891,602,1736,0.22857,0.26926
1990,17-29 y.,West,No,0.40386,1134,1736,0.38078,0.42695
1990,17-29 y.,East,Yes,0.22140,251,865,0.19372,0.24909
1990,17-29 y.,East,No,0.53558,614,865,0.50233,0.56884
1990,30-45 y.,West,Yes,0.31207,788,2167,0.29256,0.33159
1990,30-45 y.,West,No,0.47764,1379,2167,0.45660,0.49867
1990,30-45 y.,East,Yes,0.33693,509,1411,0.31226,0.36160
1990,30-45 y.,East,No,0.59786,902,1411,0.57227,0.62346
1990,46-65 y.,West,Yes,0.20579,560,1719,0.18668,0.22491
1990,46-65 y.,West,No,0.37082,1159,1719,0.34798,0.39366
1990,46-65 y.,East,Yes,0.22092,315,1058,0.19591,0.24593
1990,46-65 y.,East,No,0.54493,743,1058,0.51491,0.57495
1991,17-29 y.,West,Yes,0.27798,665,1779,0.25716,0.29880
1991,17-29 y.,West,No,0.39241,1114,1779,0.36971,0.41510
1991,17-29 y.,East,Yes,0.18595,180,674,0.15656,0.21535
1991,17-29 y.,East,No,0.49874,494,674,0.46097,0.53652
1991,30-45 y.,West,Yes,0.33395,853,2220,0.31433,0.35357
1991,30-45 y.,West,No,0.45778,1367,2220,0.43705,0.47851
1991,30-45 y.,East,Yes,0.28686,435,1295,0.26222,0.31151
1991,30-45 y.,East,No,0.57961,860,1295,0.55271,0.60650
1991,46-65 y.,West,Yes,0.21188,567,1733,0.19263,0.23112
1991,46-65 y.,West,No,0.38292,1166,1733,0.36002,0.40581
1991,46-65 y.,East,Yes,0.13840,193,803,0.11450,0.16230
1991,46-65 y.,East,No,0.47305,610,803,0.43850,0.50761
1992,17-29 y.,West,Yes,0.28404,657,1721,0.26273,0.30535
1992,17-29 y.,West,No,0.36755,1064,1721,0.34477,0.39034
1992,17-29 y.,East,Yes,0.27506,228,574,0.23849,0.31162
1992,17-29 y.,East,No,0.36791,346,574,0.32842,0.40739
1992,30-45 y.,West,Yes,0.33023,841,2197,0.31056,0.34990
1992,30-45 y.,West,No,0.46007,1356,2197,0.43922,0.48091
1992,30-45 y.,East,Yes,0.34150,490,1158,0.31418,0.36883
1992,30-45 y.,East,No,0.45317,668,1158,0.42449,0.48186
1992,46-65 y.,West,Yes,0.19725,515,1665,0.17813,0.21637
1992,46-65 y.,West,No,0.38793,1150,1665,0.36452,0.41135
1992,46-65 y.,East,Yes,0.17917,236,652,0.14971,0.20863
1992,46-65 y.,East,No,0.31923,416,652,0.28342,0.35504
1993,17-29 y.,West,Yes,0.25238,605,1664,0.23150,0.27326
1993,17-29 y.,West,No,0.38619,1059,1664,0.36279,0.40959
1993,17-29 y.,East,Yes,0.27561,221,548,0.23816,0.31306
1993,17-29 y.,East,No,0.37115,327,548,0.33066,0.41163
1993,30-45 y.,West,Yes,0.29476,764,2204,0.27572,0.31380
1993,30-45 y.,West,No,0.49883,1440,2204,0.47795,0.51971
1993,30-45 y.,East,Yes,0.35881,500,1109,0.33057,0.38706
1993,30-45 y.,East,No,0.43378,609,1109,0.40459,0.46296
1993,46-65 y.,West,Yes,0.18745,482,1647,0.16859,0.20630
1993,46-65 y.,West,No,0.40368,1165,1647,0.37998,0.42739
1993,46-65 y.,East,Yes,0.17808,244,562,0.14643,0.20974
1993,46-65 y.,East,No,0.24875,318,562,0.21298,0.28452
1994,17-29 y.,West,Yes,0.25404,592,1537,0.23227,0.27581
1994,17-29 y.,West,No,0.35827,945,1537,0.33429,0.38224
1994,17-29 y.,East,Yes,0.28374,226,520,0.24496,0.32253
1994,17-29 y.,East,No,0.34063,294,520,0.29986,0.38140
1994,30-45 y.,West,Yes,0.31371,807,2148,0.29408,0.33333
1994,30-45 y.,West,No,0.46857,1341,2148,0.44746,0.48968
1994,30-45 y.,East,Yes,0.37573,512,1082,0.34686,0.40461
1994,30-45 y.,East,No,0.41982,570,1082,0.39040,0.44925
1994,46-65 y.,West,Yes,0.18785,468,1569,0.16852,0.20719
1994,46-65 y.,West,No,0.38604,1101,1569,0.36194,0.41014
1994,46-65 y.,East,Yes,0.20740,276,588,0.17460,0.24019
1994,46-65 y.,East,No,0.24659,312,588,0.21173,0.28146
1995,17-29 y.,West,Yes,0.26683,644,1532,0.24467,0.28898
1995,17-29 y.,West,No,0.33678,888,1532,0.31310,0.36045
1995,17-29 y.,East,Yes,0.26904,219,519,0.23085,0.30723
1995,17-29 y.,East,No,0.37576,300,519,0.33406,0.41747
1995,30-45 y.,West,Yes,0.34643,1008,2397,0.32738,0.36549
1995,30-45 y.,West,No,0.42359,1389,2397,0.40380,0.44337
1995,30-45 y.,East,Yes,0.40765,522,1055,0.37798,0.43731
1995,30-45 y.,East,No,0.41177,533,1055,0.38206,0.44148
1995,46-65 y.,West,Yes,0.20174,524,1614,0.18216,0.22132
1995,46-65 y.,West,No,0.36422,1090,1614,0.34073,0.38770
1995,46-65 y.,East,Yes,0.20160,265,616,0.16989,0.23331
1995,46-65 y.,East,No,0.27964,351,616,0.24417,0.31511
1996,17-29 y.,West,Yes,0.26145,587,1407,0.23848,0.28442
1996,17-29 y.,West,No,0.33762,820,1407,0.31290,0.36234
1996,17-29 y.,East,Yes,0.23711,201,500,0.19979,0.27442
1996,17-29 y.,East,No,0.35967,299,500,0.31756,0.40178
1996,30-45 y.,West,Yes,0.35470,1044,2438,0.33570,0.37369
1996,30-45 y.,West,No,0.42638,1394,2438,0.40675,0.44602
1996,30-45 y.,East,Yes,0.39020,494,1019,0.36024,0.42017
1996,30-45 y.,East,No,0.41080,525,1019,0.38058,0.44102
1996,46-65 y.,West,Yes,0.20276,527,1565,0.18284,0.22269
1996,46-65 y.,West,No,0.35712,1038,1565,0.33337,0.38087
1996,46-65 y.,East,Yes,0.20330,262,598,0.17102,0.23559
1996,46-65 y.,East,No,0.26449,336,598,0.22911,0.29987
1996,66 and older,West,No,0.02672,34,34,-0.02830,0.08175
1997,17-29 y.,West,Yes,0.26383,551,835,0.23392,0.29374
1997,17-29 y.,West,No,0.12925,284,835,0.10648,0.15201
1997,17-29 y.,East,Yes,0.26146,202,311,0.21255,0.31038
1997,17-29 y.,East,No,0.11557,109,311,0.07998,0.15116
1997,30-45 y.,West,Yes,0.36178,1061,1518,0.33760,0.38596
1997,30-45 y.,West,No,0.14154,457,1518,0.12399,0.15908
1997,30-45 y.,East,Yes,0.39616,474,678,0.35931,0.43300
1997,30-45 y.,East,No,0.18154,204,678,0.15250,0.21057
1997,46-65 y.,West,Yes,0.22043,546,789,0.19149,0.24937
1997,46-65 y.,West,No,0.08726,243,789,0.06755,0.10696
1997,46-65 y.,East,Yes,0.20722,291,419,0.16836,0.24608
1997,46-65 y.,East,No,0.10067,128,419,0.07182,0.12951
1998,17-29 y.,West,Yes,0.25525,583,815,0.22530,0.28520
1998,17-29 y.,West,No,0.10270,232,815,0.08185,0.12356
1998,17-29 y.,East,Yes,0.26056,225,361,0.21522,0.30590
1998,17-29 y.,East,No,0.15253,136,361,0.11539,0.18967
1998,30-45 y.,West,Yes,0.36743,1239,1726,0.34468,0.39018
1998,30-45 y.,West,No,0.13707,487,1726,0.12084,0.15330
1998,30-45 y.,East,Yes,0.40484,517,730,0.36921,0.44048
1998,30-45 y.,East,No,0.17283,213,730,0.14538,0.20028
1998,46-65 y.,West,Yes,0.21167,641,930,0.18540,0.23794
1998,46-65 y.,West,No,0.08895,289,930,0.07064,0.10725
1998,46-65 y.,East,Yes,0.21065,294,436,0.17233,0.24897
1998,46-65 y.,East,No,0.10115,142,436,0.07281,0.12949
1999,17-29 y.,West,Yes,0.26664,578,792,0.23582,0.29746
1999,17-29 y.,West,No,0.09718,214,792,0.07654,0.11782
1999,17-29 y.,East,Yes,0.24664,217,340,0.20075,0.29252
1999,17-29 y.,East,No,0.15560,123,340,0.11701,0.19418
1999,30-45 y.,West,Yes,0.37378,1267,1733,0.35099,0.39657
1999,30-45 y.,West,No,0.13286,466,1733,0.11688,0.14885
1999,30-45 y.,East,Yes,0.40602,519,734,0.37047,0.44157
1999,30-45 y.,East,No,0.18176,215,734,0.15384,0.20968
1999,46-65 y.,West,Yes,0.21844,613,873,0.19101,0.24586
1999,46-65 y.,West,No,0.09154,260,873,0.07240,0.11068
1999,46-65 y.,East,Yes,0.21807,295,421,0.17858,0.25757
1999,46-65 y.,East,No,0.09453,126,421,0.06655,0.12251
2000,17-29 y.,West,Yes,0.25523,819,1162,0.23015,0.28031
2000,17-29 y.,West,No,0.10694,343,1162,0.08916,0.12471
2000,17-29 y.,East,Yes,0.20925,272,422,0.17040,0.24811
2000,17-29 y.,East,No,0.13336,150,422,0.10089,0.16584
2000,30-45 y.,West,Yes,0.36478,2234,3118,0.34788,0.38168
2000,30-45 y.,West,No,0.14854,884,3118,0.13605,0.16102
2000,30-45 y.,East,Yes,0.37442,697,1026,0.34479,0.40405
2000,30-45 y.,East,No,0.17834,329,1026,0.15490,0.20177
2000,46-65 y.,West,Yes,0.20439,1172,1774,0.18562,0.22316
2000,46-65 y.,West,No,0.11038,602,1774,0.09579,0.12497
2000,46-65 y.,East,Yes,0.20248,418,619,0.17080,0.23416
2000,46-65 y.,East,No,0.10230,201,619,0.07841,0.12620
2001,17-29 y.,West,Yes,0.25819,727,727,0.22635,0.29002
2001,17-29 y.,East,Yes,0.22098,257,257,0.17016,0.27181
2001,30-45 y.,West,Yes,0.37698,2078,2078,0.35613,0.39782
2001,30-45 y.,East,Yes,0.39948,655,655,0.36194,0.43702
2001,46-65 y.,West,Yes,0.21542,1138,1138,0.19152,0.23931
2001,46-65 y.,East,Yes,0.22479,431,431,0.18533,0.26424
2002,17-29 y.,West,Yes,0.24351,715,996,0.21684,0.27018
2002,17-29 y.,West,No,0.09585,281,996,0.07756,0.11414
2002,17-29 y.,East,Yes,0.20443,234,377,0.16366,0.24519
2002,17-29 y.,East,No,0.12564,143,377,0.09214,0.15915
2002,30-45 y.,West,Yes,0.36463,2137,2943,0.34723,0.38202
2002,30-45 y.,West,No,0.14461,806,2943,0.13190,0.15732
2002,30-45 y.,East,Yes,0.35342,608,902,0.32220,0.38463
2002,30-45 y.,East,No,0.18797,294,902,0.16246,0.21348
2002,46-65 y.,West,Yes,0.20399,1415,2022,0.18642,0.22156
2002,46-65 y.,West,No,0.10305,607,2022,0.08980,0.11631
2002,46-65 y.,East,Yes,0.21564,481,680,0.18471,0.24658
2002,46-65 y.,East,No,0.10058,199,680,0.07796,0.12321
