year,age_gr,migback,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,17-29 y.,No migration background,Yes,0.67658,563,851,0.64514,0.70803
1997,17-29 y.,No migration background,No,0.32342,288,851,0.29197,0.35486
1997,17-29 y.,Direct migration background,Yes,0.65485,90,145,0.57720,0.73250
1997,17-29 y.,Direct migration background,No,0.34515,55,145,0.26750,0.42280
1997,17-29 y.,Indirect migration background,Yes,0.69179,100,150,0.61765,0.76593
1997,17-29 y.,Indirect migration background,No,0.30821,50,150,0.23407,0.38235
1997,30-45 y.,No migration background,Yes,0.71263,1310,1855,0.69203,0.73323
1997,30-45 y.,No migration background,No,0.28737,545,1855,0.26677,0.30797
1997,30-45 y.,Direct migration background,Yes,0.70477,206,310,0.65391,0.75563
1997,30-45 y.,Direct migration background,No,0.29523,104,310,0.24437,0.34609
1997,46-65 y.,No migration background,Yes,0.71460,691,980,0.68631,0.74289
1997,46-65 y.,No migration background,No,0.28540,289,980,0.25711,0.31369
1997,46-65 y.,Direct migration background,Yes,0.66258,141,222,0.60024,0.72492
1997,46-65 y.,Direct migration background,No,0.33742,81,222,0.27508,0.39976
1998,17-29 y.,No migration background,Yes,0.69958,637,927,0.67006,0.72911
1998,17-29 y.,No migration background,No,0.30042,290,927,0.27089,0.32994
1998,17-29 y.,Direct migration background,Yes,0.67897,82,119,0.59473,0.76321
1998,17-29 y.,Direct migration background,No,0.32103,37,119,0.23679,0.40527
1998,17-29 y.,Indirect migration background,Yes,0.65589,89,130,0.57391,0.73788
1998,17-29 y.,Indirect migration background,No,0.34411,41,130,0.26212,0.42609
1998,30-45 y.,No migration background,Yes,0.72504,1529,2125,0.70605,0.74402
1998,30-45 y.,No migration background,No,0.27496,596,2125,0.25598,0.29395
1998,30-45 y.,Direct migration background,Yes,0.67961,192,290,0.62581,0.73340
1998,30-45 y.,Direct migration background,No,0.32039,98,290,0.26660,0.37419
1998,30-45 y.,Indirect migration background,Yes,0.94421,35,35,0.86705,1.02136
1998,46-65 y.,No migration background,Yes,0.69776,789,1151,0.67122,0.72430
1998,46-65 y.,No migration background,No,0.30224,362,1151,0.27570,0.32878
1998,46-65 y.,Direct migration background,Yes,0.68765,139,208,0.62452,0.75079
1998,46-65 y.,Direct migration background,No,0.31235,69,208,0.24921,0.37548
1999,17-29 y.,No migration background,Yes,0.70138,607,876,0.67106,0.73171
1999,17-29 y.,No migration background,No,0.29862,269,876,0.26829,0.32894
