year,pgisced97,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,Lower Secondary Level,male,Yes,0.60381,156,288,0.54722,0.66039
1997,Lower Secondary Level,male,No,0.39619,132,288,0.33961,0.45278
1997,Lower Secondary Level,female,Yes,0.67705,132,202,0.61240,0.74169
1997,Lower Secondary Level,female,No,0.32295,70,202,0.25831,0.38760
1997,Upper Secondary Level,male,Yes,0.70738,1016,1480,0.68419,0.73057
1997,Upper Secondary Level,male,No,0.29262,464,1480,0.26943,0.31581
1997,Upper Secondary Level,female,Yes,0.66265,614,942,0.63244,0.69286
1997,Upper Secondary Level,female,No,0.33735,328,942,0.30714,0.36756
1997,Post-secondary Non-tertiary Level,male,Yes,0.74713,93,93,0.65831,0.83595
1997,Post-secondary Non-tertiary Level,female,Yes,0.63771,61,93,0.53949,0.73593
1997,Post-secondary Non-tertiary Level,female,No,0.36229,32,93,0.26407,0.46051
1997,First Stage of Tertiary Education,male,Yes,0.66915,152,231,0.60834,0.72996
1997,First Stage of Tertiary Education,male,No,0.33085,79,231,0.27004,0.39166
1997,First Stage of Tertiary Education,female,Yes,0.76027,99,99,0.67575,0.84480
1997,Second Stage of Tertiary Education,male,Yes,0.80644,447,537,0.77300,0.83989
1997,Second Stage of Tertiary Education,male,No,0.19356,90,537,0.16011,0.22700
1997,Second Stage of Tertiary Education,female,Yes,0.72976,274,378,0.68493,0.77459
1997,Second Stage of Tertiary Education,female,No,0.27024,104,378,0.22541,0.31507
1998,No answer / don't know,male,Yes,0.75197,76,76,0.65423,0.84971
1998,No answer / don't know,female,Yes,0.63525,40,40,0.48417,0.78632
1998,Lower Secondary Level,male,Yes,0.62203,171,291,0.56622,0.67783
1998,Lower Secondary Level,male,No,0.37797,120,291,0.32217,0.43378
1998,Lower Secondary Level,female,Yes,0.52297,114,214,0.45589,0.59005
1998,Lower Secondary Level,female,No,0.47703,100,214,0.40995,0.54411
1998,Upper Secondary Level,male,Yes,0.70498,1117,1616,0.68273,0.72722
1998,Upper Secondary Level,male,No,0.29502,499,1616,0.27278,0.31727
1998,Upper Secondary Level,female,Yes,0.67581,680,1019,0.64706,0.70457
1998,Upper Secondary Level,female,No,0.32419,339,1019,0.29543,0.35294
1998,Post-secondary Non-tertiary Level,male,Yes,0.80836,105,105,0.73272,0.88401
1998,Post-secondary Non-tertiary Level,female,Yes,0.74106,89,89,0.64954,0.83259
1998,First Stage of Tertiary Education,male,Yes,0.73360,185,254,0.67913,0.78808
1998,First Stage of Tertiary Education,male,No,0.26640,69,254,0.21192,0.32087
1998,First Stage of Tertiary Education,female,Yes,0.75938,101,138,0.68781,0.83096
1998,First Stage of Tertiary Education,female,No,0.24062,37,138,0.16904,0.31219
1998,Second Stage of Tertiary Education,male,Yes,0.81099,472,576,0.77898,0.84299
1998,Second Stage of Tertiary Education,male,No,0.18901,104,576,0.15701,0.22102
1998,Second Stage of Tertiary Education,female,Yes,0.74627,316,427,0.70494,0.78759
1998,Second Stage of Tertiary Education,female,No,0.25373,111,427,0.21241,0.29506
1999,No answer / don't know,male,Yes,0.69814,36,36,0.54605,0.85023
1999,Lower Secondary Level,male,Yes,0.63557,180,285,0.57960,0.69155
1999,Lower Secondary Level,male,No,0.36443,105,285,0.30845,0.42040
1999,Lower Secondary Level,female,Yes,0.66499,124,198,0.59908,0.73090
1999,Lower Secondary Level,female,No,0.33501,74,198,0.26910,0.40092
1999,Upper Secondary Level,male,Yes,0.70354,1115,1596,0.68113,0.72595
1999,Upper Secondary Level,male,No,0.29646,481,1596,0.27405,0.31887
1999,Upper Secondary Level,female,Yes,0.66998,706,1054,0.64158,0.69838
1999,Upper Secondary Level,female,No,0.33002,348,1054,0.30162,0.35842
1999,Post-secondary Non-tertiary Level,male,Yes,0.76734,105,105,0.68613,0.84855
1999,Post-secondary Non-tertiary Level,female,Yes,0.81050,95,95,0.73128,0.88973
1999,First Stage of Tertiary Education,male,Yes,0.72621,173,235,0.66907,0.78334
1999,First Stage of Tertiary Education,male,No,0.27379,62,235,0.21666,0.33093
1999,First Stage of Tertiary Education,female,Yes,0.74752,106,146,0.67681,0.81824
1999,First Stage of Tertiary Education,female,No,0.25248,40,146,0.18176,0.32319
1999,Second Stage of Tertiary Education,male,Yes,0.83111,494,592,0.80090,0.86131
1999,Second Stage of Tertiary Education,male,No,0.16889,98,592,0.13869,0.19910
1999,Second Stage of Tertiary Education,female,Yes,0.73745,303,412,0.69491,0.77999
1999,Second Stage of Tertiary Education,female,No,0.26255,109,412,0.22001,0.30509
2000,Lower Secondary Level,male,Yes,0.54644,186,326,0.49232,0.60057
2000,Lower Secondary Level,male,No,0.45356,140,326,0.39943,0.50768
2000,Lower Secondary Level,female,Yes,0.55966,152,263,0.49955,0.61977
2000,Lower Secondary Level,female,No,0.44034,111,263,0.38023,0.50045
2000,Upper Secondary Level,male,Yes,0.66861,1818,2675,0.65077,0.68645
2000,Upper Secondary Level,male,No,0.33139,857,2675,0.31355,0.34923
2000,Upper Secondary Level,female,Yes,0.65281,1107,1692,0.63012,0.67550
2000,Upper Secondary Level,female,No,0.34719,585,1692,0.32450,0.36988
2000,Post-secondary Non-tertiary Level,male,Yes,0.74364,180,249,0.68929,0.79798
2000,Post-secondary Non-tertiary Level,male,No,0.25636,69,249,0.20202,0.31071
2000,Post-secondary Non-tertiary Level,female,Yes,0.70924,167,234,0.65093,0.76755
2000,Post-secondary Non-tertiary Level,female,No,0.29076,67,234,0.23245,0.34907
2000,First Stage of Tertiary Education,male,Yes,0.76626,377,496,0.72898,0.80355
2000,First Stage of Tertiary Education,male,No,0.23374,119,496,0.19645,0.27102
2000,First Stage of Tertiary Education,female,Yes,0.65501,214,323,0.60309,0.70694
2000,First Stage of Tertiary Education,female,No,0.34499,109,323,0.29306,0.39691
2000,Second Stage of Tertiary Education,male,Yes,0.78066,883,1109,0.75630,0.80503
2000,Second Stage of Tertiary Education,male,No,0.21934,226,1109,0.19497,0.24370
2000,Second Stage of Tertiary Education,female,Yes,0.70590,488,693,0.67195,0.73985
2000,Second Stage of Tertiary Education,female,No,0.29410,205,693,0.26015,0.32805
2002,Lower Secondary Level,male,Yes,0.56913,142,245,0.50700,0.63127
2002,Lower Secondary Level,male,No,0.43087,103,245,0.36873,0.49300
2002,Lower Secondary Level,female,Yes,0.54658,131,217,0.48018,0.61297
2002,Lower Secondary Level,female,No,0.45342,86,217,0.38703,0.51982
2002,Upper Secondary Level,male,Yes,0.66387,1527,2283,0.64449,0.68325
2002,Upper Secondary Level,male,No,0.33613,756,2283,0.31675,0.35551
2002,Upper Secondary Level,female,Yes,0.66780,1096,1641,0.64500,0.69059
2002,Upper Secondary Level,female,No,0.33220,545,1641,0.30941,0.35500
2002,Post-secondary Non-tertiary Level,male,Yes,0.71852,170,236,0.66102,0.77602
2002,Post-secondary Non-tertiary Level,male,No,0.28148,66,236,0.22398,0.33898
2002,Post-secondary Non-tertiary Level,female,Yes,0.70249,198,273,0.64816,0.75682
2002,Post-secondary Non-tertiary Level,female,No,0.29751,75,273,0.24318,0.35184
2002,First Stage of Tertiary Education,male,Yes,0.73161,337,459,0.69102,0.77219
2002,First Stage of Tertiary Education,male,No,0.26839,122,459,0.22781,0.30898
2002,First Stage of Tertiary Education,female,Yes,0.70429,209,288,0.65149,0.75709
2002,First Stage of Tertiary Education,female,No,0.29571,79,288,0.24291,0.34851
2002,Second Stage of Tertiary Education,male,Yes,0.80540,1074,1321,0.78405,0.82676
2002,Second Stage of Tertiary Education,male,No,0.19460,247,1321,0.17324,0.21595
