year,pgisced97,quintil_oecd,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Primary Level,1st Quintile,No,0.20977,73,73,0.11572,0.30381
1986,Primary Level,2nd Quintile,No,0.39212,81,81,0.28513,0.49911
1986,Primary Level,3rd Quintile,No,0.46070,84,84,0.35346,0.56793
1986,Primary Level,4th Quintile,No,0.54671,82,82,0.43829,0.65512
1986,Primary Level,5th Quintile,No,0.65126,32,32,0.48350,0.81903
1986,Lower Secondary Level,1st Quintile,Yes,0.04961,53,245,0.02236,0.07685
1986,Lower Secondary Level,1st Quintile,No,0.16466,192,245,0.11813,0.21120
1986,Lower Secondary Level,2nd Quintile,Yes,0.05784,57,312,0.03190,0.08379
1986,Lower Secondary Level,2nd Quintile,No,0.27630,255,312,0.22660,0.32600
1986,Lower Secondary Level,3rd Quintile,Yes,0.12201,90,352,0.08777,0.15625
1986,Lower Secondary Level,3rd Quintile,No,0.35857,262,352,0.30840,0.40874
1986,Lower Secondary Level,4th Quintile,Yes,0.12632,65,308,0.08915,0.16348
1986,Lower Secondary Level,4th Quintile,No,0.38958,243,308,0.33503,0.44413
1986,Lower Secondary Level,5th Quintile,Yes,0.09715,39,190,0.05493,0.13938
1986,Lower Secondary Level,5th Quintile,No,0.42438,151,190,0.35391,0.49484
1986,Upper Secondary Level,1st Quintile,Yes,0.08058,71,323,0.05085,0.11031
1986,Upper Secondary Level,1st Quintile,No,0.23774,252,323,0.19124,0.28424
1986,Upper Secondary Level,2nd Quintile,Yes,0.16589,169,535,0.13434,0.19744
1986,Upper Secondary Level,2nd Quintile,No,0.32334,366,535,0.28367,0.36301
1986,Upper Secondary Level,3rd Quintile,Yes,0.18478,199,631,0.15447,0.21509
1986,Upper Secondary Level,3rd Quintile,No,0.38467,432,631,0.34668,0.42266
1986,Upper Secondary Level,4th Quintile,Yes,0.24745,293,829,0.21806,0.27684
1986,Upper Secondary Level,4th Quintile,No,0.41459,536,829,0.38104,0.44815
1986,Upper Secondary Level,5th Quintile,Yes,0.23849,262,790,0.20875,0.26823
1986,Upper Secondary Level,5th Quintile,No,0.48066,528,790,0.44580,0.51553
1986,Post-secondary Non-tertiary Level,5th Quintile,No,0.39849,33,33,0.22885,0.56812
1986,First Stage of Tertiary Education,3rd Quintile,No,0.39251,46,46,0.24984,0.53519
1986,First Stage of Tertiary Education,4th Quintile,Yes,0.34718,54,107,0.25655,0.43782
1986,First Stage of Tertiary Education,4th Quintile,No,0.33572,53,107,0.24582,0.42562
1986,First Stage of Tertiary Education,5th Quintile,Yes,0.26710,52,139,0.19328,0.34092
1986,First Stage of Tertiary Education,5th Quintile,No,0.46120,87,139,0.37803,0.54438
1986,Second Stage of Tertiary Education,3rd Quintile,No,0.51704,50,50,0.37712,0.65695
1986,Second Stage of Tertiary Education,4th Quintile,Yes,0.33033,54,121,0.24618,0.41449
1986,Second Stage of Tertiary Education,4th Quintile,No,0.35834,67,121,0.27255,0.44414
1986,Second Stage of Tertiary Education,5th Quintile,Yes,0.34451,132,296,0.29028,0.39874
1986,Second Stage of Tertiary Education,5th Quintile,No,0.41438,164,296,0.35816,0.47059
1988,Primary Level,1st Quintile,No,0.26012,63,63,0.15092,0.36932
1988,Primary Level,2nd Quintile,No,0.31648,60,60,0.19780,0.43516
1988,Primary Level,3rd Quintile,No,0.42008,73,73,0.30607,0.53409
1988,Primary Level,4th Quintile,No,0.50451,65,65,0.38201,0.62700
1988,Lower Secondary Level,1st Quintile,Yes,0.04637,54,263,0.02090,0.07183
1988,Lower Secondary Level,1st Quintile,No,0.17898,209,263,0.13256,0.22540
1988,Lower Secondary Level,2nd Quintile,Yes,0.07735,73,302,0.04717,0.10752
1988,Lower Secondary Level,2nd Quintile,No,0.26114,229,302,0.21152,0.31077
1988,Lower Secondary Level,3rd Quintile,Yes,0.12114,80,324,0.08555,0.15672
1988,Lower Secondary Level,3rd Quintile,No,0.36486,244,324,0.31236,0.41736
1988,Lower Secondary Level,4th Quintile,Yes,0.11593,54,282,0.07850,0.15336
1988,Lower Secondary Level,4th Quintile,No,0.41297,228,282,0.35540,0.47054
1988,Lower Secondary Level,5th Quintile,Yes,0.14955,45,185,0.09802,0.20108
1988,Lower Secondary Level,5th Quintile,No,0.44464,140,185,0.37283,0.51644
1988,Upper Secondary Level,1st Quintile,Yes,0.09822,85,305,0.06476,0.13167
1988,Upper Secondary Level,1st Quintile,No,0.24008,220,305,0.19207,0.28810
1988,Upper Secondary Level,2nd Quintile,Yes,0.15741,177,524,0.12620,0.18863
1988,Upper Secondary Level,2nd Quintile,No,0.31198,347,524,0.27227,0.35168
1988,Upper Secondary Level,3rd Quintile,Yes,0.17022,193,631,0.14087,0.19956
1988,Upper Secondary Level,3rd Quintile,No,0.41121,438,631,0.37278,0.44963
1988,Upper Secondary Level,4th Quintile,Yes,0.24796,263,767,0.21737,0.27854
1988,Upper Secondary Level,4th Quintile,No,0.40849,504,767,0.37368,0.44330
1988,Upper Secondary Level,5th Quintile,Yes,0.26892,255,714,0.23638,0.30147
1988,Upper Secondary Level,5th Quintile,No,0.44384,459,714,0.40737,0.48031
1988,First Stage of Tertiary Education,3rd Quintile,No,0.29422,32,32,0.13381,0.45464
1988,First Stage of Tertiary Education,4th Quintile,Yes,0.30393,40,103,0.21467,0.39319
1988,First Stage of Tertiary Education,4th Quintile,No,0.41623,63,103,0.32056,0.51189
1988,First Stage of Tertiary Education,5th Quintile,Yes,0.35202,58,133,0.27054,0.43350
1988,First Stage of Tertiary Education,5th Quintile,No,0.45357,75,133,0.36864,0.53850
1988,Second Stage of Tertiary Education,3rd Quintile,No,0.46058,44,44,0.31160,0.60957
1988,Second Stage of Tertiary Education,4th Quintile,Yes,0.31405,48,117,0.22959,0.39852
1988,Second Stage of Tertiary Education,4th Quintile,No,0.43880,69,117,0.34849,0.52911
1988,Second Stage of Tertiary Education,5th Quintile,Yes,0.34882,135,301,0.29489,0.40275
1988,Second Stage of Tertiary Education,5th Quintile,No,0.45394,166,301,0.39760,0.51028
1989,Primary Level,1st Quintile,No,0.23221,56,56,0.12062,0.34380
1989,Primary Level,2nd Quintile,No,0.31990,60,60,0.20088,0.43892
1989,Primary Level,3rd Quintile,No,0.51399,64,64,0.39057,0.63741
1989,Primary Level,4th Quintile,No,0.44367,48,48,0.30163,0.58571
1989,Lower Secondary Level,1st Quintile,Yes,0.04700,51,264,0.02142,0.07258
1989,Lower Secondary Level,1st Quintile,No,0.19494,213,264,0.14706,0.24282
1989,Lower Secondary Level,2nd Quintile,Yes,0.07713,68,323,0.04798,0.10627
1989,Lower Secondary Level,2nd Quintile,No,0.29519,255,323,0.24537,0.34501
1989,Lower Secondary Level,3rd Quintile,Yes,0.13924,75,275,0.09824,0.18023
1989,Lower Secondary Level,3rd Quintile,No,0.30640,200,275,0.25182,0.36099
1989,Lower Secondary Level,4th Quintile,Yes,0.14409,70,279,0.10281,0.18537
1989,Lower Secondary Level,4th Quintile,No,0.40455,209,279,0.34685,0.46224
1989,Lower Secondary Level,5th Quintile,Yes,0.17182,43,179,0.11640,0.22724
1989,Lower Secondary Level,5th Quintile,No,0.42974,136,179,0.35701,0.50246
1989,Upper Secondary Level,1st Quintile,Yes,0.10446,93,303,0.06996,0.13895
1989,Upper Secondary Level,1st Quintile,No,0.21346,210,303,0.16725,0.25968
1989,Upper Secondary Level,2nd Quintile,Yes,0.16927,174,538,0.13756,0.20099
1989,Upper Secondary Level,2nd Quintile,No,0.35572,364,538,0.31523,0.39621
1989,Upper Secondary Level,3rd Quintile,Yes,0.21511,235,641,0.18328,0.24695
1989,Upper Secondary Level,3rd Quintile,No,0.39748,406,641,0.35957,0.43540
1989,Upper Secondary Level,4th Quintile,Yes,0.26854,293,774,0.23729,0.29978
1989,Upper Secondary Level,4th Quintile,No,0.39053,481,774,0.35613,0.42492
1989,Upper Secondary Level,5th Quintile,Yes,0.27431,245,663,0.24033,0.30830
1989,Upper Secondary Level,5th Quintile,No,0.43756,418,663,0.39977,0.47535
1989,Post-secondary Non-tertiary Level,5th Quintile,No,0.37396,33,33,0.20631,0.54161
1989,First Stage of Tertiary Education,3rd Quintile,Yes,0.31107,34,73,0.20414,0.41800
1989,First Stage of Tertiary Education,3rd Quintile,No,0.33004,39,73,0.22142,0.43865
1989,First Stage of Tertiary Education,4th Quintile,Yes,0.30246,36,86,0.20481,0.40011
1989,First Stage of Tertiary Education,4th Quintile,No,0.36625,50,86,0.26383,0.46867
1989,First Stage of Tertiary Education,5th Quintile,Yes,0.29155,49,132,0.21373,0.36938
1989,First Stage of Tertiary Education,5th Quintile,No,0.51873,83,132,0.43317,0.60429
1989,Second Stage of Tertiary Education,3rd Quintile,No,0.36175,40,40,0.21094,0.51256
