year,migback,sampreg,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,No migration background,West,Yes,0.71300,1629,2318,0.69458,0.73142
1997,No migration background,West,No,0.28700,689,2318,0.26858,0.30542
1997,No migration background,East,Yes,0.68102,936,1369,0.65632,0.70572
1997,No migration background,East,No,0.31898,433,1369,0.29428,0.34368
1997,Direct migration background,West,Yes,0.67561,413,646,0.63948,0.71174
1997,Direct migration background,West,No,0.32439,233,646,0.28826,0.36052
1997,Indirect migration background,West,Yes,0.70376,117,179,0.63669,0.77084
1997,Indirect migration background,West,No,0.29624,62,179,0.22916,0.36331
1998,No migration background,West,Yes,0.72379,1949,2712,0.70696,0.74062
1998,No migration background,West,No,0.27621,763,2712,0.25938,0.29304
1998,No migration background,East,Yes,0.67117,1008,1495,0.64734,0.69499
1998,No migration background,East,No,0.32883,487,1495,0.30501,0.35266
1998,Direct migration background,West,Yes,0.66991,389,590,0.63193,0.70788
1998,Direct migration background,West,No,0.33009,201,590,0.29212,0.36807
1998,Indirect migration background,West,Yes,0.74500,127,173,0.67986,0.81014
1998,Indirect migration background,West,No,0.25500,46,173,0.18986,0.32014
1999,No migration background,West,Yes,0.72585,1947,2676,0.70895,0.74276
1999,No migration background,West,No,0.27415,729,2676,0.25724,0.29105
1999,No migration background,East,Yes,0.67696,1013,1465,0.65301,0.70092
1999,No migration background,East,No,0.32304,452,1465,0.29908,0.34699
1999,Direct migration background,West,Yes,0.74350,377,535,0.70646,0.78054
1999,Direct migration background,West,No,0.25650,158,535,0.21946,0.29354
1999,Indirect migration background,West,Yes,0.67875,138,193,0.61269,0.74480
1999,Indirect migration background,West,No,0.32125,55,193,0.25520,0.38731
2000,No migration background,West,Yes,0.69695,3523,4972,0.68417,0.70972
2000,No migration background,West,No,0.30305,1449,4972,0.29028,0.31583
2000,No migration background,East,Yes,0.65931,1364,2035,0.63871,0.67991
2000,No migration background,East,No,0.34069,671,2035,0.32009,0.36129
2000,Direct migration background,West,Yes,0.63060,528,842,0.59798,0.66322
2000,Direct migration background,West,No,0.36940,314,842,0.33678,0.40202
2000,Indirect migration background,West,Yes,0.74372,179,247,0.68916,0.79827
2000,Indirect migration background,West,No,0.25628,68,247,0.20173,0.31084
2002,No migration background,West,Yes,0.70982,3644,5030,0.69728,0.72237
2002,No migration background,West,No,0.29018,1386,5030,0.27763,0.30272
2002,No migration background,East,Yes,0.66034,1312,1935,0.63923,0.68145
2002,No migration background,East,No,0.33966,623,1935,0.31855,0.36077
2002,Direct migration background,West,Yes,0.62966,455,694,0.59371,0.66561
2002,Direct migration background,West,No,0.37034,239,694,0.33439,0.40629
2002,Indirect migration background,West,Yes,0.68809,173,244,0.62984,0.74634
2002,Indirect migration background,West,No,0.31191,71,244,0.25366,0.37016
2003,No migration background,West,Yes,0.70948,3457,4820,0.69666,0.72230
2003,No migration background,West,No,0.29052,1363,4820,0.27770,0.30334
2003,No migration background,East,Yes,0.67265,1258,1832,0.65115,0.69414
2003,No migration background,East,No,0.32735,574,1832,0.30586,0.34885
2003,Direct migration background,West,Yes,0.65760,404,630,0.62052,0.69469
2003,Direct migration background,West,No,0.34240,226,630,0.30531,0.37948
2003,Indirect migration background,West,Yes,0.68046,164,248,0.62231,0.73861
2003,Indirect migration background,West,No,0.31954,84,248,0.26139,0.37769
2004,No migration background,West,Yes,0.71114,3351,4642,0.69810,0.72418
2004,No migration background,West,No,0.28886,1291,4642,0.27582,0.30190
2004,No migration background,East,Yes,0.68346,1239,1785,0.66188,0.70505
2004,No migration background,East,No,0.31654,546,1785,0.29495,0.33812
2004,Direct migration background,West,Yes,0.65588,395,596,0.61770,0.69405
2004,Direct migration background,West,No,0.34412,201,596,0.30595,0.38230
2004,Indirect migration background,West,Yes,0.73873,171,236,0.68256,0.79490
2004,Indirect migration background,West,No,0.26127,65,236,0.20510,0.31744
2005,No migration background,West,Yes,0.71471,3092,4265,0.70116,0.72827
2005,No migration background,West,No,0.28529,1173,4265,0.27173,0.29884
2005,No migration background,East,Yes,0.67025,1135,1664,0.64766,0.69285
2005,No migration background,East,No,0.32975,529,1664,0.30715,0.35234
2005,Direct migration background,West,Yes,0.64068,376,554,0.60068,0.68067
2005,Direct migration background,West,No,0.35932,178,554,0.31933,0.39932
2005,Indirect migration background,West,Yes,0.76819,180,241,0.71480,0.82157
2005,Indirect migration background,West,No,0.23181,61,241,0.17843,0.28520
2006,No migration background,West,Yes,0.73005,3520,4763,0.71744,0.74266
2006,No migration background,West,No,0.26995,1243,4763,0.25734,0.28256
2006,No migration background,East,Yes,0.69603,1271,1791,0.67472,0.71734
2006,No migration background,East,No,0.30397,520,1791,0.28266,0.32528
2006,Direct migration background,West,Yes,0.69492,423,603,0.65814,0.73170
2006,Direct migration background,West,No,0.30508,180,603,0.26830,0.34186
2006,Indirect migration background,West,Yes,0.75695,215,269,0.70559,0.80830
2006,Indirect migration background,West,No,0.24305,54,269,0.19170,0.29441
2007,No migration background,West,Yes,0.75651,3321,4390,0.74382,0.76921
2007,No migration background,West,No,0.24349,1069,4390,0.23079,0.25618
2007,No migration background,East,Yes,0.68616,1227,1749,0.66441,0.70792
2007,No migration background,East,No,0.31384,522,1749,0.29208,0.33559
2007,Direct migration background,West,Yes,0.75714,376,505,0.71971,0.79458
2007,Direct migration background,West,No,0.24286,129,505,0.20542,0.28029
2007,Indirect migration background,West,Yes,0.74665,207,269,0.69458,0.79872
2007,Indirect migration background,West,No,0.25335,62,269,0.20128,0.30542
2008,No migration background,West,Yes,0.73289,3195,4332,0.71971,0.74607
2008,No migration background,West,No,0.26711,1137,4332,0.25393,0.28029
2008,No migration background,East,Yes,0.67514,1195,1709,0.65293,0.69735
2008,No migration background,East,No,0.32486,514,1709,0.30265,0.34707
2008,Direct migration background,West,Yes,0.73697,368,498,0.69826,0.77567
2008,Direct migration background,West,No,0.26303,130,498,0.22433,0.30174
2008,Indirect migration background,West,Yes,0.77189,187,257,0.72049,0.82329
2008,Indirect migration background,West,No,0.22811,70,257,0.17671,0.27951
2009,No migration background,West,Yes,0.72729,2768,3832,0.71318,0.74139
2009,No migration background,West,No,0.27271,1064,3832,0.25861,0.28682
2009,No migration background,East,Yes,0.67167,1073,1550,0.64828,0.69505
2009,No migration background,East,No,0.32833,477,1550,0.30495,0.35172
2009,Direct migration background,West,Yes,0.65883,251,385,0.61141,0.70625
2009,Direct migration background,West,No,0.34117,134,385,0.29375,0.38859
2009,Indirect migration background,West,Yes,0.69799,177,250,0.64097,0.75502
2009,Indirect migration background,West,No,0.30201,73,250,0.24498,0.35903
2010,No migration background,West,Yes,0.68620,3704,5331,0.67374,0.69866
2010,No migration background,West,No,0.31380,1627,5331,0.30134,0.32626
2010,No migration background,East,Yes,0.65089,1277,1886,0.62937,0.67240
2010,No migration background,East,No,0.34911,609,1886,0.32760,0.37063
2010,Direct migration background,West,Yes,0.69906,528,756,0.66634,0.73177
2010,Direct migration background,West,No,0.30094,228,756,0.26823,0.33366
2010,Indirect migration background,West,Yes,0.69480,240,347,0.64627,0.74332
2010,Indirect migration background,West,No,0.30520,107,347,0.25668,0.35373
2011,No migration background,West,Yes,0.74849,4874,6489,0.73793,0.75904
2011,No migration background,West,No,0.25151,1615,6489,0.24096,0.26207
2011,No migration background,East,Yes,0.69977,1553,2212,0.68066,0.71887
2011,No migration background,East,No,0.30023,659,2212,0.28113,0.31934
2011,Direct migration background,West,Yes,0.75526,703,937,0.72772,0.78281
2011,Direct migration background,West,No,0.24474,234,937,0.21719,0.27228
2011,Indirect migration background,West,Yes,0.76616,323,425,0.72587,0.80645
2011,Indirect migration background,West,No,0.23384,102,425,0.19355,0.27413
2012,No migration background,West,Yes,0.73061,4847,6649,0.71994,0.74127
2012,No migration background,West,No,0.26939,1802,6649,0.25873,0.28006
2012,No migration background,East,Yes,0.67605,1529,2202,0.65650,0.69560
2012,No migration background,East,No,0.32395,673,2202,0.30440,0.34350
2012,Direct migration background,West,Yes,0.67818,672,981,0.64893,0.70743
2012,Direct migration background,West,No,0.32182,309,981,0.29257,0.35107
2012,Indirect migration background,West,Yes,0.78026,331,453,0.74208,0.81843
2012,Indirect migration background,West,No,0.21974,122,453,0.18157,0.25792
2013,No migration background,West,Yes,0.73232,4532,6152,0.72125,0.74338
2013,No migration background,West,No,0.26768,1620,6152,0.25662,0.27875
2013,No migration background,East,Yes,0.70102,1431,2012,0.68101,0.72103
2013,No migration background,East,No,0.29898,581,2012,0.27897,0.31899
2013,Direct migration background,West,Yes,0.69803,1386,1976,0.67778,0.71827
2013,Direct migration background,West,No,0.30197,590,1976,0.28173,0.32222
2013,Direct migration background,East,Yes,0.69449,75,113,0.60918,0.77980
2013,Direct migration background,East,No,0.30551,38,113,0.22020,0.39082
2013,Indirect migration background,West,Yes,0.77183,519,696,0.74063,0.80303
2013,Indirect migration background,West,No,0.22817,177,696,0.19697,0.25937
2014,No migration background,West,Yes,0.73714,4211,5784,0.72579,0.74848
2014,No migration background,West,No,0.26286,1573,5784,0.25152,0.27421
2014,No migration background,East,Yes,0.68916,1316,1856,0.66810,0.71022
2014,No migration background,East,No,0.31084,540,1856,0.28978,0.33190
2014,Direct migration background,West,Yes,0.71815,1098,1584,0.69598,0.74031
2014,Direct migration background,West,No,0.28185,486,1584,0.25969,0.30402
2014,Direct migration background,East,Yes,0.84534,75,75,0.76296,0.92773
2014,Indirect migration background,West,Yes,0.76864,449,605,0.73501,0.80227
2014,Indirect migration background,West,No,0.23136,156,605,0.19773,0.26499
2015,No migration background,West,Yes,0.77454,4218,5379,0.76337,0.78571
2015,No migration background,West,No,0.22546,1161,5379,0.21429,0.23663
2015,No migration background,East,Yes,0.72208,1276,1715,0.70087,0.74329
2015,No migration background,East,No,0.27792,439,1715,0.25671,0.29913
2015,Direct migration background,West,Yes,0.75494,1256,1716,0.73458,0.77529
2015,Direct migration background,West,No,0.24506,460,1716,0.22471,0.26542
2015,Direct migration background,East,Yes,0.80451,82,82,0.71815,0.89088
2015,Indirect migration background,West,Yes,0.75928,399,541,0.72322,0.79534
2015,Indirect migration background,West,No,0.24072,142,541,0.20466,0.27678
2016,No migration background,West,Yes,0.77360,4024,5188,0.76221,0.78499
2016,No migration background,West,No,0.22640,1164,5188,0.21501,0.23779
2016,No migration background,East,Yes,0.72784,1237,1671,0.70649,0.74918
2016,No migration background,East,No,0.27216,434,1671,0.25082,0.29351
2016,Direct migration background,West,Yes,0.75381,1123,1512,0.73209,0.77554
2016,Direct migration background,West,No,0.24619,389,1512,0.22446,0.26791
2016,Direct migration background,East,Yes,0.65306,80,80,0.54809,0.75802
2016,Indirect migration background,West,Yes,0.76805,383,506,0.73124,0.80487
2016,Indirect migration background,West,No,0.23195,123,506,0.19513,0.26876
2017,No migration background,West,Yes,0.76632,4464,5777,0.75540,0.77723
2017,No migration background,West,No,0.23368,1313,5777,0.22277,0.24460
2017,No migration background,East,Yes,0.75492,1340,1821,0.73515,0.77468
2017,No migration background,East,No,0.24508,481,1821,0.22532,0.26485
2017,Direct migration background,West,Yes,0.75248,1083,1461,0.73034,0.77462
2017,Direct migration background,West,No,0.24752,378,1461,0.22538,0.26966
2017,Direct migration background,East,Yes,0.74642,73,119,0.66792,0.82492
2017,Direct migration background,East,No,0.25358,46,119,0.17508,0.33208
2017,Indirect migration background,West,Yes,0.75547,401,523,0.71860,0.79234
2017,Indirect migration background,West,No,0.24453,122,523,0.20766,0.28140
2018,No migration background,West,Yes,0.75854,4409,5874,0.74759,0.76948
2018,No migration background,West,No,0.24146,1465,5874,0.23052,0.25241
2018,No migration background,East,Yes,0.71628,1302,1861,0.69579,0.73677
2018,No migration background,East,No,0.28372,559,1861,0.26323,0.30421
2018,Direct migration background,West,Yes,0.74135,1188,1661,0.72028,0.76241
2018,Direct migration background,West,No,0.25865,473,1661,0.23759,0.27972
2018,Direct migration background,East,Yes,0.75706,98,147,0.68750,0.82663
2018,Direct migration background,East,No,0.24294,49,147,0.17337,0.31250
2018,Indirect migration background,West,Yes,0.81359,438,568,0.78154,0.84565
2018,Indirect migration background,West,No,0.18641,130,568,0.15435,0.21846
2019,No migration background,West,Yes,0.78150,4123,5355,0.77043,0.79256
2019,No migration background,West,No,0.21850,1232,5355,0.20744,0.22957
2019,No migration background,East,Yes,0.73197,1314,1745,0.71119,0.75276
2019,No migration background,East,No,0.26803,431,1745,0.24724,0.28881
2019,Direct migration background,West,Yes,0.76735,1052,1427,0.74542,0.78928
2019,Direct migration background,West,No,0.23265,375,1427,0.21072,0.25458
2019,Direct migration background,East,Yes,0.72882,72,104,0.64296,0.81468
2019,Direct migration background,East,No,0.27118,32,104,0.18532,0.35704
2019,Indirect migration background,West,Yes,0.75421,381,513,0.71691,0.79150
2019,Indirect migration background,West,No,0.24579,132,513,0.20850,0.28309
2020,No migration background,West,Yes,0.67458,3684,5549,0.66225,0.68691
2020,No migration background,West,No,0.32542,1865,5549,0.31309,0.33775
2020,No migration background,East,Yes,0.65380,1132,1767,0.63161,0.67599
2020,No migration background,East,No,0.34620,635,1767,0.32401,0.36839
2020,Direct migration background,West,Yes,0.58911,1220,2082,0.56797,0.61025
2020,Direct migration background,West,No,0.41089,862,2082,0.38975,0.43203
2020,Direct migration background,East,Yes,0.57409,117,197,0.50487,0.64332
2020,Direct migration background,East,No,0.42591,80,197,0.35668,0.49513
2020,Indirect migration background,West,Yes,0.61344,346,565,0.57325,0.65363
2020,Indirect migration background,West,No,0.38656,219,565,0.34637,0.42675
2021,No migration background,West,Yes,0.75384,2939,3975,0.74045,0.76723
2021,No migration background,West,No,0.24616,1036,3975,0.23277,0.25955
2021,No migration background,East,Yes,0.69590,885,1228,0.67016,0.72164
2021,No migration background,East,No,0.30410,343,1228,0.27836,0.32984
2021,Direct migration background,West,Yes,0.71474,966,1394,0.69103,0.73846
2021,Direct migration background,West,No,0.28526,428,1394,0.26154,0.30897
2021,Direct migration background,East,Yes,0.70792,103,142,0.63287,0.78298
2021,Direct migration background,East,No,0.29208,39,142,0.21702,0.36713
2021,Indirect migration background,West,Yes,0.76637,256,340,0.72132,0.81141
2021,Indirect migration background,West,No,0.23363,84,340,0.18859,0.27868
2022,No migration background,West,Yes,0.73911,4703,6376,0.72833,0.74989
2022,No migration background,West,No,0.26089,1673,6376,0.25011,0.27167
2022,No migration background,East,Yes,0.71522,1409,1993,0.69540,0.73504
2022,No migration background,East,No,0.28478,584,1993,0.26496,0.30460
2022,Direct migration background,West,Yes,0.67018,1965,2884,0.65302,0.68734
2022,Direct migration background,West,No,0.32982,919,2884,0.31266,0.34698
2022,Direct migration background,East,Yes,0.70035,234,361,0.65303,0.74767
2022,Direct migration background,East,No,0.29965,127,361,0.25233,0.34697
2022,Indirect migration background,West,Yes,0.77654,445,609,0.74343,0.80965
2022,Indirect migration background,West,No,0.22346,164,609,0.19035,0.25657
2022,Indirect migration background,East,Yes,0.58399,45,45,0.43835,0.72963
