year,age_gr,pgisced97,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,17-29 y.,Primary Level,No,0.35041,59,59,0.22763,0.47320
1986,17-29 y.,Lower Secondary Level,Yes,0.16768,141,575,0.13712,0.19825
1986,17-29 y.,Lower Secondary Level,No,0.45502,434,575,0.41428,0.49576
1986,17-29 y.,Upper Secondary Level,Yes,0.24294,308,982,0.21610,0.26978
1986,17-29 y.,Upper Secondary Level,No,0.46575,674,982,0.43454,0.49697
1986,17-29 y.,Post-secondary Non-tertiary Level,No,0.41332,43,43,0.26439,0.56225
1986,17-29 y.,First Stage of Tertiary Education,No,0.48038,51,51,0.34189,0.61886
1986,17-29 y.,Second Stage of Tertiary Education,Yes,0.42844,35,70,0.31168,0.54521
1986,17-29 y.,Second Stage of Tertiary Education,No,0.38438,35,70,0.26960,0.49917
1986,30-45 y.,Primary Level,Yes,0.14588,32,163,0.09152,0.20023
1986,30-45 y.,Primary Level,No,0.40208,131,163,0.32657,0.47758
1986,30-45 y.,Lower Secondary Level,Yes,0.11820,79,392,0.08620,0.15020
1986,30-45 y.,Lower Secondary Level,No,0.46171,313,392,0.41230,0.51113
1986,30-45 y.,Upper Secondary Level,Yes,0.26904,418,1217,0.24411,0.29396
1986,30-45 y.,Upper Secondary Level,No,0.47313,799,1217,0.44507,0.50120
1986,30-45 y.,Post-secondary Non-tertiary Level,No,0.41618,48,48,0.27526,0.55710
1986,30-45 y.,First Stage of Tertiary Education,Yes,0.33750,72,168,0.26578,0.40922
1986,30-45 y.,First Stage of Tertiary Education,No,0.44373,96,168,0.36838,0.51908
1986,30-45 y.,Second Stage of Tertiary Education,Yes,0.35197,126,310,0.29872,0.40522
1986,30-45 y.,Second Stage of Tertiary Education,No,0.47865,184,310,0.42295,0.53435
1986,46-65 y.,Primary Level,No,0.47321,162,162,0.39608,0.55033
1986,46-65 y.,Lower Secondary Level,Yes,0.07138,84,432,0.04707,0.09568
1986,46-65 y.,Lower Secondary Level,No,0.31948,348,432,0.27546,0.36350
1986,46-65 y.,Upper Secondary Level,Yes,0.17497,269,898,0.15010,0.19983
1986,46-65 y.,Upper Secondary Level,No,0.39920,629,898,0.36715,0.43125
1986,46-65 y.,First Stage of Tertiary Education,Yes,0.27903,58,140,0.20447,0.35360
1986,46-65 y.,First Stage of Tertiary Education,No,0.42278,82,140,0.34065,0.50490
1986,46-65 y.,Second Stage of Tertiary Education,Yes,0.34208,77,177,0.27199,0.41217
1986,46-65 y.,Second Stage of Tertiary Education,No,0.42635,100,177,0.35329,0.49942
1988,17-29 y.,Primary Level,No,0.34548,42,42,0.19992,0.49104
1988,17-29 y.,Lower Secondary Level,Yes,0.17514,138,558,0.14357,0.20670
1988,17-29 y.,Lower Secondary Level,No,0.46050,420,558,0.41911,0.50190
1988,17-29 y.,Upper Secondary Level,Yes,0.25910,330,924,0.23083,0.28737
1988,17-29 y.,Upper Secondary Level,No,0.44136,594,924,0.40933,0.47340
1988,17-29 y.,Post-secondary Non-tertiary Level,No,0.42313,47,47,0.28036,0.56591
1988,17-29 y.,First Stage of Tertiary Education,No,0.42330,33,33,0.25211,0.59449
1988,30-45 y.,Primary Level,Yes,0.17586,39,148,0.11432,0.23740
1988,30-45 y.,Primary Level,No,0.38771,109,148,0.30895,0.46648
1988,30-45 y.,Lower Secondary Level,Yes,0.11043,71,348,0.07745,0.14341
1988,30-45 y.,Lower Secondary Level,No,0.50801,277,348,0.45540,0.56061
1988,30-45 y.,Upper Secondary Level,Yes,0.28257,394,1133,0.25634,0.30880
1988,30-45 y.,Upper Secondary Level,No,0.47609,739,1133,0.44699,0.50518
1988,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.37303,34,72,0.26053,0.48552
1988,30-45 y.,Post-secondary Non-tertiary Level,No,0.41479,38,72,0.30018,0.52939
1988,30-45 y.,First Stage of Tertiary Education,Yes,0.37071,70,169,0.29768,0.44375
1988,30-45 y.,First Stage of Tertiary Education,No,0.43952,99,169,0.36446,0.51457
1988,30-45 y.,Second Stage of Tertiary Education,Yes,0.33607,117,292,0.28180,0.39035
1988,30-45 y.,Second Stage of Tertiary Education,No,0.52615,175,292,0.46878,0.58352
