year,migback,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,No migration background,Yes,0.70582,2565,3687,0.69111,0.72053
1997,No migration background,No,0.29418,1122,3687,0.27947,0.30889
1997,Direct migration background,Yes,0.67875,437,677,0.64355,0.71395
1997,Direct migration background,No,0.32125,240,677,0.28605,0.35645
1997,Indirect migration background,Yes,0.71223,125,188,0.64734,0.77712
1997,Indirect migration background,No,0.28777,63,188,0.22288,0.35266
1998,No migration background,Yes,0.71149,2957,4207,0.69779,0.72518
1998,No migration background,No,0.28851,1250,4207,0.27482,0.30221
1998,Direct migration background,Yes,0.68243,413,617,0.64567,0.71919
1998,Direct migration background,No,0.31757,204,617,0.28081,0.35433
1998,Indirect migration background,Yes,0.73894,131,178,0.67423,0.80364
1998,Indirect migration background,No,0.26106,47,178,0.19636,0.32577
1999,No migration background,Yes,0.71470,2960,4141,0.70095,0.72846
1999,No migration background,No,0.28530,1181,4141,0.27154,0.29905
1999,Direct migration background,Yes,0.73921,391,560,0.70282,0.77561
1999,Direct migration background,No,0.26079,169,560,0.22439,0.29718
1999,Indirect migration background,Yes,0.67719,142,199,0.61207,0.74232
1999,Indirect migration background,No,0.32281,57,199,0.25768,0.38793
2000,No migration background,Yes,0.68894,4887,7007,0.67810,0.69978
2000,No migration background,No,0.31106,2120,7007,0.30022,0.32190
2000,Direct migration background,Yes,0.63509,548,868,0.60304,0.66713
2000,Direct migration background,No,0.36491,320,868,0.33287,0.39696
2000,Indirect migration background,Yes,0.73406,183,254,0.67962,0.78851
2000,Indirect migration background,No,0.26594,71,254,0.21149,0.32038
2002,No migration background,Yes,0.69930,4956,6965,0.68853,0.71007
2002,No migration background,No,0.30070,2009,6965,0.28993,0.31147
2002,Direct migration background,Yes,0.62301,461,712,0.58739,0.65863
2002,Direct migration background,No,0.37699,251,712,0.34137,0.41261
2002,Indirect migration background,Yes,0.68484,179,252,0.62737,0.74232
2002,Indirect migration background,No,0.31516,73,252,0.25768,0.37263
2003,No migration background,Yes,0.70180,4715,6652,0.69080,0.71279
2003,No migration background,No,0.29820,1937,6652,0.28721,0.30920
2003,Direct migration background,Yes,0.65619,413,647,0.61956,0.69282
