year,migback,sex,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,No migration background,male,Yes,0.38780,981,2509,0.36874,0.40687
1986,No migration background,male,No,0.61220,1528,2509,0.59313,0.63126
1986,No migration background,female,Yes,0.26424,437,1721,0.24341,0.28508
1986,No migration background,female,No,0.73576,1284,1721,0.71492,0.75659
1986,Direct migration background,male,Yes,0.32244,343,1213,0.29612,0.34875
1986,Direct migration background,male,No,0.67756,870,1213,0.65125,0.70388
1986,Direct migration background,female,Yes,0.15321,69,621,0.12485,0.18156
1986,Direct migration background,female,No,0.84679,552,621,0.81844,0.87515
1986,Indirect migration background,male,No,0.53561,31,31,0.35715,0.71408
1986,Indirect migration background,female,No,0.98738,39,39,0.95188,1.02287
1988,No migration background,male,Yes,0.39059,938,2390,0.37102,0.41015
1988,No migration background,male,No,0.60941,1452,2390,0.58985,0.62898
1988,No migration background,female,Yes,0.28310,451,1641,0.26130,0.30490
1988,No migration background,female,No,0.71690,1190,1641,0.69510,0.73870
1988,Direct migration background,male,Yes,0.32942,320,1098,0.30160,0.35723
1988,Direct migration background,male,No,0.67058,778,1098,0.64277,0.69840
1988,Direct migration background,female,Yes,0.19858,98,599,0.16661,0.23056
1988,Direct migration background,female,No,0.80142,501,599,0.76944,0.83339
1988,Indirect migration background,male,No,0.56403,48,48,0.42226,0.70580
1988,Indirect migration background,female,No,0.87351,41,41,0.77050,0.97653
1989,No migration background,male,Yes,0.41509,957,2334,0.39510,0.43509
1989,No migration background,male,No,0.58491,1377,2334,0.56491,0.60490
1989,No migration background,female,Yes,0.29970,481,1635,0.27749,0.32192
1989,No migration background,female,No,0.70030,1154,1635,0.67808,0.72251
1989,Direct migration background,male,Yes,0.36285,326,1060,0.33389,0.39181
1989,Direct migration background,male,No,0.63715,734,1060,0.60819,0.66611
1989,Direct migration background,female,Yes,0.20545,112,588,0.17276,0.23813
1989,Direct migration background,female,No,0.79455,476,588,0.76187,0.82724
1989,Indirect migration background,male,No,0.65805,50,50,0.52523,0.79087
1989,Indirect migration background,female,No,0.69126,48,48,0.55918,0.82334
1990,No migration background,male,Yes,0.41799,1593,3953,0.40261,0.43337
1990,No migration background,male,No,0.58201,2360,3953,0.56663,0.59739
1990,No migration background,female,Yes,0.30217,930,3175,0.28619,0.31815
1990,No migration background,female,No,0.69783,2245,3175,0.68185,0.71381
1990,Direct migration background,male,Yes,0.34594,349,1090,0.31769,0.37419
1990,Direct migration background,male,No,0.65406,741,1090,0.62581,0.68231
1990,Direct migration background,female,Yes,0.22969,114,623,0.19663,0.26274
1990,Direct migration background,female,No,0.77031,509,623,0.73726,0.80337
1990,Indirect migration background,male,No,0.59993,59,59,0.47384,0.72601
1990,Indirect migration background,female,No,0.76919,61,61,0.66257,0.87580
1991,No migration background,male,Yes,0.42553,1519,3731,0.40966,0.44140
1991,No migration background,male,No,0.57447,2212,3731,0.55860,0.59034
1991,No migration background,female,Yes,0.31519,866,2913,0.29831,0.33206
1991,No migration background,female,No,0.68481,2047,2913,0.66794,0.70169
1991,Direct migration background,male,Yes,0.37385,348,1057,0.34467,0.40303
1991,Direct migration background,male,No,0.62615,709,1057,0.59697,0.65533
1991,Direct migration background,female,Yes,0.19741,104,635,0.16642,0.22839
1991,Direct migration background,female,No,0.80259,531,635,0.77161,0.83358
1991,Indirect migration background,male,Yes,0.30689,34,110,0.22030,0.39347
1991,Indirect migration background,male,No,0.69311,76,110,0.60653,0.77970
1991,Indirect migration background,female,No,0.72002,72,72,0.61558,0.82446
1992,No migration background,male,Yes,0.45260,1558,3485,0.43607,0.46913
1992,No migration background,male,No,0.54740,1927,3485,0.53087,0.56393
1992,No migration background,female,Yes,0.35247,944,2694,0.33443,0.37052
1992,No migration background,female,No,0.64753,1750,2694,0.62948,0.66557
1992,Direct migration background,male,Yes,0.34574,304,1010,0.31640,0.37509
1992,Direct migration background,male,No,0.65426,706,1010,0.62491,0.68360
1992,Direct migration background,female,Yes,0.20436,100,574,0.17134,0.23738
1992,Direct migration background,female,No,0.79564,474,574,0.76262,0.82866
1992,Indirect migration background,male,Yes,0.35791,37,120,0.27178,0.44404
1992,Indirect migration background,male,No,0.64209,83,120,0.55596,0.72822
1992,Indirect migration background,female,No,0.70385,84,84,0.60563,0.80207
1993,No migration background,male,Yes,0.43254,1489,3358,0.41578,0.44930
1993,No migration background,male,No,0.56746,1869,3358,0.55070,0.58422
1993,No migration background,female,Yes,0.32955,909,2629,0.31158,0.34752
1993,No migration background,female,No,0.67045,1720,2629,0.65248,0.68842
1993,Direct migration background,male,Yes,0.29191,239,931,0.26269,0.32113
1993,Direct migration background,male,No,0.70809,692,931,0.67887,0.73731
1993,Direct migration background,female,Yes,0.20203,95,564,0.16887,0.23520
1993,Direct migration background,female,No,0.79797,469,564,0.76480,0.83113
1993,Indirect migration background,male,Yes,0.31293,52,156,0.23993,0.38593
1993,Indirect migration background,male,No,0.68707,104,156,0.61407,0.76007
1993,Indirect migration background,female,Yes,0.28821,32,122,0.20751,0.36892
1993,Indirect migration background,female,No,0.71179,90,122,0.63108,0.79249
1994,No migration background,male,Yes,0.45036,1528,3280,0.43333,0.46739
1994,No migration background,male,No,0.54964,1752,3280,0.53261,0.56667
1994,No migration background,female,Yes,0.35379,932,2560,0.33527,0.37232
1994,No migration background,female,No,0.64621,1628,2560,0.62768,0.66473
1994,Direct migration background,male,Yes,0.31912,237,828,0.28735,0.35089
1994,Direct migration background,male,No,0.68088,591,828,0.64911,0.71265
1994,Direct migration background,female,Yes,0.24234,96,511,0.20515,0.27953
1994,Direct migration background,female,No,0.75766,415,511,0.72047,0.79485
1994,Indirect migration background,male,Yes,0.31629,50,157,0.24332,0.38926
1994,Indirect migration background,male,No,0.68371,107,157,0.61074,0.75668
1994,Indirect migration background,female,Yes,0.29627,38,133,0.21837,0.37417
1994,Indirect migration background,female,No,0.70373,95,133,0.62583,0.78163
1995,No migration background,male,Yes,0.47446,1619,3326,0.45748,0.49143
1995,No migration background,male,No,0.52554,1707,3326,0.50857,0.54252
1995,No migration background,female,Yes,0.38325,1003,2617,0.36462,0.40188
1995,No migration background,female,No,0.61675,1614,2617,0.59812,0.63538
1995,Direct migration background,male,Yes,0.38354,331,945,0.35252,0.41456
1995,Direct migration background,male,No,0.61646,614,945,0.58544,0.64748
