year,pgisced97,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,No answer / don't know,Yes,0.61041,45,78,0.50148,0.71933
1997,No answer / don't know,No,0.38959,33,78,0.28067,0.49852
1997,Primary Level,Yes,0.57359,38,72,0.45855,0.68863
1997,Primary Level,No,0.42641,34,72,0.31137,0.54145
1997,Lower Secondary Level,Yes,0.63836,288,490,0.59577,0.68094
1997,Lower Secondary Level,No,0.36164,202,490,0.31906,0.40423
1997,Upper Secondary Level,Yes,0.69024,1630,2422,0.67182,0.70866
1997,Upper Secondary Level,No,0.30976,792,2422,0.29134,0.32818
1997,Post-secondary Non-tertiary Level,Yes,0.70051,154,215,0.63915,0.76188
1997,Post-secondary Non-tertiary Level,No,0.29949,61,215,0.23812,0.36085
1997,First Stage of Tertiary Education,Yes,0.70397,251,358,0.65661,0.75132
1997,First Stage of Tertiary Education,No,0.29603,107,358,0.24868,0.34339
1997,Second Stage of Tertiary Education,Yes,0.78030,721,915,0.75346,0.80714
1997,Second Stage of Tertiary Education,No,0.21970,194,915,0.19286,0.24654
1998,No answer / don't know,Yes,0.70820,116,163,0.63820,0.77821
1998,No answer / don't know,No,0.29180,47,163,0.22179,0.36180
1998,Primary Level,Yes,0.46894,33,33,0.29603,0.64184
1998,Lower Secondary Level,Yes,0.57744,285,505,0.53432,0.62057
1998,Lower Secondary Level,No,0.42256,220,505,0.37943,0.46568
1998,Upper Secondary Level,Yes,0.69394,1797,2635,0.67634,0.71154
1998,Upper Secondary Level,No,0.30606,838,2635,0.28846,0.32366
1998,Post-secondary Non-tertiary Level,Yes,0.77612,194,240,0.72327,0.82897
1998,Post-secondary Non-tertiary Level,No,0.22388,46,240,0.17103,0.27673
1998,First Stage of Tertiary Education,Yes,0.74309,286,392,0.69978,0.78640
1998,First Stage of Tertiary Education,No,0.25691,106,392,0.21360,0.30022
1998,Second Stage of Tertiary Education,Yes,0.78760,788,1003,0.76228,0.81293
1998,Second Stage of Tertiary Education,No,0.21240,215,1003,0.18707,0.23772
1999,No answer / don't know,Yes,0.73929,54,54,0.62110,0.85749
1999,Primary Level,Yes,0.51379,33,33,0.34061,0.68696
1999,Lower Secondary Level,Yes,0.64835,304,483,0.60572,0.69097
1999,Lower Secondary Level,No,0.35165,179,483,0.30903,0.39428
1999,Upper Secondary Level,Yes,0.69032,1821,2650,0.67271,0.70792
1999,Upper Secondary Level,No,0.30968,829,2650,0.29208,0.32729
1999,Post-secondary Non-tertiary Level,Yes,0.78774,200,245,0.73643,0.83904
1999,Post-secondary Non-tertiary Level,No,0.21226,45,245,0.16096,0.26357
1999,First Stage of Tertiary Education,Yes,0.73478,279,381,0.69039,0.77916
1999,First Stage of Tertiary Education,No,0.26522,102,381,0.22084,0.30961
1999,Second Stage of Tertiary Education,Yes,0.79699,797,1004,0.77209,0.82188
1999,Second Stage of Tertiary Education,No,0.20301,207,1004,0.17812,0.22791
2000,Primary Level,Yes,0.66922,37,37,0.51553,0.82292
2000,Lower Secondary Level,Yes,0.55226,338,589,0.51207,0.59245
2000,Lower Secondary Level,No,0.44774,251,589,0.40755,0.48793
2000,Upper Secondary Level,Yes,0.66256,2925,4367,0.64854,0.67659
2000,Upper Secondary Level,No,0.33744,1442,4367,0.32341,0.35146
2000,Post-secondary Non-tertiary Level,Yes,0.72728,347,483,0.68753,0.76704
2000,Post-secondary Non-tertiary Level,No,0.27272,136,483,0.23296,0.31247
2000,First Stage of Tertiary Education,Yes,0.72227,591,819,0.69158,0.75296
2000,First Stage of Tertiary Education,No,0.27773,228,819,0.24704,0.30842
2000,Second Stage of Tertiary Education,Yes,0.75430,1371,1802,0.73442,0.77419
2000,Second Stage of Tertiary Education,No,0.24570,431,1802,0.22581,0.26558
2002,Lower Secondary Level,Yes,0.55843,273,462,0.51310,0.60376
2002,Lower Secondary Level,No,0.44157,189,462,0.39624,0.48690
2002,Upper Secondary Level,Yes,0.66542,2623,3924,0.65066,0.68019
2002,Upper Secondary Level,No,0.33458,1301,3924,0.31981,0.34934
2002,Post-secondary Non-tertiary Level,Yes,0.71032,368,509,0.67087,0.74977
2002,Post-secondary Non-tertiary Level,No,0.28968,141,509,0.25023,0.32913
2002,First Stage of Tertiary Education,Yes,0.72162,546,747,0.68945,0.75378
2002,First Stage of Tertiary Education,No,0.27838,201,747,0.24622,0.31055
2002,Second Stage of Tertiary Education,Yes,0.78456,1736,2200,0.76738,0.80175
2002,Second Stage of Tertiary Education,No,0.21544,464,2200,0.19825,0.23262
2003,No answer / don't know,Yes,0.73378,36,36,0.58735,0.88020
2003,Lower Secondary Level,Yes,0.59234,269,446,0.54669,0.63800
2003,Lower Secondary Level,No,0.40766,177,446,0.36200,0.45331
2003,Upper Secondary Level,Yes,0.66543,2499,3753,0.65034,0.68053
2003,Upper Secondary Level,No,0.33457,1254,3753,0.31947,0.34966
2003,Post-secondary Non-tertiary Level,Yes,0.69819,373,520,0.65870,0.73769
2003,Post-secondary Non-tertiary Level,No,0.30181,147,520,0.26231,0.34130
2003,First Stage of Tertiary Education,Yes,0.74030,528,726,0.70838,0.77222
2003,First Stage of Tertiary Education,No,0.25970,198,726,0.22778,0.29162
2003,Second Stage of Tertiary Education,Yes,0.78903,1573,2025,0.77126,0.80681
2003,Second Stage of Tertiary Education,No,0.21097,452,2025,0.19319,0.22874
2004,No answer / don't know,Yes,0.67930,36,36,0.52466,0.83393
2004,Lower Secondary Level,Yes,0.60133,261,430,0.55499,0.64766
2004,Lower Secondary Level,No,0.39867,169,430,0.35234,0.44501
2004,Upper Secondary Level,Yes,0.67618,2445,3563,0.66081,0.69155
2004,Upper Secondary Level,No,0.32382,1118,3563,0.30845,0.33919
2004,Post-secondary Non-tertiary Level,Yes,0.71390,352,504,0.67440,0.75339
2004,Post-secondary Non-tertiary Level,No,0.28610,152,504,0.24661,0.32560
2004,First Stage of Tertiary Education,Yes,0.77855,544,716,0.74812,0.80899
2004,First Stage of Tertiary Education,No,0.22145,172,716,0.19101,0.25188
2004,Second Stage of Tertiary Education,Yes,0.75473,1510,1987,0.73580,0.77365
2004,Second Stage of Tertiary Education,No,0.24527,477,1987,0.22635,0.26420
2005,No answer / don't know,Yes,0.58992,32,32,0.41678,0.76306
2005,Lower Secondary Level,Yes,0.64810,258,414,0.60204,0.69416
2005,Lower Secondary Level,No,0.35190,156,414,0.30584,0.39796
