year,pgisced97,regtyp,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,No answer / don't know,Urban regions,No,0.73514,49,49,0.61031,0.85997
1986,Primary Level,Urban regions,Yes,0.22448,58,372,0.18202,0.26694
1986,Primary Level,Urban regions,No,0.77552,314,372,0.73306,0.81798
1986,Primary Level,Rural regions,No,0.66526,38,38,0.51320,0.81732
1986,Lower Secondary Level,Urban regions,Yes,0.22564,237,1091,0.20082,0.25045
1986,Lower Secondary Level,Urban regions,No,0.77436,854,1091,0.74955,0.79918
1986,Lower Secondary Level,Rural regions,Yes,0.20772,67,316,0.16292,0.25252
1986,Lower Secondary Level,Rural regions,No,0.79228,249,316,0.74748,0.83708
1986,Upper Secondary Level,Urban regions,Yes,0.34297,780,2418,0.32404,0.36189
1986,Upper Secondary Level,Urban regions,No,0.65703,1638,2418,0.63811,0.67596
1986,Upper Secondary Level,Rural regions,Yes,0.31360,215,691,0.27899,0.34822
1986,Upper Secondary Level,Rural regions,No,0.68640,476,691,0.65178,0.72101
1986,Post-secondary Non-tertiary Level,Urban regions,Yes,0.42656,58,158,0.34919,0.50392
1986,Post-secondary Non-tertiary Level,Urban regions,No,0.57344,100,158,0.49608,0.65081
1986,First Stage of Tertiary Education,Urban regions,Yes,0.42311,126,303,0.36739,0.47883
1986,First Stage of Tertiary Education,Urban regions,No,0.57689,177,303,0.52117,0.63261
1986,First Stage of Tertiary Education,Rural regions,Yes,0.34852,32,87,0.24781,0.44923
1986,First Stage of Tertiary Education,Rural regions,No,0.65148,55,87,0.55077,0.75219
1986,Second Stage of Tertiary Education,Urban regions,Yes,0.44047,197,469,0.39549,0.48544
1986,Second Stage of Tertiary Education,Urban regions,No,0.55953,272,469,0.51456,0.60451
1986,Second Stage of Tertiary Education,Rural regions,Yes,0.43976,41,93,0.33833,0.54119
1986,Second Stage of Tertiary Education,Rural regions,No,0.56024,52,93,0.45881,0.66167
1988,No answer / don't know,Urban regions,No,0.69174,56,56,0.56970,0.81378
1988,Primary Level,Urban regions,Yes,0.19310,57,309,0.14902,0.23718
1988,Primary Level,Urban regions,No,0.80690,252,309,0.76282,0.85098
1988,Primary Level,Rural regions,No,0.66686,37,37,0.51289,0.82083
1988,Lower Secondary Level,Urban regions,Yes,0.24232,245,1069,0.21662,0.26802
1988,Lower Secondary Level,Urban regions,No,0.75768,824,1069,0.73198,0.78338
1988,Lower Secondary Level,Rural regions,Yes,0.20341,61,287,0.15676,0.25006
1988,Lower Secondary Level,Rural regions,No,0.79659,226,287,0.74994,0.84324
1988,Upper Secondary Level,Urban regions,Yes,0.34877,753,2283,0.32922,0.36833
1988,Upper Secondary Level,Urban regions,No,0.65123,1530,2283,0.63167,0.67078
1988,Upper Secondary Level,Rural regions,Yes,0.33004,220,659,0.29411,0.36597
1988,Upper Secondary Level,Rural regions,No,0.66996,439,659,0.63403,0.70589
1988,Post-secondary Non-tertiary Level,Urban regions,Yes,0.42661,62,156,0.34875,0.50447
1988,Post-secondary Non-tertiary Level,Urban regions,No,0.57339,94,156,0.49553,0.65125
1988,First Stage of Tertiary Education,Urban regions,Yes,0.46741,125,288,0.40969,0.52514
1988,First Stage of Tertiary Education,Urban regions,No,0.53259,163,288,0.47486,0.59031
1988,First Stage of Tertiary Education,Rural regions,Yes,0.38931,33,81,0.28246,0.49616
1988,First Stage of Tertiary Education,Rural regions,No,0.61069,48,81,0.50384,0.71754
1988,Second Stage of Tertiary Education,Urban regions,Yes,0.44937,211,461,0.40392,0.49483
1988,Second Stage of Tertiary Education,Urban regions,No,0.55063,250,461,0.50517,0.59608
1988,Second Stage of Tertiary Education,Rural regions,No,0.72869,60,60,0.61523,0.84214
1989,No answer / don't know,Urban regions,No,0.79104,52,52,0.67945,0.90262
1989,Primary Level,Urban regions,Yes,0.25118,67,284,0.20065,0.30171
1989,Primary Level,Urban regions,No,0.74882,217,284,0.69829,0.79935
1989,Primary Level,Rural regions,No,0.75759,40,40,0.62309,0.89209
1989,Lower Secondary Level,Urban regions,Yes,0.26498,250,1059,0.23839,0.29158
1989,Lower Secondary Level,Urban regions,No,0.73502,809,1059,0.70842,0.76161
