year,regtyp,rentown,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,Urban regions,Owner,Yes,0.02748,113,14276,0,0.02234,0,0.03185
2016,Urban regions,Owner,No,0.97252,3645,14276,0,0.94219,0,1.00383
2016,Urban regions,Tenant,Yes,0.01443,89,14276,0,0.01184,0,0.01772
2016,Urban regions,Tenant,No,0.98557,5500,14276,0,0.96017,0,1.01027
2016,Rural regions,Owner,Yes,0.02149,65,14276,0,0.01682,0,0.02600
2016,Rural regions,Owner,No,0.97851,2467,14276,0,0.94033,0,1.01606
2016,Rural regions,Tenant,Yes,0.01527,37,14276,0,0.00972,0,0.02273
2016,Rural regions,Tenant,No,0.98473,2360,14276,0,0.93900,0,1.02779
2017,Urban regions,Owner,Yes,0.03237,157,15657,0,0.02782,0,0.03728
2017,Urban regions,Owner,No,0.96763,4087,15657,0,0.93828,0,0.99747
2017,Urban regions,Tenant,Yes,0.01480,88,15657,0,0.01193,0,0.01792
2017,Urban regions,Tenant,No,0.98520,5880,15657,0,0.95668,0,1.00847
2017,Rural regions,Owner,Yes,0.03128,82,15657,0,0.02343,0,0.03883
2017,Rural regions,Owner,No,0.96872,2728,15657,0,0.92983,0,1.00046
2017,Rural regions,Tenant,Yes,0.02338,45,15657,0,0.01445,0,0.03460
2017,Rural regions,Tenant,No,0.97662,2590,15657,0,0.94120,0,1.01816
2018,Urban regions,Owner,Yes,0.03576,157,15406,0,0.03069,0,0.04180
2018,Urban regions,Owner,No,0.96424,3905,15406,0,0.93259,0,0.99094
2018,Urban regions,Tenant,Yes,0.01431,91,15406,0,0.01133,0,0.01789
2018,Urban regions,Tenant,No,0.98569,5994,15406,0,0.96175,0,1.01780
2018,Rural regions,Owner,Yes,0.02699,73,15406,0,0.02134,0,0.03332
2018,Rural regions,Owner,No,0.97301,2612,15406,0,0.92635,0,1.00813
2018,Rural regions,Tenant,No,1.00000,2574,15406,0,0.95524,0,1.05505
2019,Urban regions,Owner,Yes,0.02912,184,15651,0,0.02415,0,0.03474
2019,Urban regions,Owner,No,0.97088,4528,15651,0,0.92858,0,1.00448
2019,Urban regions,Tenant,Yes,0.01574,95,15651,0,0.01205,0,0.01943
2019,Urban regions,Tenant,No,0.98426,5481,15651,0,0.95332,0,1.01537
2019,Rural regions,Owner,Yes,0.03086,85,15651,0,0.02324,0,0.03935
2019,Rural regions,Owner,No,0.96914,2911,15651,0,0.92656,0,1.01679
2019,Rural regions,Tenant,Yes,0.01060,31,15651,0,0.00648,0,0.01560
2019,Rural regions,Tenant,No,0.98940,2336,15651,0,0.94085,0,1.03292
2020,Urban regions,Owner,Yes,0.03424,167,16245,0,0.02837,0,0.04084
2020,Urban regions,Owner,No,0.96576,4094,16245,0,0.93191,0,0.99589
2020,Urban regions,Tenant,Yes,0.01626,102,16245,0,0.01273,0,0.02091
2020,Urban regions,Tenant,No,0.98374,6602,16245,0,0.95552,0,1.01877
2020,Rural regions,Owner,Yes,0.04001,105,16245,0,0.03052,0,0.04807
2020,Rural regions,Owner,No,0.95999,2576,16245,0,0.91269,0,1.01340
2020,Rural regions,Tenant,No,1.00000,2599,16245,0,0.95463,0,1.04946
2021,Urban regions,Owner,Yes,0.03466,134,11059,0,0.02745,0,0.04031
2021,Urban regions,Owner,No,0.96534,2979,11059,0,0.92911,0,0.99831
2021,Urban regions,Tenant,Yes,0.01588,90,11059,0,0.01222,0,0.01961
2021,Urban regions,Tenant,No,0.98412,4198,11059,0,0.95291,0,1.01736
2021,Rural regions,Owner,Yes,0.02839,67,11059,0,0.01887,0,0.03861
2021,Rural regions,Owner,No,0.97161,1890,11059,0,0.91797,0,1.02905
2021,Rural regions,Tenant,Yes,0.01520,31,11059,0,0.00919,0,0.02158
2021,Rural regions,Tenant,No,0.98480,1670,11059,0,0.93190,0,1.03999
