year,quintil_oecd_hh,regtyp,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,1st Quintile,Urban regions,No,1.00000,1934,14155,0,0.94976,0,1.05212
2016,1st Quintile,Rural regions,No,1.00000,1099,14155,0,0.92425,0,1.07271
2016,2nd Quintile,Urban regions,Yes,0.01231,31,14155,0,0.00825,0,0.01613
2016,2nd Quintile,Urban regions,No,0.98769,1873,14155,0,0.94079,0,1.04225
2016,2nd Quintile,Rural regions,No,1.00000,1169,14155,0,0.93911,0,1.05864
2016,3rd Quintile,Urban regions,Yes,0.02445,36,14155,0,0.01632,0,0.03322
2016,3rd Quintile,Urban regions,No,0.97555,1669,14155,0,0.92570,0,1.03392
2016,3rd Quintile,Rural regions,No,1.00000,1024,14155,0,0.93933,0,1.06216
2016,4th Quintile,Urban regions,Yes,0.02395,50,14155,0,0.01819,0,0.03149
2016,4th Quintile,Urban regions,No,0.97605,1717,14155,0,0.92621,0,1.02302
2016,4th Quintile,Rural regions,No,1.00000,864,14155,0,0.93213,0,1.05187
2016,5th Quintile,Urban regions,Yes,0.02972,68,14155,0,0.02325,0,0.03600
2016,5th Quintile,Urban regions,No,0.97028,1950,14155,0,0.92496,0,1.01137
2016,5th Quintile,Rural regions,No,1.00000,671,14155,0,0.92630,0,1.09526
2017,1st Quintile,Urban regions,No,1.00000,2002,15549,0,0.95193,0,1.04453
2017,1st Quintile,Rural regions,No,1.00000,1154,15549,0,0.93034,0,1.06809
2017,2nd Quintile,Urban regions,Yes,0.01709,37,15549,0,0.01246,0,0.02208
2017,2nd Quintile,Urban regions,No,0.98291,1942,15549,0,0.93827,0,1.03788
2017,2nd Quintile,Rural regions,No,1.00000,1244,15549,0,0.94473,0,1.07100
2017,3rd Quintile,Urban regions,Yes,0.02815,49,15549,0,0.01989,0,0.03762
2017,3rd Quintile,Urban regions,No,0.97185,1846,15549,0,0.92242,0,1.00978
2017,3rd Quintile,Rural regions,No,1.00000,1147,15549,0,0.95078,0,1.05560
2017,4th Quintile,Urban regions,Yes,0.02461,53,15549,0,0.01677,0,0.03263
2017,4th Quintile,Urban regions,No,0.97539,1949,15549,0,0.93392,0,1.02202
2017,4th Quintile,Rural regions,Yes,0.04364,38,15549,0,0.02763,0,0.05929
2017,4th Quintile,Rural regions,No,0.95636,1004,15549,0,0.90744,0,1.01970
2017,5th Quintile,Urban regions,Yes,0.03279,91,15549,0,0.02806,0,0.03922
2017,5th Quintile,Urban regions,No,0.96721,2224,15549,0,0.92631,0,1.01201
2017,5th Quintile,Rural regions,No,1.00000,769,15549,0,0.93141,0,1.06647
2018,1st Quintile,Urban regions,No,1.00000,2067,15308,0,0.95333,0,1.05152
2018,1st Quintile,Rural regions,No,1.00000,1161,15308,0,0.92432,0,1.06211
2018,2nd Quintile,Urban regions,Yes,0.01783,37,15308,0,0.01278,0,0.02414
2018,2nd Quintile,Urban regions,No,0.98217,2048,15308,0,0.94007,0,1.02527
2018,2nd Quintile,Rural regions,No,1.00000,1270,15308,0,0.94486,0,1.06257
2018,3rd Quintile,Urban regions,Yes,0.02388,43,15308,0,0.01665,0,0.03444
2018,3rd Quintile,Urban regions,No,0.97612,1779,15308,0,0.92751,0,1.02630
2018,3rd Quintile,Rural regions,No,1.00000,1073,15308,0,0.94050,0,1.06999
2018,4th Quintile,Urban regions,Yes,0.03337,62,15308,0,0.02512,0,0.04187
2018,4th Quintile,Urban regions,No,0.96663,1853,15308,0,0.92011,0,1.00293
2018,4th Quintile,Rural regions,No,1.00000,929,15308,0,0.93115,0,1.06563
2018,5th Quintile,Urban regions,Yes,0.03376,86,15308,0,0.02577,0,0.04213
2018,5th Quintile,Urban regions,No,0.96624,2149,15308,0,0.91995,0,1.00596
2018,5th Quintile,Rural regions,No,1.00000,751,15308,0,0.92040,0,1.08493
2019,1st Quintile,Urban regions,No,1.00000,1779,15524,0,0.94803,0,1.05699
2019,1st Quintile,Rural regions,No,1.00000,1000,15524,0,0.93707,0,1.06397
2019,2nd Quintile,Urban regions,No,1.00000,1730,15524,0,0.94705,0,1.06221
2019,2nd Quintile,Rural regions,No,1.00000,1133,15524,0,0.93416,0,1.05511
