year,regtyp,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Yes,0.01941,203,9360,0.01661,0.02220
2016,Urban regions,No,0.97271,9157,9360,0.96941,0.97601
2016,Rural regions,Yes,0.01825,101,4917,0.01450,0.02199
2016,Rural regions,No,0.97386,4816,4917,0.96940,0.97832
2017,Urban regions,Yes,0.02210,245,10231,0.01925,0.02495
2017,Urban regions,No,0.97044,9986,10231,0.96716,0.97373
2017,Rural regions,Yes,0.02749,127,5426,0.02314,0.03184
2017,Rural regions,No,0.96459,5299,5426,0.95967,0.96951
2018,Urban regions,Yes,0.02376,250,10163,0.02080,0.02672
2018,Urban regions,No,0.96694,9913,10163,0.96347,0.97042
2018,Rural regions,Yes,0.01779,98,5270,0.01422,0.02136
2018,Rural regions,No,0.97515,5172,5270,0.97095,0.97935
2019,Urban regions,Yes,0.02156,280,10302,0.01875,0.02436
2019,Urban regions,No,0.96852,10022,10302,0.96515,0.97190
2019,Rural regions,Yes,0.02126,115,5349,0.01739,0.02512
2019,Rural regions,No,0.97012,5234,5349,0.96556,0.97468
2020,Urban regions,Yes,0.02374,269,10987,0.02089,0.02659
2020,Urban regions,No,0.96235,10718,10987,0.95879,0.96591
2020,Rural regions,Yes,0.02773,131,5284,0.02331,0.03216
2020,Rural regions,No,0.95979,5153,5284,0.95449,0.96509
2021,Urban regions,Yes,0.02454,224,7413,0.02102,0.02806
2021,Urban regions,No,0.96017,7189,7413,0.95572,0.96462
2021,Rural regions,Yes,0.02157,98,3650,0.01686,0.02628
2021,Rural regions,No,0.97024,3552,3650,0.96472,0.97575
2022,Urban regions,Yes,0.03055,406,13116,0.02761,0.03350
2022,Urban regions,No,0.95301,12710,13116,0.94938,0.95663
2022,Rural regions,Yes,0.02118,169,6036,0.01755,0.02481
2022,Rural regions,No,0.96739,5867,6036,0.96291,0.97187
