year,regtyp,sampreg,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,West,Yes,0.02025,184,8240,0.01721,0.02329
2016,Urban regions,West,No,0.97185,8056,8240,0.96827,0.97542
2016,Urban regions,East,No,0.98085,1101,1101,0.97275,0.98895
2016,Rural regions,West,Yes,0.01794,70,2970,0.01316,0.02271
2016,Rural regions,West,No,0.97561,2900,2970,0.97006,0.98116
2016,Rural regions,East,Yes,0.01879,31,1947,0.01276,0.02482
2016,Rural regions,East,No,0.97075,1916,1947,0.96326,0.97824
2017,Urban regions,West,Yes,0.02296,223,9000,0.01987,0.02606
2017,Urban regions,West,No,0.96968,8777,9000,0.96614,0.97322
2017,Urban regions,East,No,0.97774,1209,1209,0.96943,0.98606
2017,Rural regions,West,Yes,0.03206,82,3244,0.02600,0.03812
2017,Rural regions,West,No,0.95932,3162,3244,0.95252,0.96612
2017,Rural regions,East,Yes,0.01939,45,2182,0.01360,0.02517
2017,Rural regions,East,No,0.97393,2137,2182,0.96724,0.98062
2018,Urban regions,West,Yes,0.02420,222,8914,0.02101,0.02739
2018,Urban regions,West,No,0.96653,8692,8914,0.96280,0.97027
2018,Urban regions,East,No,0.97083,1221,1221,0.96139,0.98027
2018,Rural regions,West,Yes,0.02291,69,3093,0.01764,0.02818
2018,Rural regions,West,No,0.96967,3024,3093,0.96362,0.97571
2018,Rural regions,East,No,0.98496,2148,2148,0.97981,0.99011
2019,Urban regions,West,Yes,0.02220,249,9032,0.01916,0.02523
2019,Urban regions,West,No,0.96791,8783,9032,0.96428,0.97155
2019,Urban regions,East,Yes,0.01540,31,1270,0.00863,0.02218
2019,Urban regions,East,No,0.97443,1239,1270,0.96574,0.98311
2019,Rural regions,West,Yes,0.02639,80,3096,0.02074,0.03204
2019,Rural regions,West,No,0.96334,3016,3096,0.95672,0.96996
2019,Rural regions,East,Yes,0.01218,35,2253,0.00765,0.01671
2019,Rural regions,East,No,0.98212,2218,2253,0.97664,0.98759
2020,Urban regions,West,Yes,0.02429,237,9695,0.02123,0.02736
2020,Urban regions,West,No,0.96190,9458,9695,0.95809,0.96571
2020,Urban regions,East,Yes,0.01850,32,1292,0.01115,0.02586
2020,Urban regions,East,No,0.96668,1260,1292,0.95689,0.97647
2020,Rural regions,West,Yes,0.03057,85,3136,0.02454,0.03659
2020,Rural regions,West,No,0.95460,3051,3136,0.94732,0.96189
2020,Rural regions,East,Yes,0.02271,46,2148,0.01641,0.02901
2020,Rural regions,East,No,0.96899,2102,2148,0.96166,0.97632
2021,Urban regions,West,Yes,0.02546,202,6514,0.02164,0.02929
2021,Urban regions,West,No,0.95998,6312,6514,0.95522,0.96474
2021,Urban regions,East,No,0.96215,877,877,0.94951,0.97479
2021,Rural regions,West,Yes,0.02214,64,2158,0.01593,0.02835
2021,Rural regions,West,No,0.96831,2094,2158,0.96092,0.97570
2021,Rural regions,East,Yes,0.02057,34,1492,0.01337,0.02778
2021,Rural regions,East,No,0.97364,1458,1492,0.96550,0.98177
2022,Urban regions,West,Yes,0.03144,366,11487,0.02825,0.03464
2022,Urban regions,West,No,0.95274,11121,11487,0.94886,0.95662
2022,Urban regions,East,Yes,0.02234,40,1629,0.01516,0.02952
2022,Urban regions,East,No,0.95546,1589,1629,0.94544,0.96548
2022,Rural regions,West,Yes,0.02366,113,3482,0.01861,0.02871
2022,Rural regions,West,No,0.96540,3369,3482,0.95932,0.97147
2022,Rural regions,East,Yes,0.01630,56,2554,0.01139,0.02121
2022,Rural regions,East,No,0.97133,2498,2554,0.96485,0.97780
