"hlc0178","year","quintil","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"ja","2016","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"ja","2016","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"ja","2016","2","Westdeutschland","43","0.0101435210609657","0.00732491775783043","0.0129621243641009"
"ja","2016","2","Ostdeutschland","21","","",""
"ja","2016","3","Westdeutschland","105","","",""
"ja","2016","3","Ostdeutschland","25","","",""
"ja","2016","4","Westdeutschland","205","","",""
"ja","2016","4","Ostdeutschland","25","","",""
"ja","2016","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"ja","2016","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"nein","2016","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"nein","2016","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"nein","2016","2","Westdeutschland","4812","0.989856478939034","0.987037875635899","0.99267508224217"
"nein","2016","2","Ostdeutschland","1298","","",""
"nein","2016","3","Westdeutschland","5125","0.981981930768312","0.97837694860315","0.985586912933475"
"nein","2016","3","Ostdeutschland","1536","","",""
"nein","2016","4","Westdeutschland","7199","0.97810246565747","0.974768933331739","0.981435997983202"
"nein","2016","4","Ostdeutschland","1824","","",""
"nein","2016","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"nein","2016","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"ja","2017","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"ja","2017","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"ja","2017","2","Westdeutschland","53","0.0163817442962769","0.0126069217150868","0.0201565668774671"
"ja","2017","2","Ostdeutschland","22","","",""
"ja","2017","3","Westdeutschland","129","","",""
"ja","2017","3","Ostdeutschland","34","0.0220997971880217","0.0149411329057289","0.0292584614703146"
"ja","2017","4","Westdeutschland","206","","",""
"ja","2017","4","Ostdeutschland","55","0.023656240533575","0.0171716717032866","0.0301408093638634"
"ja","2017","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"ja","2017","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"nein","2017","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"nein","2017","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"nein","2017","2","Westdeutschland","4291","0.983618255703723","0.979843433122533","0.987393078284913"
"nein","2017","2","Ostdeutschland","1327","","",""
"nein","2017","3","Westdeutschland","5530","0.973223971733854","0.96901808355727","0.977429859910438"
"nein","2017","3","Ostdeutschland","1586","","",""
"nein","2017","4","Westdeutschland","7825","0.973614137699671","0.970108699139037","0.977119576260305"
"nein","2017","4","Ostdeutschland","2055","","",""
"nein","2017","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"nein","2017","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"ja","2018","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"ja","2018","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"ja","2018","2","Westdeutschland","58","0.0213744367203801","0.0167687040872391","0.025980169353521"
"ja","2018","2","Ostdeutschland","25","","",""
"ja","2018","3","Westdeutschland","138","","",""
"ja","2018","3","Ostdeutschland","19","","",""
"ja","2018","4","Westdeutschland","182","","",""
"ja","2018","4","Ostdeutschland","41","0.0120576123886307","0.0075588373294786","0.0165563874477827"
"ja","2018","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"ja","2018","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"nein","2018","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"nein","2018","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"nein","2018","2","Westdeutschland","3730","0.97862556327962","0.974019830646479","0.983231295912761"
"nein","2018","2","Ostdeutschland","1154","","",""
"nein","2018","3","Westdeutschland","5124","0.97285633669593","0.968465662066429","0.97724701132543"
"nein","2018","3","Ostdeutschland","1552","","",""
"nein","2018","4","Westdeutschland","7852","0.980936517458429","0.977946293278426","0.983926741638431"
"nein","2018","4","Ostdeutschland","2220","","",""
"nein","2018","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"nein","2018","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"ja","2019","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"ja","2019","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"ja","2019","2","Westdeutschland","34","0.0100730342776792","0.00664834058397676","0.0134977279713817"
"ja","2019","2","Ostdeutschland","6","0.00782304567726428","0.0023155542127238","0.0133305371418048"
"ja","2019","3","Westdeutschland","109","","",""
"ja","2019","3","Ostdeutschland","31","0.016663016526535","0.00985741743440296","0.0234686156186671"
"ja","2019","4","Westdeutschland","169","","",""
"ja","2019","4","Ostdeutschland","38","0.0119929526033005","0.00764882554488533","0.0163370796617157"
"ja","2019","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"ja","2019","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"nein","2019","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"nein","2019","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
