"hlc0178","year","hhtyp","quintil","n","percent","lower_confidence","upper_confidence"
"ja","2016","1-Pers.- Haushalt","1","","","",""
"ja","2016","1-Pers.- Haushalt","2","","","",""
"ja","2016","1-Pers.- Haushalt","3","","","",""
"ja","2016","1-Pers.- Haushalt","4","","","",""
"ja","2016","1-Pers.- Haushalt","5","","","",""
"ja","2016","(Ehe-)Paar ohne Kind(er)","1","","","",""
"ja","2016","(Ehe-)Paar ohne Kind(er)","2","","","",""
"ja","2016","(Ehe-)Paar ohne Kind(er)","3","","","",""
"ja","2016","(Ehe-)Paar ohne Kind(er)","4","58","0.0194560435901204","0.013713069424432","0.0251990177558088"
"ja","2016","(Ehe-)Paar ohne Kind(er)","5","120","0.0347056950228859","0.0284927782160128","0.0409186118297591"
"ja","2016","Alleinerziehende","1","","","",""
"ja","2016","Alleinerziehende","2","","","",""
"ja","2016","Alleinerziehende","3","","","",""
"ja","2016","Alleinerziehende","4","","","",""
"ja","2016","Alleinerziehende","5","","","",""
"ja","2016","Paar mit Kind(ern)","1","","","",""
"ja","2016","Paar mit Kind(ern)","2","","","",""
"ja","2016","Paar mit Kind(ern)","3","79","0.0213095192392806","0.0167572632691271","0.0258617752094341"
"ja","2016","Paar mit Kind(ern)","4","140","0.0262341557800542","0.0219168807269522","0.0305514308331562"
"ja","2016","Paar mit Kind(ern)","5","175","0.0514219676475373","0.0452799382916613","0.0575639970034134"
"ja","2016","Sonstige","1","","","",""
"ja","2016","Sonstige","2","","","",""
"ja","2016","Sonstige","3","","","",""
"ja","2016","Sonstige","4","","","",""
"ja","2016","Sonstige","5","","","",""
"nein","2016","1-Pers.- Haushalt","1","578","0.987292284523428","0.978231085840369","0.996353483206488"
"nein","2016","1-Pers.- Haushalt","2","479","0.991873316470324","0.983874786295424","0.999871846645225"
"nein","2016","1-Pers.- Haushalt","3","589","0.985646929105053","0.976129808620767","0.995164049589339"
"nein","2016","1-Pers.- Haushalt","4","902","0.991498674841849","0.985546654923726","0.997450694759972"
"nein","2016","1-Pers.- Haushalt","5","782","0.982151094382525","0.972970524298302","0.991331664466748"
"nein","2016","(Ehe-)Paar ohne Kind(er)","1","484","0.984274075839541","0.973258272785425","0.995289878893658"
"nein","2016","(Ehe-)Paar ohne Kind(er)","2","724","0.985379384759844","0.976719652390134","0.994039117129554"
"nein","2016","(Ehe-)Paar ohne Kind(er)","3","1362","0.985236542120119","0.97889174618998","0.991581338050257"
"nein","2016","(Ehe-)Paar ohne Kind(er)","4","2164","0.98054395640988","0.974800982244191","0.986286930575568"
"nein","2016","(Ehe-)Paar ohne Kind(er)","5","3214","0.965294304977114","0.959081388170241","0.971507221783987"
