year,hhtyp,quintil_oecd_hh,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,Single-person household,1st Quintile,No,1.00000,973,13966,0,0.95405,0,1.05158
2016,Single-person household,2nd Quintile,No,1.00000,715,13966,0,0.94650,0,1.04817
2016,Single-person household,3rd Quintile,No,1.00000,627,13966,0,0.94714,0,1.06161
2016,Single-person household,4th Quintile,No,1.00000,534,13966,0,0.94325,0,1.06506
2016,Single-person household,5th Quintile,No,1.00000,479,13966,0,0.92586,0,1.06478
2016,Couple without children,1st Quintile,No,1.00000,416,13966,0,0.90107,0,1.09196
2016,Couple without children,2nd Quintile,No,1.00000,712,13966,0,0.93200,0,1.06349
2016,Couple without children,3rd Quintile,No,1.00000,758,13966,0,0.93787,0,1.06729
2016,Couple without children,4th Quintile,No,1.00000,887,13966,0,0.93892,0,1.05616
2016,Couple without children,5th Quintile,Yes,0.03902,50,13966,0,0.03089,0,0.04720
2016,Couple without children,5th Quintile,No,0.96098,1201,13966,0,0.90316,0,1.02073
2016,Single parent,1st Quintile,No,1.00000,654,13966,0,0.90803,0,1.09051
2016,Single parent,2nd Quintile,No,1.00000,389,13966,0,0.88249,0,1.11455
2016,Single parent,3rd Quintile,No,1.00000,231,13966,0,0.87227,0,1.16594
2016,Single parent,4th Quintile,No,1.00000,149,13966,0,0.80977,0,1.19992
2016,Single parent,5th Quintile,No,1.00000,76,13966,0,0.79085,0,1.22752
2016,Couple with children,1st Quintile,No,1.00000,896,13966,0,0.90753,0,1.09517
2016,Couple with children,2nd Quintile,No,1.00000,1142,13966,0,0.91435,0,1.07945
2016,Couple with children,3rd Quintile,No,1.00000,1014,13966,0,0.92110,0,1.08042
2016,Couple with children,4th Quintile,No,1.00000,977,13966,0,0.92877,0,1.07152
2016,Couple with children,5th Quintile,Yes,0.03195,32,13966,0,0.02465,0,0.04246
2016,Couple with children,5th Quintile,No,0.96805,842,13966,0,0.89769,0,1.05523
2016,Multi-generational household,1st Quintile,No,1.00000,34,13966,0,0.61158,0,1.56436
2016,Multi-generational household,2nd Quintile,No,1.00000,31,13966,0,0.43726,0,1.68513
2016,Other Combinations,1st Quintile,No,1.00000,60,13966,0,0.77794,0,1.23995
2016,Other Combinations,2nd Quintile,No,1.00000,53,13966,0,0.73314,0,1.29161
2016,Other Combinations,3rd Quintile,No,1.00000,34,13966,0,0.71062,0,1.31538
2017,Single-person household,1st Quintile,No,1.00000,1114,15410,0,0.95047,0,1.04618
2017,Single-person household,2nd Quintile,No,1.00000,810,15410,0,0.94593,0,1.04590
2017,Single-person household,3rd Quintile,No,1.00000,692,15410,0,0.94481,0,1.04926
2017,Single-person household,4th Quintile,No,1.00000,597,15410,0,0.94642,0,1.06905
2017,Single-person household,5th Quintile,No,1.00000,540,15410,0,0.93996,0,1.07144
2017,Couple without children,1st Quintile,No,1.00000,440,15410,0,0.91015,0,1.09879
2017,Couple without children,2nd Quintile,No,1.00000,774,15410,0,0.94015,0,1.05892
2017,Couple without children,3rd Quintile,No,1.00000,870,15410,0,0.92515,0,1.07586
2017,Couple without children,4th Quintile,Yes,0.02870,31,15410,0,0.01902,0,0.04198
2017,Couple without children,4th Quintile,No,0.97130,1035,15410,0,0.91510,0,1.03085
2017,Couple without children,5th Quintile,Yes,0.03649,60,15410,0,0.03014,0,0.04372
2017,Couple without children,5th Quintile,No,0.96351,1370,15410,0,0.90656,0,1.01095
2017,Single parent,1st Quintile,No,1.00000,639,15410,0,0.91224,0,1.08094
2017,Single parent,2nd Quintile,No,1.00000,377,15410,0,0.88641,0,1.12534
2017,Single parent,3rd Quintile,No,1.00000,223,15410,0,0.88621,0,1.11652
2017,Single parent,4th Quintile,No,1.00000,171,15410,0,0.82901,0,1.20206
2017,Single parent,5th Quintile,No,1.00000,97,15410,0,0.83383,0,1.21511
2017,Couple with children,1st Quintile,No,1.00000,854,15410,0,0.92394,0,1.07040
2017,Couple with children,2nd Quintile,No,1.00000,1154,15410,0,0.92339,0,1.08319
2017,Couple with children,3rd Quintile,Yes,0.03331,36,15410,0,0.02195,0,0.04709
2017,Couple with children,3rd Quintile,No,0.96669,1135,15410,0,0.90513,0,1.03796
2017,Couple with children,4th Quintile,Yes,0.05287,41,15410,0,0.03286,0,0.07228
2017,Couple with children,4th Quintile,No,0.94713,1078,15410,0,0.88151,0,1.01540
2017,Couple with children,5th Quintile,Yes,0.04573,39,15410,0,0.02864,0,0.06419
2017,Couple with children,5th Quintile,No,0.95427,945,15410,0,0.88249,0,1.02427
2017,Multi-generational household,1st Quintile,No,1.00000,35,15410,0,0.66741,0,1.34344
2017,Other Combinations,1st Quintile,No,1.00000,74,15410,0,0.81428,0,1.22809
2017,Other Combinations,2nd Quintile,No,1.00000,45,15410,0,0.77242,0,1.20745
2017,Other Combinations,3rd Quintile,No,1.00000,45,15410,0,0.72927,0,1.26443
2017,Other Combinations,4th Quintile,No,1.00000,53,15410,0,0.74551,0,1.32576
2017,Other Combinations,5th Quintile,No,1.00000,36,15410,0,0.78910,0,1.18390
2018,Single-person household,1st Quintile,No,1.00000,1215,15159,0,0.94980,0,1.05228
2018,Single-person household,2nd Quintile,No,1.00000,878,15159,0,0.95193,0,1.06819
2018,Single-person household,3rd Quintile,No,1.00000,704,15159,0,0.94264,0,1.06004
2018,Single-person household,4th Quintile,No,1.00000,605,15159,0,0.94052,0,1.06344
2018,Single-person household,5th Quintile,No,1.00000,546,15159,0,0.93200,0,1.05266
2018,Couple without children,1st Quintile,No,1.00000,498,15159,0,0.89762,0,1.11072
2018,Couple without children,2nd Quintile,No,1.00000,809,15159,0,0.93509,0,1.05427
2018,Couple without children,3rd Quintile,No,1.00000,821,15159,0,0.93104,0,1.07533
2018,Couple without children,4th Quintile,No,1.00000,949,15159,0,0.95000,0,1.06903
2018,Couple without children,5th Quintile,Yes,0.03297,56,15159,0,0.02528,0,0.04110
2018,Couple without children,5th Quintile,No,0.96703,1347,15159,0,0.91831,0,1.01443
2018,Single parent,1st Quintile,No,1.00000,610,15159,0,0.90234,0,1.09428
2018,Single parent,2nd Quintile,No,1.00000,404,15159,0,0.87701,0,1.12510
2018,Single parent,3rd Quintile,No,1.00000,220,15159,0,0.82811,0,1.15389
2018,Single parent,4th Quintile,No,1.00000,162,15159,0,0.85686,0,1.17748
2018,Single parent,5th Quintile,No,1.00000,82,15159,0,0.78495,0,1.25551
2018,Couple with children,1st Quintile,No,1.00000,798,15159,0,0.87766,0,1.09467
2018,Couple with children,2nd Quintile,No,1.00000,1151,15159,0,0.91622,0,1.06825
2018,Couple with children,3rd Quintile,Yes,0.02957,33,15159,0,0.01579,0,0.04941
2018,Couple with children,3rd Quintile,No,0.97043,1052,15159,0,0.90457,0,1.04074
2018,Couple with children,4th Quintile,Yes,0.03506,34,15159,0,0.02139,0,0.05231
2018,Couple with children,4th Quintile,No,0.96494,1009,15159,0,0.89297,0,1.03909
2018,Couple with children,5th Quintile,Yes,0.05142,31,15159,0,0.03382,0,0.07146
2018,Couple with children,5th Quintile,No,0.94858,877,15159,0,0.88024,0,1.02337
2018,Multi-generational household,1st Quintile,No,1.00000,41,15159,0,0.71668,0,1.23870
2018,Other Combinations,1st Quintile,No,1.00000,66,15159,0,0.79069,0,1.21808
2018,Other Combinations,2nd Quintile,No,1.00000,49,15159,0,0.76600,0,1.35162
2018,Other Combinations,3rd Quintile,No,1.00000,36,15159,0,0.75379,0,1.25537
2018,Other Combinations,4th Quintile,No,1.00000,38,15159,0,0.72526,0,1.28578
2018,Other Combinations,5th Quintile,No,1.00000,38,15159,0,0.75966,0,1.26815
2019,Single-person household,1st Quintile,No,1.00000,1183,15858,0,0.95890,0,1.04658
2019,Single-person household,2nd Quintile,No,1.00000,821,15858,0,0.95215,0,1.04726
2019,Single-person household,3rd Quintile,No,1.00000,698,15858,0,0.93702,0,1.05956
2019,Single-person household,4th Quintile,No,1.00000,626,15858,0,0.92747,0,1.08423
2019,Single-person household,5th Quintile,No,1.00000,726,15858,0,0.92032,0,1.09185
2019,Couple without children,1st Quintile,No,1.00000,468,15858,0,0.87717,0,1.08777
2019,Couple without children,2nd Quintile,No,1.00000,752,15858,0,0.93495,0,1.07480
2019,Couple without children,3rd Quintile,No,1.00000,837,15858,0,0.93749,0,1.07043
2019,Couple without children,4th Quintile,No,1.00000,990,15858,0,0.93769,0,1.07938
2019,Couple without children,5th Quintile,Yes,0.03656,84,15858,0,0.02696,0,0.05052
2019,Couple without children,5th Quintile,No,0.96344,1902,15858,0,0.91515,0,1.03011
2019,Single parent,1st Quintile,No,1.00000,517,15858,0,0.89965,0,1.09506
2019,Single parent,2nd Quintile,No,1.00000,369,15858,0,0.87679,0,1.13776
2019,Single parent,3rd Quintile,No,1.00000,218,15858,0,0.85113,0,1.14935
2019,Single parent,4th Quintile,No,1.00000,163,15858,0,0.86184,0,1.20887
2019,Single parent,5th Quintile,No,1.00000,127,15858,0,0.76132,0,1.29437
2019,Couple with children,1st Quintile,No,1.00000,648,15858,0,0.90559,0,1.10249
2019,Couple with children,2nd Quintile,No,1.00000,948,15858,0,0.91374,0,1.08422
2019,Couple with children,3rd Quintile,Yes,0.03915,40,15858,0,0.02734,0,0.05013
2019,Couple with children,3rd Quintile,No,0.96085,1013,15858,0,0.87853,0,1.04011
2019,Couple with children,4th Quintile,Yes,0.03232,41,15858,0,0.02145,0,0.04521
2019,Couple with children,4th Quintile,No,0.96768,1029,15858,0,0.88866,0,1.04998
2019,Couple with children,5th Quintile,Yes,0.04874,59,15858,0,0.03363,0,0.06179
2019,Couple with children,5th Quintile,No,0.95126,1348,15858,0,0.86878,0,1.02599
2019,Multi-generational household,1st Quintile,No,1.00000,34,15858,0,0.63630,0,1.43301
2019,Other Combinations,1st Quintile,No,1.00000,40,15858,0,0.64031,0,1.43429
2019,Other Combinations,2nd Quintile,No,1.00000,43,15858,0,0.70742,0,1.34658
2019,Other Combinations,3rd Quintile,No,1.00000,48,15858,0,0.80966,0,1.23421
2019,Other Combinations,4th Quintile,No,1.00000,50,15858,0,0.78882,0,1.23586
2019,Other Combinations,5th Quintile,No,1.00000,36,15858,0,0.69175,0,1.38609
2020,Single-person household,1st Quintile,No,1.00000,1471,15966,0,0.94015,0,1.05373
2020,Single-person household,2nd Quintile,No,1.00000,959,15966,0,0.93642,0,1.06845
2020,Single-person household,3rd Quintile,No,1.00000,742,15966,0,0.92350,0,1.05989
2020,Single-person household,4th Quintile,No,1.00000,643,15966,0,0.92435,0,1.06127
2020,Single-person household,5th Quintile,Yes,0.04636,34,15966,0,0.02898,0,0.06461
2020,Single-person household,5th Quintile,No,0.95364,677,15966,0,0.87420,0,1.04308
2020,Couple without children,1st Quintile,No,1.00000,513,15966,0,0.88152,0,1.12855
2020,Couple without children,2nd Quintile,No,1.00000,876,15966,0,0.92345,0,1.09092
2020,Couple without children,3rd Quintile,No,1.00000,875,15966,0,0.93607,0,1.07756
2020,Couple without children,4th Quintile,No,1.00000,958,15966,0,0.92662,0,1.05797
2020,Couple without children,5th Quintile,Yes,0.03803,75,15966,0,0.02852,0,0.04782
2020,Couple without children,5th Quintile,No,0.96197,1655,15966,0,0.89293,0,1.03060
2020,Single parent,1st Quintile,No,1.00000,470,15966,0,0.87900,0,1.09439
2020,Single parent,2nd Quintile,No,1.00000,366,15966,0,0.87568,0,1.15376
2020,Single parent,3rd Quintile,No,1.00000,222,15966,0,0.83955,0,1.15037
2020,Single parent,4th Quintile,No,1.00000,147,15966,0,0.76986,0,1.21247
2020,Single parent,5th Quintile,No,1.00000,106,15966,0,0.78512,0,1.24555
2020,Couple with children,1st Quintile,No,1.00000,826,15966,0,0.89399,0,1.11819
2020,Couple with children,2nd Quintile,No,1.00000,968,15966,0,0.90932,0,1.08193
2020,Couple with children,3rd Quintile,No,1.00000,954,15966,0,0.91963,0,1.07337
2020,Couple with children,4th Quintile,Yes,0.03567,36,15966,0,0.02376,0,0.04854
2020,Couple with children,4th Quintile,No,0.96433,931,15966,0,0.88712,0,1.04805
2020,Couple with children,5th Quintile,Yes,0.04566,50,15966,0,0.03240,0,0.06369
2020,Couple with children,5th Quintile,No,0.95434,1076,15966,0,0.87326,0,1.04012
2020,Multi-generational household,1st Quintile,No,1.00000,44,15966,0,0.59905,0,1.40118
2020,Other Combinations,1st Quintile,No,1.00000,83,15966,0,0.64019,0,1.39224
2020,Other Combinations,2nd Quintile,No,1.00000,69,15966,0,0.66322,0,1.40770
2020,Other Combinations,3rd Quintile,No,1.00000,60,15966,0,0.70465,0,1.43532
2020,Other Combinations,4th Quintile,No,1.00000,47,15966,0,0.73962,0,1.24059
2020,Other Combinations,5th Quintile,No,1.00000,33,15966,0,0.73346,0,1.25349
2021,Single-person household,1st Quintile,No,1.00000,935,10644,0,0.93742,0,1.05748
2021,Single-person household,2nd Quintile,No,1.00000,622,10644,0,0.92230,0,1.06722
2021,Single-person household,3rd Quintile,No,1.00000,550,10644,0,0.92205,0,1.07795
2021,Single-person household,4th Quintile,No,1.00000,476,10644,0,0.91104,0,1.08030
2021,Single-person household,5th Quintile,No,1.00000,526,10644,0,0.90677,0,1.09289
2021,Couple without children,1st Quintile,No,1.00000,331,10644,0,0.88071,0,1.13530
2021,Couple without children,2nd Quintile,No,1.00000,555,10644,0,0.91309,0,1.10004
2021,Couple without children,3rd Quintile,No,1.00000,543,10644,0,0.88497,0,1.09439
2021,Couple without children,4th Quintile,No,1.00000,686,10644,0,0.92498,0,1.08545
2021,Couple without children,5th Quintile,Yes,0.04420,65,10644,0,0.03303,0,0.05651
2021,Couple without children,5th Quintile,No,0.95580,1162,10644,0,0.87882,0,1.02866
2021,Single parent,1st Quintile,No,1.00000,286,10644,0,0.86318,0,1.15536
2021,Single parent,2nd Quintile,No,1.00000,257,10644,0,0.84596,0,1.17188
2021,Single parent,3rd Quintile,No,1.00000,135,10644,0,0.81033,0,1.18545
2021,Single parent,4th Quintile,No,1.00000,119,10644,0,0.79999,0,1.29974
2021,Single parent,5th Quintile,No,1.00000,68,10644,0,0.72938,0,1.34642
2021,Couple with children,1st Quintile,No,1.00000,393,10644,0,0.88160,0,1.10755
2021,Couple with children,2nd Quintile,No,1.00000,631,10644,0,0.89656,0,1.09910
2021,Couple with children,3rd Quintile,No,1.00000,655,10644,0,0.91888,0,1.07872
2021,Couple with children,4th Quintile,No,1.00000,655,10644,0,0.90665,0,1.11156
2021,Couple with children,5th Quintile,Yes,0.06558,36,10644,0,0.03470,0,0.09836
2021,Couple with children,5th Quintile,No,0.93442,717,10644,0,0.83805,0,1.03587
2021,Other Combinations,1st Quintile,No,1.00000,45,10644,0,0.55453,0,1.63421
2021,Other Combinations,2nd Quintile,No,1.00000,51,10644,0,0.67339,0,1.31650
2021,Other Combinations,3rd Quintile,No,1.00000,44,10644,0,0.74740,0,1.24676
2021,Other Combinations,4th Quintile,No,1.00000,52,10644,0,0.72306,0,1.28695
2021,Other Combinations,5th Quintile,No,1.00000,49,10644,0,0.70110,0,1.38007
