year,hhtyp,sampreg,hlc0178,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,West,No,0.9822274881516587,16419,0.9802065027888601,0.9842484735144573
2016,Single-person household,West,Yes,0.017772511848341232,16419,0.015751526485542688,0.019793497211139776
2016,Single-person household,East,No,0.9894366197183099,16419,0.987872830670423,0.9910004087661968
2016,Single-person household,East,Yes,0.01056338028169014,16419,0.008999591233803287,0.012127169329576994
2016,Couple without children,West,No,0.9717257068573286,16419,0.9691902837496038,0.9742611299650534
2016,Couple without children,West,Yes,0.028274293142671433,16419,0.025738870034946564,0.030809716250396302
2016,Couple without children,East,No,0.9752229930624381,16419,0.972845281841929,0.9776007042829472
2016,Couple without children,East,Yes,0.024777006937561942,16419,0.022399295717052785,0.0271547181580711
2016,Single parent,West,No,0.9806397306397306,16419,0.9785321065202025,0.9827473547592588
2016,Single parent,West,Yes,0.01936026936026936,16419,0.017252645240741264,0.021467893479797454
2016,Single parent,East,No,0.9970149253731343,16419,0.9961804545693901,0.9978493961768785
2016,Single parent,East,Yes,0.0029850746268656717,16419,0.0021506038231215163,0.003819545430609827
2016,Couple with children,West,No,0.9769397069421091,16419,0.9746438278569528,0.9792355860272653
2016,Couple with children,West,Yes,0.023060293057890945,16419,0.02076441397273466,0.02535617214304723
2016,Couple with children,East,No,0.9829059829059829,16419,0.9809232656964291,0.9848887001155366
2016,Couple with children,East,Yes,0.017094017094017096,16419,0.015111299884463273,0.01907673430357092
2016,Multi-generational household,West,No,1.0,16419,1.0,1.0
2016,Multi-generational household,East,No,1.0,16419,1.0,1.0
2016,Other Combinations,West,No,0.9819277108433735,16419,0.9798900633178036,0.9839653583689434
2016,Other Combinations,West,Yes,0.018072289156626505,16419,0.016034641631056588,0.020109936682196423
2016,Other Combinations,East,No,0.9642857142857143,16419,0.9614470987804936,0.967124329790935
2016,Other Combinations,East,Yes,0.03571428571428571,16419,0.03287567020906507,0.03855290121950636
2017,Single-person household,West,No,0.9793489674483724,18279,0.9772872959101369,0.981410638986608
2017,Single-person household,West,Yes,0.02065103255162758,18279,0.01858936101339203,0.02271270408986313
2017,Single-person household,East,No,0.9876288659793815,18279,0.9860264270088941,0.9892313049498689
2017,Single-person household,East,Yes,0.012371134020618556,18279,0.010768695050131146,0.013973572991105966
2017,Couple without children,West,No,0.9723741007194244,18279,0.9699980551892255,0.9747501462496233
2017,Couple without children,West,Yes,0.02762589928057554,18279,0.025249853750376625,0.030001944810774457
2017,Couple without children,East,No,0.980565371024735,18279,0.9785640983854529,0.982566643664017
2017,Couple without children,East,Yes,0.019434628975265017,18279,0.017433356335982943,0.02143590161454709
2017,Single parent,West,No,0.9766081871345029,18279,0.9744170378074654,0.9787993364615405
2017,Single parent,West,Yes,0.023391812865497075,18279,0.021200663538459494,0.025582962192534656
2017,Single parent,East,No,0.9883040935672515,18279,0.9867454669280906,0.9898627202064123
2017,Single parent,East,Yes,0.011695906432748537,18279,0.010137279793587747,0.013254533071909328
2017,Couple with children,West,No,0.9736543265955031,18279,0.9713324619117132,0.975976191279293
2017,Couple with children,West,Yes,0.026345673404496932,18279,0.02402380872070699,0.028667538088286874
2017,Couple with children,East,No,0.9680968096809681,18279,0.9655490626348495,0.9706445567270867
2017,Couple with children,East,Yes,0.0319031903190319,18279,0.02935544327291325,0.03445093736515056
2017,Multi-generational household,West,No,1.0,18279,1.0,1.0
2017,Multi-generational household,East,No,1.0,18279,1.0,1.0
2017,Other Combinations,West,No,0.9732142857142857,18279,0.9708736398611051,0.9755549315674663
2017,Other Combinations,West,Yes,0.026785714285714284,18279,0.024445068432533697,0.029126360138894872
2017,Other Combinations,East,No,1.0,18279,1.0,1.0
2018,Single-person household,West,No,0.9796598866288763,17878,0.9775906462129541,0.9817291270447984
2018,Single-person household,West,Yes,0.020340113371123708,17878,0.018270872955201516,0.0224093537870459
2018,Single-person household,East,No,0.9911937377690803,17878,0.9898242073388515,0.9925632681993091
