year,bula_h,hhtyp,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Single-person household,No,0.98633,124,124,0.96580,1.00685
2016,Schleswig-Holstein,Couple without children,No,0.98334,128,128,0.96109,1.00560
2016,Schleswig-Holstein,Single parent,No,0.98563,57,57,0.95446,1.01680
2016,Schleswig-Holstein,Couple with children,No,0.96710,169,169,0.94013,0.99407
2016,Hamburg,Single-person household,No,0.99953,69,69,0.99436,1.00469
2016,Lower Saxony,Single-person household,No,0.99094,284,284,0.97990,1.00198
2016,Lower Saxony,Couple without children,No,0.98087,383,383,0.96713,0.99461
2016,Lower Saxony,Single parent,No,0.97891,151,151,0.95591,1.00190
2016,Lower Saxony,Couple with children,No,0.97267,465,465,0.95784,0.98751
2016,North Rhine-Westphalia,Single-person household,No,0.98533,596,596,0.97568,0.99499
2016,North Rhine-Westphalia,Couple without children,No,0.98455,765,765,0.97580,0.99329
2016,North Rhine-Westphalia,Single parent,No,0.98609,307,307,0.97296,0.99921
2016,North Rhine-Westphalia,Couple with children,No,0.98974,1125,1125,0.98385,0.99563
2016,Hesse,Single-person household,No,0.97217,204,204,0.94954,0.99480
2016,Hesse,Couple without children,No,0.98281,272,272,0.96733,0.99828
2016,Hesse,Single parent,No,0.99613,109,109,0.98441,1.00784
2016,Hesse,Couple with children,No,0.97866,335,335,0.96316,0.99416
2016,"Rhineland-Palatinate, Saarland",Single-person household,No,0.99653,202,202,0.98840,1.00466
2016,"Rhineland-Palatinate, Saarland",Couple without children,No,0.97192,232,232,0.95061,0.99322
2016,"Rhineland-Palatinate, Saarland",Single parent,No,0.96973,79,79,0.93171,1.00775
2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.96441,292,292,0.94313,0.98570
2016,Baden-Wuerttemberg,Single-person household,No,0.98648,341,341,0.97420,0.99876
2016,Baden-Wuerttemberg,Couple without children,No,0.96339,410,410,0.94520,0.98159
2016,Baden-Wuerttemberg,Couple with children,No,0.93195,642,642,0.91245,0.95144
2016,Bavaria,Single-person household,No,0.99430,511,511,0.98777,1.00084
2016,Bavaria,Couple without children,No,0.96800,619,619,0.95413,0.98188
2016,Bavaria,Single parent,No,0.97422,230,230,0.95370,0.99475
2016,Bavaria,Couple with children,No,0.97976,842,842,0.97024,0.98928
2016,Berlin,Single-person household,No,0.98391,221,221,0.96728,1.00053
2016,Berlin,Couple without children,No,0.95883,159,159,0.92785,0.98981
2016,Berlin,Couple with children,No,0.93605,133,133,0.89431,0.97779
2016,Brandenburg,Single-person household,No,0.96505,132,132,0.93360,0.99650
2016,Brandenburg,Couple without children,No,0.95644,209,209,0.92870,0.98418
2016,Brandenburg,Couple with children,No,0.98934,148,148,0.97275,1.00594
2016,Mecklenburg-Western Pomerania,Couple without children,No,0.95003,99,99,0.90690,0.99317
2016,Saxony,Single-person household,No,0.98733,225,225,0.97268,1.00198
2016,Saxony,Couple without children,No,0.98709,280,280,0.97384,1.00034
2016,Saxony,Single parent,No,0.99228,91,91,0.97420,1.01036
2016,Saxony,Couple with children,No,0.98309,239,239,0.96671,0.99947
2016,Saxony-Anhalt,Single-person household,No,0.97565,143,143,0.95029,1.00100
2016,Saxony-Anhalt,Couple without children,No,0.98754,151,151,0.96978,1.00529
2016,Saxony-Anhalt,Couple with children,No,0.98783,131,131,0.96897,1.00668
2016,Thuringa,Couple without children,No,0.98011,178,178,0.95954,1.00068
2016,Thuringa,Couple with children,No,0.97426,147,147,0.94857,0.99995
2017,Schleswig-Holstein,Single-person household,No,0.97024,129,129,0.94080,0.99968
2017,Schleswig-Holstein,Couple without children,No,0.97270,159,159,0.94730,0.99811
2017,Schleswig-Holstein,Single parent,No,0.94254,61,61,0.88366,1.00143
2017,Schleswig-Holstein,Couple with children,No,0.93754,193,193,0.90331,0.97177
2017,Hamburg,Single-person household,No,0.98574,74,74,0.95853,1.01294
2017,Hamburg,Couple without children,No,0.99094,85,85,0.97068,1.01120
2017,Hamburg,Couple with children,No,0.98455,95,95,0.95962,1.00948
2017,Lower Saxony,Single-person household,No,0.98154,341,341,0.96723,0.99585
2017,Lower Saxony,Couple without children,No,0.97340,448,448,0.95848,0.98831
2017,Lower Saxony,Single parent,No,0.98158,157,157,0.96047,1.00268
2017,Lower Saxony,Couple with children,No,0.96554,517,517,0.94980,0.98128
2017,Bremen,Single-person household,No,0.97773,37,37,0.92953,1.02593
2017,Bremen,Couple with children,No,0.98477,36,36,0.94420,1.02534
2017,North Rhine-Westphalia,Single-person household,No,0.98105,678,678,0.97078,0.99132
2017,North Rhine-Westphalia,Couple without children,No,0.98563,882,882,0.97777,0.99349
