"hlc0178","year","bula_h","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"ja","2016","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Schleswig-Holstein","2","4","0.019150248183988","0.00112172924651838","0.0371787671214576"
"ja","2016","Schleswig-Holstein","3","5","0.0030800548780054","-0.00424222155198056","0.0104023313079914"
"ja","2016","Schleswig-Holstein","4","20","","",""
"ja","2016","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Hamburg","2","","","",""
"ja","2016","Hamburg","3","1","","",""
"ja","2016","Hamburg","4","","","",""
"ja","2016","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Niedersachsen","2","7","0.0143738952552715","0.00518108081269284","0.0235667096978502"
"ja","2016","Niedersachsen","3","33","0.0404495357297791","0.0254306386276632","0.0554684328318951"
"ja","2016","Niedersachsen","4","26","","",""
"ja","2016","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Bremen","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Bremen","2","","","",""
"ja","2016","Bremen","3","","","",""
"ja","2016","Bremen","4","","","",""
"ja","2016","Bremen","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Nordrhein-Westfalen","2","5","0.00190030059992177","-0.000362486822654153","0.00416308802249769"
"ja","2016","Nordrhein-Westfalen","3","23","","",""
"ja","2016","Nordrhein-Westfalen","4","28","","",""
"ja","2016","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Hessen","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Hessen","2","6","0.0173784107520667","0.00399071826361342","0.0307661032405199"
"ja","2016","Hessen","3","7","0.0139984516710547","0.00328557999314695","0.0247113233489625"
"ja","2016","Hessen","4","12","","",""
"ja","2016","Hessen","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"ja","2016","Rheinland-Pfalz,Saarland","2","2","","",""
"ja","2016","Rheinland-Pfalz,Saarland","3","9","0.0464606718485532","0.0257561652499319","0.0671651784471745"
"ja","2016","Rheinland-Pfalz,Saarland","4","11","","",""
"ja","2016","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"ja","2016","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
