,Unnamed: 0,year,hhtyp,regtyp,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Single-person household,Urban regions,Yes,0.01176,37,14232,0.00939,0.01479
1,1,2016,Single-person household,Urban regions,No,0.98824,2277,14232,0.96119,1.02248
2,2,2016,Single-person household,Rural regions,No,1.0,1053,14232,0.95469,1.04821
3,3,2016,Couple without children,Urban regions,Yes,0.02401,71,14232,0.01926,0.03002
4,4,2016,Couple without children,Urban regions,No,0.97599,2488,14232,0.93808,1.01734
5,5,2016,Couple without children,Rural regions,Yes,0.02509,41,14232,0.01833,0.0316
6,6,2016,Couple without children,Rural regions,No,0.97491,1486,14232,0.93006,1.02344
7,7,2016,Single parent,Urban regions,No,1.0,972,14232,0.92586,1.07276
8,8,2016,Single parent,Rural regions,No,1.0,527,14232,0.90724,1.10543
9,9,2016,Couple with children,Urban regions,Yes,0.03185,73,14232,0.02334,0.04336
10,10,2016,Couple with children,Urban regions,No,0.96815,3212,14232,0.92518,1.0122
11,11,2016,Couple with children,Rural regions,Yes,0.02116,37,14232,0.01519,0.02786
12,12,2016,Couple with children,Rural regions,No,0.97884,1660,14232,0.92313,1.03735
13,13,2016,Multi-generational household,Urban regions,No,1.0,64,14232,0.71122,1.30143
14,14,2016,Multi-generational household,Rural regions,No,1.0,44,14232,0.62696,1.44223
15,15,2016,Other Combinations,Urban regions,No,1.0,133,14232,0.83085,1.14906
16,16,2016,Other Combinations,Rural regions,No,1.0,57,14232,0.71783,1.2932
17,17,2017,Single-person household,Urban regions,Yes,0.01767,47,15595,0.01445,0.02091
18,18,2017,Single-person household,Urban regions,No,0.98233,2538,15595,0.95487,1.00954
19,19,2017,Single-person household,Rural regions,No,1.0,1218,15595,0.95254,1.04306
20,20,2017,Couple without children,Urban regions,Yes,0.02154,78,15595,0.01845,0.02549
21,21,2017,Couple without children,Urban regions,No,0.97846,2810,15595,0.94243,1.013
22,22,2017,Couple without children,Rural regions,Yes,0.02688,40,15595,0.01801,0.03748
23,23,2017,Couple without children,Rural regions,No,0.97312,1679,15595,0.92076,1.01737
24,24,2017,Single parent,Urban regions,No,1.0,974,15595,0.92652,1.07814
25,25,2017,Single parent,Rural regions,No,1.0,533,15595,0.8872,1.11067
26,26,2017,Couple with children,Urban regions,Yes,0.03558,96,15595,0.02628,0.04547
27,27,2017,Couple with children,Urban regions,No,0.96442,3397,15595,0.92828,1.00757
28,28,2017,Couple with children,Rural regions,Yes,0.04271,49,15595,0.02843,0.05888
29,29,2017,Couple with children,Rural regions,No,0.95729,1770,15595,0.89888,1.01252
30,30,2017,Multi-generational household,Urban regions,No,1.0,69,15595,0.79111,1.23404
31,31,2017,Multi-generational household,Rural regions,No,1.0,44,15595,0.6071,1.50417
32,32,2017,Other Combinations,Urban regions,No,1.0,179,15595,0.89761,1.12045
33,33,2017,Other Combinations,Rural regions,No,1.0,74,15595,0.76282,1.2341
34,34,2018,Single-person household,Urban regions,Yes,0.01737,54,15384,0.01335,0.02133
35,35,2018,Single-person household,Urban regions,No,0.98263,2701,15384,0.95017,1.01512
36,36,2018,Single-person household,Rural regions,No,1.0,1250,15384,0.95407,1.0419
37,37,2018,Couple without children,Urban regions,Yes,0.02738,83,15384,0.02188,0.03422
38,38,2018,Couple without children,Urban regions,No,0.97262,2777,15384,0.93966,1.00886
39,39,2018,Couple without children,Rural regions,Yes,0.01511,33,15384,0.01044,0.02127
40,40,2018,Couple without children,Rural regions,No,0.98489,1648,15384,0.93905,1.04203
41,41,2018,Single parent,Urban regions,No,1.0,982,15384,0.93028,1.07668
