,Unnamed: 0,year,hhtyp,rentown,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Single-person household,Owner,No,1.0,915,14205,0.96084,1.04609
1,1,2016,Single-person household,Tenant,Yes,0.01207,37,14205,0.00902,0.01493
2,2,2016,Single-person household,Tenant,No,0.98793,2414,14205,0.95734,1.02441
3,3,2016,Couple without children,Owner,Yes,0.02671,68,14205,0.02199,0.0312
4,4,2016,Couple without children,Owner,No,0.97329,2149,14205,0.93901,1.02009
5,5,2016,Couple without children,Tenant,Yes,0.02111,44,14205,0.01478,0.02948
6,6,2016,Couple without children,Tenant,No,0.97889,1825,14205,0.93383,1.03456
7,7,2016,Single parent,Owner,No,1.0,376,14205,0.90602,1.10561
8,8,2016,Single parent,Tenant,No,1.0,1123,14205,0.93177,1.07025
9,9,2016,Couple with children,Owner,Yes,0.03755,84,14205,0.02811,0.04778
10,10,2016,Couple with children,Owner,No,0.96245,2572,14205,0.91769,1.01423
11,11,2016,Couple with children,Tenant,No,1.0,2300,14205,0.95058,1.05298
12,12,2016,Multi-generational household,Owner,No,1.0,52,14205,0.70464,1.32844
13,13,2016,Multi-generational household,Tenant,No,1.0,56,14205,0.70283,1.4376
14,14,2016,Other Combinations,Owner,No,1.0,48,14205,0.72123,1.27191
15,15,2016,Other Combinations,Tenant,No,1.0,142,14205,0.84225,1.19038
16,16,2017,Single-person household,Owner,No,1.0,988,15590,0.95272,1.04259
17,17,2017,Single-person household,Tenant,Yes,0.01607,42,15590,0.01173,0.01989
18,18,2017,Single-person household,Tenant,No,0.98393,2768,15590,0.95783,1.01329
19,19,2017,Couple without children,Owner,Yes,0.02744,78,15590,0.02247,0.03169
20,20,2017,Couple without children,Owner,No,0.97256,2448,15590,0.93922,1.00676
21,21,2017,Couple without children,Tenant,Yes,0.01717,40,15590,0.01263,0.02469
22,22,2017,Couple without children,Tenant,No,0.98283,2041,15590,0.94119,1.02616
23,23,2017,Single parent,Owner,No,1.0,394,15590,0.90021,1.09489
24,24,2017,Single parent,Tenant,No,1.0,1113,15590,0.92901,1.06608
25,25,2017,Couple with children,Owner,Yes,0.04491,111,15590,0.03387,0.05701
26,26,2017,Couple with children,Owner,No,0.95509,2842,15590,0.91537,1.00016
27,27,2017,Couple with children,Tenant,Yes,0.02706,34,15590,0.01661,0.03748
28,28,2017,Couple with children,Tenant,No,0.97294,2325,15590,0.92595,1.01754
29,29,2017,Multi-generational household,Owner,No,1.0,56,15590,0.75717,1.2843
30,30,2017,Multi-generational household,Tenant,No,1.0,57,15590,0.76326,1.32454
31,31,2017,Other Combinations,Owner,No,1.0,87,15590,0.79826,1.20202
32,32,2017,Other Combinations,Tenant,No,1.0,166,15590,0.85355,1.16397
33,33,2018,Single-person household,Owner,Yes,0.02864,36,15400,0.02281,0.03591
34,34,2018,Single-person household,Owner,No,0.97136,972,15400,0.92481,1.01689
35,35,2018,Single-person household,Tenant,Yes,0.01023,34,15400,0.00731,0.01381
36,36,2018,Single-person household,Tenant,No,0.98977,2979,15400,0.95984,1.01866
37,37,2018,Couple without children,Owner,Yes,0.02706,77,15400,0.02187,0.03446
38,38,2018,Couple without children,Owner,No,0.97294,2384,15400,0.93196,1.00923
39,39,2018,Couple without children,Tenant,Yes,0.01772,39,15400,0.01244,0.023
40,40,2018,Couple without children,Tenant,No,0.98228,2041,15400,0.93984,1.03051
41,41,2018,Single parent,Owner,No,1.0,361,15400,0.88643,1.10621
42,42,2018,Single parent,Tenant,No,1.0,1118,15400,0.92699,1.07504
43,43,2018,Couple with children,Owner,Yes,0.04013,95,15400,0.03037,0.05132
44,44,2018,Couple with children,Owner,No,0.95987,2661,15400,0.91726,1.00574
45,45,2018,Couple with children,Tenant,Yes,0.01804,34,15400,0.0112,0.02611
46,46,2018,Couple with children,Tenant,No,0.98196,2226,15400,0.9379,1.04032
47,47,2018,Multi-generational household,Owner,No,1.0,54,15400,0.72561,1.33122
48,48,2018,Multi-generational household,Tenant,No,1.0,62,15400,0.71295,1.27693
49,49,2018,Other Combinations,Owner,No,1.0,85,15400,0.83201,1.20328
50,50,2018,Other Combinations,Tenant,No,1.0,142,15400,0.8495,1.18405
51,51,2019,Single-person household,Owner,Yes,0.0204,37,16086,0.01297,0.02923
52,52,2019,Single-person household,Owner,No,0.9796,1147,16086,0.92737,1.03436
53,53,2019,Single-person household,Tenant,Yes,0.01242,41,16086,0.00889,0.01645
54,54,2019,Single-person household,Tenant,No,0.98758,2911,16086,0.9496,1.02246
55,55,2019,Couple without children,Owner,Yes,0.02782,104,16086,0.02104,0.03512
56,56,2019,Couple without children,Owner,No,0.97218,2874,16086,0.92894,1.01666
57,57,2019,Couple without children,Tenant,Yes,0.01723,33,16086,0.01195,0.02271
58,58,2019,Couple without children,Tenant,No,0.98277,2075,16086,0.93489,1.03073
59,59,2019,Single parent,Owner,No,1.0,381,16086,0.86896,1.13777
60,60,2019,Single parent,Tenant,No,1.0,1013,16086,0.92852,1.09406
61,61,2019,Couple with children,Owner,Yes,0.04498,122,16086,0.03663,0.05644
62,62,2019,Couple with children,Owner,No,0.95502,3036,16086,0.9018,1.00603
63,63,2019,Couple with children,Tenant,Yes,0.01779,42,16086,0.01275,0.02417
64,64,2019,Couple with children,Tenant,No,0.98221,1950,16086,0.92766,1.0359
65,65,2019,Multi-generational household,Owner,No,1.0,53,16086,0.68066,1.30625
66,66,2019,Multi-generational household,Tenant,No,1.0,50,16086,0.70329,1.39209
67,67,2019,Other Combinations,Owner,No,1.0,95,16086,0.84117,1.19291
68,68,2019,Other Combinations,Tenant,No,1.0,122,16086,0.81375,1.23212
69,69,2020,Single-person household,Owner,Yes,0.02451,32,16211,0.01596,0.03426
