year,quintil_oecd_hh,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Yes,0.00970,31,3091,0.00624,0.01315
2016,1st Quintile,No,0.96163,3060,3091,0.95486,0.96841
2016,2nd Quintile,Yes,0.01135,49,3034,0.00758,0.01512
2016,2nd Quintile,No,0.98579,2985,3034,0.98158,0.99000
2016,3rd Quintile,Yes,0.01534,47,2739,0.01074,0.01995
2016,3rd Quintile,No,0.98103,2692,2739,0.97592,0.98614
2016,4th Quintile,Yes,0.02252,77,2656,0.01687,0.02816
2016,4th Quintile,No,0.97388,2579,2656,0.96782,0.97995
2016,5th Quintile,Yes,0.03553,98,2752,0.02861,0.04245
2016,5th Quintile,No,0.96398,2654,2752,0.95702,0.97094
2017,1st Quintile,No,0.96035,3175,3175,0.95356,0.96714
2017,2nd Quintile,Yes,0.01855,57,3234,0.01390,0.02320
2017,2nd Quintile,No,0.97827,3177,3234,0.97324,0.98329
2017,3rd Quintile,Yes,0.03000,81,3084,0.02398,0.03602
2017,3rd Quintile,No,0.96896,3003,3084,0.96284,0.97509
2017,4th Quintile,Yes,0.02779,93,3043,0.02195,0.03363
2017,4th Quintile,No,0.97106,2950,3043,0.96510,0.97702
2017,5th Quintile,Yes,0.03412,116,3092,0.02772,0.04052
2017,5th Quintile,No,0.96554,2976,3092,0.95910,0.97197
2018,1st Quintile,Yes,0.01011,36,3306,0.00670,0.01352
2018,1st Quintile,No,0.95809,3270,3306,0.95126,0.96492
2018,2nd Quintile,Yes,0.01428,50,3292,0.01022,0.01833
2018,2nd Quintile,No,0.98102,3242,3292,0.97635,0.98568
2018,3rd Quintile,Yes,0.02074,66,2941,0.01559,0.02589
2018,3rd Quintile,No,0.97719,2875,2941,0.97179,0.98259
2018,4th Quintile,Yes,0.02629,78,2879,0.02044,0.03213
2018,4th Quintile,No,0.97292,2801,2879,0.96699,0.97885
2018,5th Quintile,Yes,0.03825,118,3010,0.03140,0.04510
2018,5th Quintile,No,0.96109,2892,3010,0.95419,0.96800
2019,1st Quintile,No,0.95326,2912,2912,0.94560,0.96093
2019,2nd Quintile,Yes,0.01514,41,3030,0.01079,0.01949
2019,2nd Quintile,No,0.98056,2989,3030,0.97565,0.98548
2019,3rd Quintile,Yes,0.02046,81,2873,0.01529,0.02564
2019,3rd Quintile,No,0.97907,2792,2873,0.97383,0.98430
2019,4th Quintile,Yes,0.03260,89,2925,0.02617,0.03904
2019,4th Quintile,No,0.96730,2836,2925,0.96086,0.97375
2019,5th Quintile,Yes,0.03142,169,4343,0.02623,0.03660
2019,5th Quintile,No,0.96632,4174,4343,0.96095,0.97168
2020,1st Quintile,Yes,0.01428,40,3438,0.01031,0.01824
2020,1st Quintile,No,0.93906,3398,3438,0.93106,0.94706
2020,2nd Quintile,Yes,0.01429,38,3330,0.01026,0.01832
2020,2nd Quintile,No,0.97810,3292,3330,0.97312,0.98307
2020,3rd Quintile,Yes,0.02401,70,2876,0.01842,0.02961
2020,3rd Quintile,No,0.97278,2806,2876,0.96683,0.97873
2020,4th Quintile,Yes,0.02973,80,2862,0.02351,0.03595
2020,4th Quintile,No,0.96724,2782,2862,0.96072,0.97377
2020,5th Quintile,Yes,0.04273,172,3738,0.03624,0.04921
2020,5th Quintile,No,0.95327,3566,3738,0.94650,0.96003
2021,1st Quintile,Yes,0.02184,35,2039,0.01549,0.02818
2021,1st Quintile,No,0.93218,2004,2039,0.92126,0.94309
2021,2nd Quintile,Yes,0.01694,39,2179,0.01152,0.02236
2021,2nd Quintile,No,0.97203,2140,2179,0.96510,0.97895
2021,3rd Quintile,Yes,0.01812,52,2031,0.01232,0.02392
2021,3rd Quintile,No,0.97856,1979,2031,0.97226,0.98486
2021,4th Quintile,Yes,0.02406,72,2085,0.01748,0.03064
2021,4th Quintile,No,0.97497,2013,2085,0.96827,0.98168
2021,5th Quintile,Yes,0.03970,125,2711,0.03235,0.04705
2021,5th Quintile,No,0.95829,2586,2711,0.95077,0.96582
2022,1st Quintile,Yes,0.02329,118,4466,0.01886,0.02771
2022,1st Quintile,No,0.93639,4348,4466,0.92923,0.94355
2022,2nd Quintile,Yes,0.01763,61,3863,0.01348,0.02178
2022,2nd Quintile,No,0.96447,3802,3863,0.95863,0.97031
2022,3rd Quintile,Yes,0.02331,99,3389,0.01823,0.02839
2022,3rd Quintile,No,0.97162,3290,3389,0.96603,0.97721
2022,4th Quintile,Yes,0.03347,125,3413,0.02743,0.03950
2022,4th Quintile,No,0.96144,3288,3413,0.95498,0.96790
2022,5th Quintile,Yes,0.03968,169,3824,0.03349,0.04587
2022,5th Quintile,No,0.95594,3655,3824,0.94944,0.96245
