year,sampreg,hlf0613,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,West,Yes,0.60377,7675,12907,0.59533,0.61221
2016,West,No,0.39623,5232,12907,0.38779,0.40467
2016,East,Yes,0.54277,1815,3453,0.52615,0.55939
2016,East,No,0.45723,1638,3453,0.44061,0.47385
2017,West,Yes,0.64156,8926,14448,0.63374,0.64938
2017,West,No,0.35844,5522,14448,0.35062,0.36626
2017,East,Yes,0.56243,2089,3785,0.54662,0.57824
2017,East,No,0.43757,1696,3785,0.42176,0.45338
2018,West,Yes,0.66705,9009,14059,0.65926,0.67484
2018,West,No,0.33295,5050,14059,0.32516,0.34074
2018,East,Yes,0.56889,2145,3776,0.55309,0.58468
2018,East,No,0.43111,1631,3776,0.41532,0.44691
2019,Does not apply,Yes,0.65569,42,42,0.51025,0.80113
2019,West,Yes,0.68746,9157,12473,0.67933,0.69560
2019,West,No,0.31254,3316,12473,0.30440,0.32067
2019,East,Yes,0.60828,2379,3589,0.59231,0.62425
2019,East,No,0.39172,1210,3589,0.37575,0.40769
2021,West,Yes,0.51483,5289,9953,0.50501,0.52464
2021,West,No,0.48517,4664,9953,0.47536,0.49499
2021,East,Yes,0.48952,1308,2582,0.47024,0.50881
2021,East,No,0.51048,1274,2582,0.49119,0.52976
