year,rentown,hlf0613,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Not included in this version of the questionnaire,Yes,0.30809,565,2098,0.28833,0.32786
2016,Not included in this version of the questionnaire,No,0.69191,1533,2098,0.67214,0.71167
2016,Owner,Yes,0.62366,4207,6288,0.61168,0.63564
2016,Owner,No,0.37634,2081,6288,0.36436,0.38832
2016,Tenant,Yes,0.56912,4718,7973,0.55825,0.57999
2016,Tenant,No,0.43088,3255,7973,0.42001,0.44175
2017,Not included in this version of the questionnaire,Yes,0.18758,158,798,0.16048,0.21469
2017,Not included in this version of the questionnaire,No,0.81242,640,798,0.78531,0.83952
2017,Owner,Yes,0.66428,5001,7049,0.65326,0.67531
2017,Owner,No,0.33572,2048,7049,0.32469,0.34674
2017,Tenant,Yes,0.59736,5856,10386,0.58793,0.60680
2017,Tenant,No,0.40264,4530,10386,0.39320,0.41207
2018,Owner,Yes,0.69753,4933,6747,0.68657,0.70849
2018,Owner,No,0.30247,1814,6747,0.29151,0.31343
2018,Tenant,Yes,0.60809,6221,11088,0.59900,0.61718
2018,Tenant,No,0.39191,4867,11088,0.38282,0.40100
2019,Owner,Yes,0.70808,5996,7871,0.69804,0.71813
2019,Owner,No,0.29192,1875,7871,0.28187,0.30196
2019,Tenant,Yes,0.64287,5582,8254,0.63254,0.65321
2019,Tenant,No,0.35713,2672,8254,0.34679,0.36746
2021,Owner,Yes,0.51877,2947,5088,0.50504,0.53250
2021,Owner,No,0.48123,2141,5088,0.46750,0.49496
2021,Tenant,Yes,0.50284,3647,7444,0.49148,0.51420
2021,Tenant,No,0.49716,3797,7444,0.48580,0.50852
