"year","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","20002.31","19313.5","7105","7853","12244","25160","33038","55409","19761.42","20243.2","0","102871","20531","20999"
"1995","2","25072.21","24373","4950","12374","17396","31078","38140","55121","24782.28","25362.14","205","91660","26137","26717"
"1995","3","31896.16","30190.5","3017","16708","22805","39106","47877","73668","31370.42","32421.9","448","210927","31252","32388"
"1995","4","","","","","","","","","","","","","",""
"1995","5 Einkommensstärkstes Quintil","50267.23","47800","845","24436","36027","61265","72952","140905","48742.42","51792.04","4835","164014","50286","52937"
"1996","1 Einkommensschwächstes Quintil","20187.03","19038.5","6374","7592","11929","25553","33408","58994","19917.92","20456.14","0","99899","20743","21222"
"1996","2","25886.74","25064.5","4936","12735","18300","31575","39095","64257","25590.39","26183.09","0","95012","26360","26867"
"1996","3","31293.12","29858.5","3156","16580","22098","38511","47691","72310","30873.17","31713.07","0","93412","31413","32203"
"1996","4","","","","","","","","","","","","","",""
"1996","5 Einkommensstärkstes Quintil","49892.25","46950","972","24386","36488","59328","75269","136973","48347.04","51437.46","1227","261326","48705","51739"
"1997","1 Einkommensschwächstes Quintil","21415.39","20010.5","5987","7883","12821","26467","35293","68861","21113.41","21717.37","0","130418","21585","22180"
"1997","2","26026.35","24809","4827","12486","17904","32207","39969","60383","25707.48","26345.22","388","106188","26652","27231"
"1997","3","30984.15","29924.5","3291","16676","22731","37535","46128","62288","30582.93","31385.37","2801","107793","31194","32111"
"1997","4","","","","","","","","","","","","","",""
"1997","5 Einkommensstärkstes Quintil","51433.69","48246","967","26944","38646","61424","75774","124611","49996.21","52871.17","5039","192239","49742","52283"
"1998","1 Einkommensschwächstes Quintil","21049.94","20110.5","6439","8017","13076","26980","34162","54182","20781.87","21318.01","0","117645","21357","21940"
"1998","2","26023.33","24912","5174","12614","17923","31716","39472","61159","25715.69","26330.97","246","110408","26591","27167"
"1998","3","30045.12","28761.5","3597","16561","22506","36461","44265","60755","29681.13","30409.11","973","83498","29694","30592"
"1998","4","","","","","","","","","","","","","",""
"1998","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1999","1 Einkommensschwächstes Quintil","20342.52","19764","5258","7981","12290","25748","33557","57757","20038.52","20646.52","108","175477","21337","21901"
"1999","2","26080.32","25413.5","5303","12468","17898","31647","38940","62172","25770.56","26390.08","3878","188176","26689","27254"
"1999","3","32335.79","30233.5","3663","17045","22856","39244","49214","80520","31924.12","32747.46","3493","108039","30716","31529"
"1999","4","","","","","","","","","","","","","",""
"1999","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2000","1 Einkommensschwächstes Quintil","21239.8","19885","8689","7935","11864","27193","35867","64615","20981.23","21498.37","0","151402","21485","22077"
"2000","2","26698.17","26047.5","8714","12663","18322","32189","40458","65807","26450.03","26946.31","0","117155","27335","27763"
"2000","3","31850.1","30599","6738","16846","22747","38713","48399","72664","31531.57","32168.63","1668","217961","31618","32314"
"2000","4","38199.81","36059.5","4752","20443","27916","45656","58214","81511","37708.86","38690.76","0","314477","37502","38404"
"2000","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2001","1 Einkommensschwächstes Quintil","21129.6","18925","7277","8109","11555","27604","35958","61826","20833.36","21425.84","0","180035","21555","22358"
"2001","2","27543.89","26422.5","7647","12886","18655","33541","41889","66601","27237.77","27850.01","741","246351","27704","28276"
"2001","3","32252.61","30541","6305","16715","22643","39520","48727","71103","31911.98","32593.24","515","142768","32113","33015"
"2001","4","38124.36","35169.5","4636","20143","27865","45761","57508","90315","37662.88","38585.84","1330","212321","37351","38325"
"2001","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2002","1 Einkommensschwächstes Quintil","22144.97","19614","6246","7988","12216","27962","39065","72284","21789.92","22500.02","0","168220","21142","21998"
"2002","2","27566.56","26326","6580","12609","18136","34226","42088","65316","27226.83","27906.29","0","189112","27490","28321"
"2002","3","31124.09","29945.5","5965","16335","22395","38142","46432","67015","30770.74","31477.44","3052","120959","32071","32849"
"2002","4","37260.73","34753.5","5859","19856","26570","43796","55707","93393","36773.22","37748.24","0","274263","39914","40895"
